location,time_operation,lcohp,scenario
AUS,0,149.35392811558276,S1
AUS,1,148.38123210397083,S1
AUS,2,146.74258613422978,S1
AUS,3,141.15794950112246,S1
AUS,4,161.47168921749207,S1
AUS,5,159.62620443878322,S1
AUS,6,164.70423209768478,S1
AUS,7,166.33216757009706,S1
AUS,8,198.1273493233948,S1
AUS,9,171.69383905110828,S1
AUS,10,171.83130841984158,S1
AUS,11,156.811178044748,S1
AUS,12,146.6165075113226,S1
AUS,13,144.57685482949006,S1
AUT,0,318.0960065864237,S1
AUT,1,199.0074092423912,S1
AUT,2,195.5145203535023,S1
AUT,3,192.79852035350228,S1
AUT,4,190.1825203535023,S1
AUT,5,187.72029813128006,S1
AUT,6,185.11140924239118,S1
AUT,7,182.75629813128006,S1
AUT,8,250.96689604458214,S1
AUT,9,249.82271187018438,S1
AUT,10,215.16681110363615,S1
AUT,11,209.57074580821373,S1
AUT,12,199.56818170566558,S1
AUT,13,191.12199199646267,S1
BRA,0,37.67838988155,S1
BRA,1,37.50838988155,S1
BRA,2,37.108389881549996,S1
BRA,3,4980.266524368251,S1
BRA,4,715.9095597210091,S1
BRA,5,479.5594252241095,S1
BRA,6,277.86797181252905,S1
BRA,7,187.75348182027875,S1
BRA,8,168.79376340999545,S1
BRA,9,168.39376340999544,S1
BRA,10,167.99376340999544,S1
BRA,11,167.49376340999544,S1
BRA,12,224.68957521507883,S1
BRA,13,166.8229085484122,S1
CHN,0,120.66579322543325,S1
CHN,1,121.14457805377354,S1
CHN,2,120.59244041603476,S1
CHN,3,118.52814775275091,S1
CHN,4,123.267668592169,S1
CHN,5,131.16413088065542,S1
CHN,6,128.4235761963895,S1
CHN,7,125.20536208599239,S1
CHN,8,117.55446645657045,S1
CHN,9,115.80246483421067,S1
CHN,10,115.62544663574852,S1
CHN,11,109.48757895836476,S1
CHN,12,112.353407583745,S1
CHN,13,111.40073339157341,S1
CZE,0,236.7227916480243,S1
CZE,1,231.7299839445343,S1
CZE,2,226.60978258335163,S1
CZE,3,212.47793521034902,S1
CZE,4,203.61019229861728,S1
CZE,5,218.49470952956386,S1
CZE,6,218.94377995678042,S1
CZE,7,213.3086498055166,S1
CZE,8,217.85752570140338,S1
CZE,9,203.51213879004962,S1
CZE,10,215.811177333316,S1
CZE,11,180.6771841942214,S1
CZE,12,297.0842107199609,S1
CZE,13,202.17333825863895,S1
DEU,0,235.1968674825713,S1
DEU,1,226.88607625285638,S1
DEU,2,219.64544812691906,S1
DEU,3,214.03016564208454,S1
DEU,4,209.0629581854089,S1
DEU,5,206.0069469242698,S1
DEU,6,218.25921894226582,S1
DEU,7,197.0113997436217,S1
DEU,8,273.89135046347525,S1
DEU,9,182.0585511224543,S1
DEU,10,163.08510345542354,S1
DEU,11,147.9396800282212,S1
DEU,12,187.29686423381958,S1
DEU,13,158.4079576339326,S1
ITA,0,155.37923914939776,S1
ITA,1,155.9906493816752,S1
ITA,2,143.48900636025812,S1
ITA,3,136.15782361514263,S1
ITA,4,131.9111931440294,S1
ITA,5,129.90911342765966,S1
ITA,6,129.3870971479183,S1
ITA,7,171.11395836674563,S1
ITA,8,166.27476158108777,S1
ITA,9,171.30700179383496,S1
ITA,10,154.16857752942792,S1
ITA,11,277.46953310000754,S1
ITA,12,204.88194796469003,S1
ITA,13,225.11457452091642,S1
JPN,0,468.22864277040276,S1
JPN,1,465.2139674455227,S1
JPN,2,460.6500713416266,S1
JPN,3,389.36673175974477,S1
JPN,4,385.7063239278036,S1
JPN,5,384.07373610620704,S1
JPN,6,377.6534613097053,S1
JPN,7,388.79526258860835,S1
JPN,8,348.61423336750215,S1
JPN,9,281.0420394572377,S1
JPN,10,207.68201292696529,S1
JPN,11,196.20336085419768,S1
JPN,12,212.67233169814028,S1
JPN,13,217.88330280506105,S1
KOR,0,408.66865758868266,S1
KOR,1,340.7612131586166,S1
KOR,2,249.19159142584115,S1
KOR,3,214.50898974995138,S1
KOR,4,186.6843381382328,S1
KOR,5,181.8168397148711,S1
KOR,6,176.24626547500725,S1
KOR,7,169.9978919057643,S1
KOR,8,176.72976397212705,S1
KOR,9,176.26231133594996,S1
KOR,10,221.25035802010422,S1
KOR,11,183.06509001866004,S1
KOR,12,186.11122327692686,S1
KOR,13,185.15159426931658,S1
ROE,0,211.43009937293687,S1
ROE,1,187.73938181436716,S1
ROE,2,181.5053593545899,S1
ROE,3,180.24147132194759,S1
ROE,4,172.95428475306127,S1
ROE,5,169.93769106674688,S1
ROE,6,164.80294080739512,S1
ROE,7,197.45187210276342,S1
ROE,8,161.82241312088718,S1
ROE,9,157.80260460794267,S1
ROE,10,158.5154196781757,S1
ROE,11,230.84125954464162,S1
ROE,12,221.74581708604336,S1
ROE,13,213.66375564034672,S1
ROW,0,436.6231791448657,S1
ROW,1,311.22779472794014,S1
ROW,2,293.3367659276087,S1
ROW,3,279.860580550941,S1
ROW,4,268.7964614296504,S1
ROW,5,237.28516804517548,S1
ROW,6,241.10333278118114,S1
ROW,7,236.2048870843519,S1
ROW,8,207.3149941043744,S1
ROW,9,189.47018208897933,S1
ROW,10,185.62001193627893,S1
ROW,11,257.3363176825504,S1
ROW,12,184.79319355922755,S1
ROW,13,176.50142736218606,S1
USA,0,183.30821122637178,S1
USA,1,179.38214852471071,S1
USA,2,171.50146858251003,S1
USA,3,161.1039666884543,S1
USA,4,180.4070243034016,S1
USA,5,171.10717853779357,S1
USA,6,170.9237829477144,S1
USA,7,178.39157196215018,S1
USA,8,178.66884399956623,S1
USA,9,189.4215212673,S1
USA,10,206.3197082954134,S1
USA,11,178.714899550953,S1
USA,12,167.6524912203368,S1
USA,13,155.45776054858212,S1
