location,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
AUS,149.35392811558276,148.38123210397083,146.74258613422978,141.15794950112246,161.47168921749207,159.62620443878322,164.70423209768478,166.33216757009706,198.1273493233948,171.69383905110828,171.83130841984158,156.811178044748,146.6165075113226,144.57685482949006,159.10193045420488
AUT,318.0960065864237,199.0074092423912,195.5145203535023,192.79852035350228,190.1825203535023,187.72029813128006,185.11140924239118,182.75629813128006,250.96689604458214,249.82271187018438,215.16681110363615,209.57074580821373,199.56818170566558,191.12199199646267,211.9574514945013
BRA,37.67838988155,37.50838988155,37.108389881549996,4980.266524368251,715.9095597210091,479.5594252241095,277.86797181252905,187.75348182027875,168.79376340999545,168.39376340999544,167.99376340999544,167.49376340999544,224.68957521507883,166.8229085484122,558.4171192853071
CHN,120.66579322543325,121.14457805377354,120.59244041603476,118.52814775275091,123.267668592169,131.16413088065542,128.4235761963895,125.20536208599239,117.55446645657045,115.80246483421067,115.62544663574852,109.48757895836476,112.353407583745,111.40073339157341,119.37255679024369
CZE,236.7227916480243,231.7299839445343,226.60978258335163,212.47793521034902,203.61019229861728,218.49470952956386,218.94377995678042,213.3086498055166,217.85752570140338,203.51213879004962,215.811177333316,180.6771841942214,297.0842107199609,202.17333825863895,219.92952856959485
DEU,235.1968674825713,226.88607625285638,219.64544812691906,214.03016564208454,209.0629581854089,206.0069469242698,218.25921894226582,197.0113997436217,273.89135046347525,182.0585511224543,163.08510345542354,147.9396800282212,187.29686423381958,158.4079576339326,202.76989915980886
ITA,155.37923914939776,155.9906493816752,143.48900636025812,136.15782361514263,131.9111931440294,129.90911342765966,129.3870971479183,171.11395836674563,166.27476158108777,171.30700179383496,154.16857752942792,277.46953310000754,204.88194796469003,225.11457452091642,168.03960550591367
JPN,468.22864277040276,465.2139674455227,460.6500713416266,389.36673175974477,385.7063239278036,384.07373610620704,377.6534613097053,388.79526258860835,348.61423336750215,281.0420394572377,207.68201292696529,196.20336085419768,212.67233169814028,217.88330280506105,341.698962739909
KOR,408.66865758868266,340.7612131586166,249.19159142584115,214.50898974995138,186.6843381382328,181.8168397148711,176.24626547500725,169.9978919057643,176.72976397212705,176.26231133594996,221.25035802010422,183.06509001866004,186.11122327692686,185.15159426931658,218.3175805750037
ROE,211.43009937293687,187.73938181436716,181.5053593545899,180.24147132194759,172.95428475306127,169.93769106674688,164.80294080739512,197.45187210276342,161.82241312088718,157.80260460794267,158.5154196781757,230.84125954464162,221.74581708604336,213.66375564034672,186.46102644798893
ROW,436.6231791448657,311.22779472794014,293.3367659276087,279.860580550941,268.7964614296504,237.28516804517548,241.10333278118114,236.2048870843519,207.3149941043744,189.47018208897933,185.62001193627893,257.3363176825504,184.79319355922755,176.50142736218606,250.3910211732365
USA,183.30821122637178,179.38214852471071,171.50146858251003,161.1039666884543,180.4070243034016,171.10717853779357,170.9237829477144,178.39157196215018,178.66884399956623,189.4215212673,206.3197082954134,178.714899550953,167.6524912203368,155.45776054858212,176.59718411823272
