location,time_operation,local_production_opex,local_production_output,transport_opex,transport_output,total_opex,total_output,total_opex_per_unit,transport_to_production_opex_ratio,transport_to_production_output_ratio
AUS,0,404025.9885355542,393.41267,339286.9528728923,27.4208375,743312.9414084465,420.8335075,1766.2874466060584,0.8397651698166321,0.06969993493092126
AUS,1,401841.9885355542,393.41267,354509.23080441233,27.8432375,756351.2193399665,421.2559075,1795.4673296539268,0.8822105228384963,0.07077361667075949
AUS,2,398820.9885355542,393.41267,370340.39985319314,28.2825335,769161.3883887473,421.6952035,1823.9747144497635,0.9285880394937588,0.07189024568019124
AUS,3,416089.70965045254,402.35105,384786.57538298273,30.090439,800876.2850334353,432.441489,1851.9876223842975,0.9247683046673593,0.0747865303197295
AUS,4,420593.40658662433,405.43325,428730.1437218777,31.031456000000002,849323.550308502,436.464706,1945.9157605025275,1.0193458504290118,0.07653900117960233
AUS,5,424927.1035227961,408.51545,447524.6307801824,31.991480000000003,872451.7343029785,440.50693,1980.5630170289908,1.053179773824839,0.07831155467926612
AUS,6,429220.800458968,411.59765000000004,457006.24431611225,32.971269,886227.0447750802,444.56891900000005,1993.4525489738073,1.0647346163732818,0.08010558126364423
AUS,7,427350.800458968,411.59765000000004,472920.42069825187,33.50574,900271.2211572198,445.10339000000005,2022.6114682191474,1.1066328182615848,0.08140410908565683
AUS,8,526488.1943313116,421.06205,508840.8176146348,42.913339,1035329.0119459464,463.975389,2231.430882955618,0.9664809640430958,0.10191690037133481
AUS,9,529481.8912674835,424.14425,515478.634359537,43.957297999999994,1044960.5256270205,468.101548,2232.3372569300295,0.9735529068342164,0.10363761385424887
AUS,10,559215.5882036553,428.22645,537709.8936238927,47.42438,1096925.481827548,475.65083,2306.1569803789644,0.9615431060338563,0.1107460316848714
AUS,11,807505.7103143564,553.1922500000001,510599.2171075808,66.21876,1318104.9274219372,619.41101,2127.9972524575196,0.6323165404103558,0.11970297848532765
AUS,12,963372.3789877702,610.4949750000001,500685.41008756857,74.4744125,1464057.7890753387,684.9693875,2137.4061611991947,0.5197215749673519,0.1219902137605637
AUS,13,1055685.406408988,645.27985,515041.34679679025,82.27300100000001,1570726.753205778,727.552851,2158.917735044073,0.4878738909053894,0.12749972124497613
AUT,0,116163.11746929734,25.468,1785.09101647408,88.8843,117948.20848577142,114.3523,1031.4458780957743,0.01536710666314453,3.4900384796607504
AUT,1,134230.38644588215,31.703000000000003,5793.40023706668,101.389675,140023.78668294882,133.09267499999999,1052.0773339550717,0.043160124845520086,3.1981098003343527
AUT,2,181231.5092178036,39.785000000000004,8254.3689737778,117.236125,189485.8781915814,157.021125,1206.7540478491755,0.04554599257824267,2.9467418625109962
AUT,3,179681.5092178036,39.785000000000004,8254.3689737778,117.236125,187935.8781915814,157.021125,1196.8827646062362,0.04593888936992479,2.9467418625109962
AUT,4,178131.5092178036,39.785000000000004,8254.3689737778,117.236125,186385.8781915814,157.021125,1187.0114813632968,0.0463386236945036,2.9467418625109962
AUT,5,176731.5092178036,39.785000000000004,8254.3689737778,117.236125,184985.8781915814,157.021125,1178.0954835954806,0.04670570069995346,2.9467418625109962
AUT,6,175281.5092178036,39.785000000000004,8254.3689737778,117.236125,183535.8781915814,157.021125,1168.8610573359565,0.04709206926967395,2.9467418625109962
AUT,7,173981.5092178036,39.785000000000004,8254.3689737778,117.236125,182235.8781915814,157.021125,1160.5819165515557,0.04744394396213875,2.9467418625109962
AUT,8,202142.73921780428,40.594050000000024,6796.867033777799,118.67784500000005,208939.60625158207,159.2718950000001,1311.8422823535939,0.033624096814352196,2.923528078622359
AUT,9,206881.5092178036,40.785000000000004,7218.755409714599,119.25332300000001,214100.2646275182,160.03832300000002,1337.8062242474145,0.03489318807179977,2.923950545543705
AUT,10,204781.5092178036,40.785000000000004,8208.420915761399,119.52824600000001,212989.930133565,160.31324600000002,1328.585974321579,0.04008379929962819,2.930691332597769
AUT,11,246494.0273327105,62.08870903500005,9419.549100164148,154.7358414560001,255913.57643287466,216.82455049100014,1180.2795202543127,0.038214106857242074,2.492173599047999
AUT,12,267084.409200758,109.68835,10899.063184875336,231.27160999999998,277983.47238563333,340.95995999999997,815.2965303774478,0.040807560491795285,2.1084427835772894
AUT,13,304470.26453131024,127.70985,12528.740035772376,261.34633099999996,316999.0045670826,389.056181,814.7897914185371,0.04114930584455804,2.046406999929919
BRA,0,953968.9997919999,180.29999999999998,0.0,0.0,953968.9997919999,180.29999999999998,5291.009427576262,0.0,0.0
BRA,1,952193.9997919999,180.29999999999998,0.0,0.0,952193.9997919999,180.29999999999998,5281.164724303938,0.0,0.0
BRA,2,948553.9997919999,180.29999999999998,0.0,0.0,948553.9997919999,180.29999999999998,5260.976149706045,0.0,0.0
BRA,3,954404.5600437239,188.30786518099976,1507.4389987293152,0.9630908849999706,955911.9990424532,189.2709560659997,5050.494903767074,0.0015794549416866316,0.005114448533916821
BRA,4,1029089.8991818263,256.16175,14280.580139284575,9.12375,1043370.4793211109,265.28549999999996,3933.009830243685,0.013876902446169468,0.0356171442457744
BRA,5,1027820.3366358465,265.9994432375,14279.849049631037,8.688686881249996,1042100.1856854776,274.68813011875,3793.757616082533,0.013893331879743048,0.032664304765075106
BRA,6,1039621.6166245438,356.13608574500006,14290.77281801126,15.185689527500003,1053912.3894425551,371.3217752725001,2838.27251625393,0.01374612896604701,0.04264013149842174
BRA,7,1050811.4491737355,442.6327573049999,14339.685948296794,21.420324947499992,1065151.1351220321,464.0530822524999,2295.3217548988578,0.013646297782130416,0.048392995308162726
BRA,8,1101822.2071617753,542.7067499999998,19124.033235702278,29.816124999999992,1120946.2403974775,572.5228749999998,1957.9064686235952,0.01735673243051126,0.0549396612443092
BRA,9,1098714.0124350323,544.682,19124.53855846253,29.9585,1117838.550993495,574.6405,1945.2832701375817,0.01740629348676244,0.055001817574291054
BRA,10,1095274.0124350323,544.682,19124.53855846253,29.9585,1114398.550993495,574.6405,1939.296918670882,0.01746096259140169,0.055001817574291054
BRA,11,1090314.0124350323,544.682,19124.53855846253,29.9585,1109438.550993495,574.6405,1930.665435160757,0.01754039509751058,0.055001817574291054
BRA,12,1166199.8926290127,576.5039999999999,28650.17076063253,34.61725,1194850.0633896452,611.1212499999999,1955.176756477778,0.024567118331699778,0.06004685136616572
BRA,13,1162559.8926290127,576.5039999999999,28650.17076063253,34.61725,1191210.0633896452,611.1212499999999,1949.2204916612625,0.02464403850699084,0.06004685136616572
