location,commodity,time_operation,total_transport_cost,total_transport_opex,total_transport_flow,transport_cost_per_unit
AUS,Aluminium,0,0.0,0.0,0.0,
AUS,Aluminium,1,0.0,0.0,0.0,
AUS,Aluminium,2,0.0,0.0,0.0,
AUS,Aluminium,3,0.0,0.0,0.0,
AUS,Aluminium,4,0.0,0.0,0.0,
AUS,Aluminium,5,0.0,0.0,0.0,
AUS,Aluminium,6,0.0,0.0,0.0,
AUS,Aluminium,7,0.0,0.0,0.0,
AUS,Aluminium,8,0.0,0.0,0.0,
AUS,Aluminium,9,0.0,0.0,0.0,
AUS,Aluminium,10,0.0,0.0,0.0,
AUS,Aluminium,11,0.0,0.0,0.0,
AUS,Aluminium,12,0.0,0.0,0.0,
AUS,Aluminium,13,0.0,0.0,0.0,
AUS,Bauxite,0,0.0,0.0,0.0,
AUS,Bauxite,1,0.0,0.0,0.0,
AUS,Bauxite,2,0.0,0.0,0.0,
AUS,Bauxite,3,0.0,0.0,0.0,
AUS,Bauxite,4,0.0,0.0,0.0,
AUS,Bauxite,5,0.0,0.0,0.0,
AUS,Bauxite,6,0.0,0.0,0.0,
AUS,Bauxite,7,0.0,0.0,0.0,
AUS,Bauxite,8,0.0,0.0,0.0,
AUS,Bauxite,9,0.0,0.0,0.0,
AUS,Bauxite,10,0.0,0.0,0.0,
AUS,Bauxite,11,0.0,0.0,0.0,
AUS,Bauxite,12,0.0,0.0,0.0,
AUS,Bauxite,13,0.0,0.0,0.0,
AUS,Compressor,0,16581.984368399997,16581.984368399997,0.8099999999999998,20471.58564
AUS,Compressor,1,16581.984368399997,16581.984368399997,0.8099999999999998,20471.58564
AUS,Compressor,2,16581.984368399997,16581.984368399997,0.8099999999999998,20471.58564
AUS,Compressor,3,22518.744204,22518.744204,1.1,20471.585639999998
AUS,Compressor,4,39571.204608,39571.204608,1.2,32976.003840000005
AUS,Compressor,5,42868.804992000005,42868.804992000005,1.3,32976.003840000005
AUS,Compressor,6,46166.40537600001,46166.40537600001,1.4,32976.00384000001
AUS,Compressor,7,46166.40537600001,46166.40537600001,1.4,32976.00384000001
AUS,Compressor,8,52761.606144,52761.606144,1.6,32976.00384
AUS,Compressor,9,56059.206527999995,56059.206527999995,1.7,32976.00384
AUS,Compressor,10,59356.806912,59356.806912,1.8,32976.00384
AUS,Compressor,11,116688.038148,116688.038148,5.7,20471.58564
AUS,Compressor,12,110751.2783124,110751.2783124,5.41,20471.585639999998
AUS,Compressor,13,128152.1261064,128152.1261064,6.26,20471.58564
AUS,Copper,0,0.0,0.0,0.0,
AUS,Copper,1,0.0,0.0,0.0,
AUS,Copper,2,0.0,0.0,0.0,
AUS,Copper,3,0.0,0.0,0.0,
AUS,Copper,4,0.0,0.0,0.0,
AUS,Copper,5,0.0,0.0,0.0,
AUS,Copper,6,0.0,0.0,0.0,
AUS,Copper,7,0.0,0.0,0.0,
AUS,Copper,8,0.0,0.0,0.0,
AUS,Copper,9,0.0,0.0,0.0,
AUS,Copper,10,0.0,0.0,0.0,
AUS,Copper,11,0.0,0.0,0.0,
AUS,Copper,12,0.0,0.0,0.0,
AUS,Copper,13,0.0,0.0,0.0,
AUS,Copper_ore,0,31.143056112188,31.143056112188,10.480775,2.97144592
AUS,Copper_ore,1,31.143056112188,31.143056112188,10.480775,2.97144592
AUS,Copper_ore,2,31.143056112188,31.143056112188,10.480775,2.97144592
AUS,Copper_ore,3,34.6674881179,34.6674881179,11.666875,2.9714459200000003
AUS,Copper_ore,4,17.318477630849998,17.318477630849998,12.075875,1.4341385308186776
AUS,Copper_ore,5,17.90464514245,17.90464514245,12.484875,1.4341068807216732
AUS,Copper_ore,6,20.90923236268884,20.90923236268884,12.893875000000001,1.6216406908465328
AUS,Copper_ore,7,41.632365575390004,41.632365575390004,12.893875,3.2288482380502375
AUS,Copper_ore,8,44.272031223549995,44.272031223549995,13.711875,3.228736494720817
AUS,Copper_ore,9,45.591864047630004,45.591864047630004,14.120875,3.228685477892128
AUS,Copper_ore,10,46.91169687171001,46.91169687171001,14.529875,3.2286373331986686
AUS,Copper_ore,11,98.38517701083,98.38517701083,30.480874999999997,3.227767477502861
