location,exporter,commodity,time_operation,import_flow
AUT,AUS,Aluminium,0,0.0
AUT,AUS,Aluminium,1,0.0
AUT,AUS,Aluminium,2,0.0
AUT,AUS,Aluminium,3,0.0
AUT,AUS,Aluminium,4,0.0
AUT,AUS,Aluminium,5,0.0
AUT,AUS,Aluminium,6,0.0
AUT,AUS,Aluminium,7,0.0
AUT,AUS,Aluminium,8,0.0
AUT,AUS,Aluminium,9,0.0
AUT,AUS,Aluminium,10,0.0
AUT,AUS,Aluminium,11,0.0
AUT,AUS,Aluminium,12,0.0
AUT,AUS,Aluminium,13,0.0
BRA,AUS,Aluminium,0,49.092
BRA,AUS,Aluminium,1,49.092
BRA,AUS,Aluminium,2,49.092
BRA,AUS,Aluminium,3,49.092
BRA,AUS,Aluminium,4,49.092
BRA,AUS,Aluminium,5,49.092
BRA,AUS,Aluminium,6,40.483980079999974
BRA,AUS,Aluminium,7,39.8
BRA,AUS,Aluminium,8,35.76
BRA,AUS,Aluminium,9,35.76
BRA,AUS,Aluminium,10,31.72
BRA,AUS,Aluminium,11,31.72
BRA,AUS,Aluminium,12,27.68
BRA,AUS,Aluminium,13,23.64
CHN,AUS,Aluminium,0,0.0
CHN,AUS,Aluminium,1,0.0
CHN,AUS,Aluminium,2,0.0
CHN,AUS,Aluminium,3,0.0
CHN,AUS,Aluminium,4,0.0
CHN,AUS,Aluminium,5,0.0
CHN,AUS,Aluminium,6,0.0
CHN,AUS,Aluminium,7,0.0
CHN,AUS,Aluminium,8,0.0
CHN,AUS,Aluminium,9,0.0
CHN,AUS,Aluminium,10,0.0
CHN,AUS,Aluminium,11,0.0
CHN,AUS,Aluminium,12,0.0
CHN,AUS,Aluminium,13,0.0
CZE,AUS,Aluminium,0,0.0
CZE,AUS,Aluminium,1,0.0
CZE,AUS,Aluminium,2,0.0
CZE,AUS,Aluminium,3,0.0
CZE,AUS,Aluminium,4,0.0
CZE,AUS,Aluminium,5,0.0
CZE,AUS,Aluminium,6,0.0
CZE,AUS,Aluminium,7,0.0
CZE,AUS,Aluminium,8,0.0
CZE,AUS,Aluminium,9,0.0
CZE,AUS,Aluminium,10,0.0
CZE,AUS,Aluminium,11,0.0
CZE,AUS,Aluminium,12,0.0
CZE,AUS,Aluminium,13,0.0
DEU,AUS,Aluminium,0,0.0
DEU,AUS,Aluminium,1,0.0
DEU,AUS,Aluminium,2,0.0
DEU,AUS,Aluminium,3,0.0
DEU,AUS,Aluminium,4,0.0
DEU,AUS,Aluminium,5,0.0
DEU,AUS,Aluminium,6,0.0
DEU,AUS,Aluminium,7,0.0
DEU,AUS,Aluminium,8,0.0
DEU,AUS,Aluminium,9,0.0
DEU,AUS,Aluminium,10,0.0
DEU,AUS,Aluminium,11,0.0
DEU,AUS,Aluminium,12,0.0
DEU,AUS,Aluminium,13,0.0
ITA,AUS,Aluminium,0,0.0
ITA,AUS,Aluminium,1,0.0
ITA,AUS,Aluminium,2,0.0
ITA,AUS,Aluminium,3,0.0
ITA,AUS,Aluminium,4,0.0
ITA,AUS,Aluminium,5,0.0
ITA,AUS,Aluminium,6,0.0
ITA,AUS,Aluminium,7,0.0
ITA,AUS,Aluminium,8,0.0
ITA,AUS,Aluminium,9,0.0
ITA,AUS,Aluminium,10,0.0
ITA,AUS,Aluminium,11,0.0
ITA,AUS,Aluminium,12,0.0
ITA,AUS,Aluminium,13,0.0
JPN,AUS,Aluminium,0,0.0
JPN,AUS,Aluminium,1,0.0
JPN,AUS,Aluminium,2,0.0
JPN,AUS,Aluminium,3,0.0
JPN,AUS,Aluminium,4,0.0
JPN,AUS,Aluminium,5,0.0
JPN,AUS,Aluminium,6,0.0
JPN,AUS,Aluminium,7,0.0
JPN,AUS,Aluminium,8,0.0
JPN,AUS,Aluminium,9,0.0
JPN,AUS,Aluminium,10,0.0
JPN,AUS,Aluminium,11,0.0
JPN,AUS,Aluminium,12,0.0
JPN,AUS,Aluminium,13,0.0
KOR,AUS,Aluminium,0,0.0
KOR,AUS,Aluminium,1,0.0
KOR,AUS,Aluminium,2,0.0
KOR,AUS,Aluminium,3,0.0
KOR,AUS,Aluminium,4,0.0
KOR,AUS,Aluminium,5,0.0
KOR,AUS,Aluminium,6,0.0
KOR,AUS,Aluminium,7,0.0
KOR,AUS,Aluminium,8,0.0
KOR,AUS,Aluminium,9,0.0
KOR,AUS,Aluminium,10,0.0
KOR,AUS,Aluminium,11,0.0
KOR,AUS,Aluminium,12,0.0
KOR,AUS,Aluminium,13,0.0
ROE,AUS,Aluminium,0,0.0
ROE,AUS,Aluminium,1,0.0
ROE,AUS,Aluminium,2,0.0
ROE,AUS,Aluminium,3,0.0
ROE,AUS,Aluminium,4,0.0
ROE,AUS,Aluminium,5,0.0
ROE,AUS,Aluminium,6,0.0
ROE,AUS,Aluminium,7,0.0
ROE,AUS,Aluminium,8,0.0
ROE,AUS,Aluminium,9,0.0
ROE,AUS,Aluminium,10,0.0
ROE,AUS,Aluminium,11,0.0
ROE,AUS,Aluminium,12,0.0
ROE,AUS,Aluminium,13,0.0
ROW,AUS,Aluminium,0,0.0
ROW,AUS,Aluminium,1,0.0
ROW,AUS,Aluminium,2,0.0
ROW,AUS,Aluminium,3,0.0
ROW,AUS,Aluminium,4,0.0
ROW,AUS,Aluminium,5,0.0
ROW,AUS,Aluminium,6,0.0
ROW,AUS,Aluminium,7,0.0
ROW,AUS,Aluminium,8,0.0
ROW,AUS,Aluminium,9,0.0
ROW,AUS,Aluminium,10,0.0
ROW,AUS,Aluminium,11,0.0
ROW,AUS,Aluminium,12,0.0
ROW,AUS,Aluminium,13,0.0
USA,AUS,Aluminium,0,0.0
USA,AUS,Aluminium,1,0.0
USA,AUS,Aluminium,2,0.0
USA,AUS,Aluminium,3,0.0
USA,AUS,Aluminium,4,0.0
USA,AUS,Aluminium,5,0.0
USA,AUS,Aluminium,6,0.0
USA,AUS,Aluminium,7,0.0
USA,AUS,Aluminium,8,0.0
USA,AUS,Aluminium,9,0.0
USA,AUS,Aluminium,10,0.0
USA,AUS,Aluminium,11,0.0
USA,AUS,Aluminium,12,0.0
USA,AUS,Aluminium,13,0.0
AUS,AUT,Aluminium,0,0.0
AUS,AUT,Aluminium,1,0.0
AUS,AUT,Aluminium,2,0.0
AUS,AUT,Aluminium,3,0.0
AUS,AUT,Aluminium,4,0.0
AUS,AUT,Aluminium,5,0.0
AUS,AUT,Aluminium,6,0.0
AUS,AUT,Aluminium,7,0.0
AUS,AUT,Aluminium,8,0.0
AUS,AUT,Aluminium,9,0.0
AUS,AUT,Aluminium,10,0.0
AUS,AUT,Aluminium,11,0.0
AUS,AUT,Aluminium,12,0.0
AUS,AUT,Aluminium,13,0.0
BRA,AUT,Aluminium,0,0.0
BRA,AUT,Aluminium,1,0.0
BRA,AUT,Aluminium,2,0.0
BRA,AUT,Aluminium,3,0.0
BRA,AUT,Aluminium,4,0.0
BRA,AUT,Aluminium,5,0.0
BRA,AUT,Aluminium,6,0.0
BRA,AUT,Aluminium,7,0.0
BRA,AUT,Aluminium,8,0.0
BRA,AUT,Aluminium,9,0.0
BRA,AUT,Aluminium,10,0.0
BRA,AUT,Aluminium,11,0.0
BRA,AUT,Aluminium,12,0.0
BRA,AUT,Aluminium,13,0.0
CHN,AUT,Aluminium,0,0.0
CHN,AUT,Aluminium,1,0.0
CHN,AUT,Aluminium,2,0.0
CHN,AUT,Aluminium,3,0.0
CHN,AUT,Aluminium,4,0.0
CHN,AUT,Aluminium,5,0.0
CHN,AUT,Aluminium,6,0.0
CHN,AUT,Aluminium,7,0.0
CHN,AUT,Aluminium,8,0.0
CHN,AUT,Aluminium,9,0.0
CHN,AUT,Aluminium,10,0.0
CHN,AUT,Aluminium,11,0.0
CHN,AUT,Aluminium,12,0.0
CHN,AUT,Aluminium,13,0.0
CZE,AUT,Aluminium,0,0.0
CZE,AUT,Aluminium,1,0.0
CZE,AUT,Aluminium,2,0.0
CZE,AUT,Aluminium,3,0.0
CZE,AUT,Aluminium,4,0.0
CZE,AUT,Aluminium,5,0.0
CZE,AUT,Aluminium,6,0.0
CZE,AUT,Aluminium,7,2.060000000000005
CZE,AUT,Aluminium,8,2.4519999999999995
CZE,AUT,Aluminium,9,2.4519999999999995
CZE,AUT,Aluminium,10,2.4519999999999995
CZE,AUT,Aluminium,11,2.4520000000000195
CZE,AUT,Aluminium,12,2.45200000000001
CZE,AUT,Aluminium,13,9.518
DEU,AUT,Aluminium,0,3.88
DEU,AUT,Aluminium,1,3.88
DEU,AUT,Aluminium,2,3.88
DEU,AUT,Aluminium,3,3.88
DEU,AUT,Aluminium,4,3.879999999999999
DEU,AUT,Aluminium,5,3.879999999999999
DEU,AUT,Aluminium,6,4.424019920000025
DEU,AUT,Aluminium,7,5.068
DEU,AUT,Aluminium,8,5.068
DEU,AUT,Aluminium,9,5.068
DEU,AUT,Aluminium,10,5.068
DEU,AUT,Aluminium,11,5.068
DEU,AUT,Aluminium,12,5.068
DEU,AUT,Aluminium,13,8.506
ITA,AUT,Aluminium,0,14.144000000000002
ITA,AUT,Aluminium,1,14.144000000000002
ITA,AUT,Aluminium,2,14.144000000000002
ITA,AUT,Aluminium,3,14.144000000000002
ITA,AUT,Aluminium,4,14.144000000000002
ITA,AUT,Aluminium,5,14.144000000000002
ITA,AUT,Aluminium,6,13.599980079999977
ITA,AUT,Aluminium,7,10.895999999999995
ITA,AUT,Aluminium,8,10.504
ITA,AUT,Aluminium,9,10.504
ITA,AUT,Aluminium,10,10.504
ITA,AUT,Aluminium,11,10.503999999999984
ITA,AUT,Aluminium,12,10.50399999999999
ITA,AUT,Aluminium,13,0.0
JPN,AUT,Aluminium,0,0.0
JPN,AUT,Aluminium,1,0.0
JPN,AUT,Aluminium,2,0.0
JPN,AUT,Aluminium,3,0.0
JPN,AUT,Aluminium,4,0.0
JPN,AUT,Aluminium,5,0.0
JPN,AUT,Aluminium,6,0.0
JPN,AUT,Aluminium,7,0.0
JPN,AUT,Aluminium,8,0.0
JPN,AUT,Aluminium,9,0.0
JPN,AUT,Aluminium,10,0.0
JPN,AUT,Aluminium,11,0.0
JPN,AUT,Aluminium,12,0.0
JPN,AUT,Aluminium,13,0.0
KOR,AUT,Aluminium,0,0.0
KOR,AUT,Aluminium,1,0.0
KOR,AUT,Aluminium,2,0.0
KOR,AUT,Aluminium,3,0.0
KOR,AUT,Aluminium,4,0.0
KOR,AUT,Aluminium,5,0.0
KOR,AUT,Aluminium,6,0.0
KOR,AUT,Aluminium,7,0.0
KOR,AUT,Aluminium,8,0.0
KOR,AUT,Aluminium,9,0.0
KOR,AUT,Aluminium,10,0.0
KOR,AUT,Aluminium,11,0.0
KOR,AUT,Aluminium,12,0.0
KOR,AUT,Aluminium,13,0.0
ROE,AUT,Aluminium,0,0.0
ROE,AUT,Aluminium,1,0.0
ROE,AUT,Aluminium,2,0.0
ROE,AUT,Aluminium,3,0.0
ROE,AUT,Aluminium,4,0.0
ROE,AUT,Aluminium,5,0.0
ROE,AUT,Aluminium,6,0.0
ROE,AUT,Aluminium,7,0.0
ROE,AUT,Aluminium,8,0.0
ROE,AUT,Aluminium,9,0.0
ROE,AUT,Aluminium,10,0.0
ROE,AUT,Aluminium,11,0.0
ROE,AUT,Aluminium,12,0.0
ROE,AUT,Aluminium,13,0.0
ROW,AUT,Aluminium,0,0.0
ROW,AUT,Aluminium,1,0.0
ROW,AUT,Aluminium,2,0.0
ROW,AUT,Aluminium,3,0.0
ROW,AUT,Aluminium,4,0.0
ROW,AUT,Aluminium,5,0.0
ROW,AUT,Aluminium,6,0.0
ROW,AUT,Aluminium,7,0.0
ROW,AUT,Aluminium,8,0.0
ROW,AUT,Aluminium,9,0.0
ROW,AUT,Aluminium,10,0.0
ROW,AUT,Aluminium,11,0.0
ROW,AUT,Aluminium,12,0.0
ROW,AUT,Aluminium,13,0.0
USA,AUT,Aluminium,0,0.0
USA,AUT,Aluminium,1,0.0
USA,AUT,Aluminium,2,0.0
USA,AUT,Aluminium,3,0.0
USA,AUT,Aluminium,4,0.0
USA,AUT,Aluminium,5,0.0
USA,AUT,Aluminium,6,0.0
USA,AUT,Aluminium,7,0.0
USA,AUT,Aluminium,8,0.0
USA,AUT,Aluminium,9,0.0
USA,AUT,Aluminium,10,0.0
USA,AUT,Aluminium,11,0.0
USA,AUT,Aluminium,12,0.0
USA,AUT,Aluminium,13,0.0
AUS,BRA,Aluminium,0,0.0
AUS,BRA,Aluminium,1,0.0
AUS,BRA,Aluminium,2,0.0
AUS,BRA,Aluminium,3,0.0
AUS,BRA,Aluminium,4,0.0
AUS,BRA,Aluminium,5,0.0
AUS,BRA,Aluminium,6,0.0
AUS,BRA,Aluminium,7,0.0
AUS,BRA,Aluminium,8,0.0
AUS,BRA,Aluminium,9,0.0
AUS,BRA,Aluminium,10,0.0
AUS,BRA,Aluminium,11,0.0
AUS,BRA,Aluminium,12,0.0
AUS,BRA,Aluminium,13,0.0
AUT,BRA,Aluminium,0,0.0
AUT,BRA,Aluminium,1,0.0
AUT,BRA,Aluminium,2,0.0
AUT,BRA,Aluminium,3,0.0
AUT,BRA,Aluminium,4,0.0
AUT,BRA,Aluminium,5,0.0
AUT,BRA,Aluminium,6,0.0
AUT,BRA,Aluminium,7,0.0
AUT,BRA,Aluminium,8,0.0
AUT,BRA,Aluminium,9,0.0
AUT,BRA,Aluminium,10,0.0
AUT,BRA,Aluminium,11,0.0
AUT,BRA,Aluminium,12,0.0
AUT,BRA,Aluminium,13,0.0
CHN,BRA,Aluminium,0,0.0
CHN,BRA,Aluminium,1,0.0
CHN,BRA,Aluminium,2,0.0
CHN,BRA,Aluminium,3,0.0
CHN,BRA,Aluminium,4,0.0
CHN,BRA,Aluminium,5,0.0
CHN,BRA,Aluminium,6,0.0
CHN,BRA,Aluminium,7,0.0
CHN,BRA,Aluminium,8,0.0
CHN,BRA,Aluminium,9,0.0
CHN,BRA,Aluminium,10,0.0
CHN,BRA,Aluminium,11,0.0
CHN,BRA,Aluminium,12,0.0
CHN,BRA,Aluminium,13,0.0
CZE,BRA,Aluminium,0,0.0
CZE,BRA,Aluminium,1,0.0
CZE,BRA,Aluminium,2,0.0
CZE,BRA,Aluminium,3,0.0
CZE,BRA,Aluminium,4,0.0
CZE,BRA,Aluminium,5,0.0
CZE,BRA,Aluminium,6,0.0
CZE,BRA,Aluminium,7,0.0
CZE,BRA,Aluminium,8,0.0
CZE,BRA,Aluminium,9,0.0
CZE,BRA,Aluminium,10,0.0
CZE,BRA,Aluminium,11,0.0
CZE,BRA,Aluminium,12,0.0
CZE,BRA,Aluminium,13,0.0
DEU,BRA,Aluminium,0,0.0
DEU,BRA,Aluminium,1,0.0
DEU,BRA,Aluminium,2,0.0
DEU,BRA,Aluminium,3,0.0
DEU,BRA,Aluminium,4,0.0
DEU,BRA,Aluminium,5,0.0
DEU,BRA,Aluminium,6,0.0
DEU,BRA,Aluminium,7,0.0
DEU,BRA,Aluminium,8,0.0
DEU,BRA,Aluminium,9,0.0
DEU,BRA,Aluminium,10,0.0
DEU,BRA,Aluminium,11,0.0
DEU,BRA,Aluminium,12,0.0
DEU,BRA,Aluminium,13,0.0
ITA,BRA,Aluminium,0,0.0
ITA,BRA,Aluminium,1,0.0
ITA,BRA,Aluminium,2,0.0
ITA,BRA,Aluminium,3,0.0
ITA,BRA,Aluminium,4,0.0
ITA,BRA,Aluminium,5,0.0
ITA,BRA,Aluminium,6,0.0
ITA,BRA,Aluminium,7,0.0
ITA,BRA,Aluminium,8,0.0
ITA,BRA,Aluminium,9,0.0
ITA,BRA,Aluminium,10,0.0
ITA,BRA,Aluminium,11,0.0
ITA,BRA,Aluminium,12,0.0
ITA,BRA,Aluminium,13,0.0
JPN,BRA,Aluminium,0,0.0
JPN,BRA,Aluminium,1,0.0
JPN,BRA,Aluminium,2,0.0
JPN,BRA,Aluminium,3,0.0
JPN,BRA,Aluminium,4,0.0
JPN,BRA,Aluminium,5,0.0
JPN,BRA,Aluminium,6,0.0
JPN,BRA,Aluminium,7,0.0
JPN,BRA,Aluminium,8,0.0
JPN,BRA,Aluminium,9,0.0
JPN,BRA,Aluminium,10,0.0
JPN,BRA,Aluminium,11,0.0
JPN,BRA,Aluminium,12,0.0
JPN,BRA,Aluminium,13,0.0
KOR,BRA,Aluminium,0,0.0
KOR,BRA,Aluminium,1,0.0
KOR,BRA,Aluminium,2,0.0
KOR,BRA,Aluminium,3,0.0
KOR,BRA,Aluminium,4,0.0
KOR,BRA,Aluminium,5,0.0
KOR,BRA,Aluminium,6,0.0
KOR,BRA,Aluminium,7,0.0
KOR,BRA,Aluminium,8,0.0
KOR,BRA,Aluminium,9,0.0
KOR,BRA,Aluminium,10,0.0
KOR,BRA,Aluminium,11,0.0
KOR,BRA,Aluminium,12,0.0
KOR,BRA,Aluminium,13,0.0
ROE,BRA,Aluminium,0,0.0
ROE,BRA,Aluminium,1,0.0
ROE,BRA,Aluminium,2,0.0
ROE,BRA,Aluminium,3,0.0
ROE,BRA,Aluminium,4,0.0
ROE,BRA,Aluminium,5,0.0
ROE,BRA,Aluminium,6,0.0
ROE,BRA,Aluminium,7,0.0
ROE,BRA,Aluminium,8,0.0
ROE,BRA,Aluminium,9,0.0
ROE,BRA,Aluminium,10,0.0
ROE,BRA,Aluminium,11,0.0
ROE,BRA,Aluminium,12,0.0
ROE,BRA,Aluminium,13,0.0
ROW,BRA,Aluminium,0,8.063999999999993
ROW,BRA,Aluminium,1,8.063999999999993
ROW,BRA,Aluminium,2,8.063999999999993
ROW,BRA,Aluminium,3,8.063999999999993
ROW,BRA,Aluminium,4,8.063999999999993
ROW,BRA,Aluminium,5,8.063999999999993
ROW,BRA,Aluminium,6,0.0
ROW,BRA,Aluminium,7,0.0
ROW,BRA,Aluminium,8,0.0
ROW,BRA,Aluminium,9,0.0
ROW,BRA,Aluminium,10,0.0
ROW,BRA,Aluminium,11,0.0
ROW,BRA,Aluminium,12,0.0
ROW,BRA,Aluminium,13,0.0
USA,BRA,Aluminium,0,67.408
USA,BRA,Aluminium,1,67.408
USA,BRA,Aluminium,2,67.408
USA,BRA,Aluminium,3,67.408
USA,BRA,Aluminium,4,67.408
USA,BRA,Aluminium,5,67.408
USA,BRA,Aluminium,6,66.86398007999998
USA,BRA,Aluminium,7,64.16
USA,BRA,Aluminium,8,60.12
USA,BRA,Aluminium,9,60.12
USA,BRA,Aluminium,10,56.08
USA,BRA,Aluminium,11,56.08
USA,BRA,Aluminium,12,48.0
USA,BRA,Aluminium,13,43.959999999999994
AUS,CHN,Aluminium,0,0.0
AUS,CHN,Aluminium,1,0.0
AUS,CHN,Aluminium,2,0.0
AUS,CHN,Aluminium,3,0.0
AUS,CHN,Aluminium,4,0.0
AUS,CHN,Aluminium,5,0.0
AUS,CHN,Aluminium,6,0.0
AUS,CHN,Aluminium,7,0.0
AUS,CHN,Aluminium,8,0.0
AUS,CHN,Aluminium,9,0.0
AUS,CHN,Aluminium,10,0.0
AUS,CHN,Aluminium,11,0.0
AUS,CHN,Aluminium,12,0.0
AUS,CHN,Aluminium,13,0.0
AUT,CHN,Aluminium,0,0.0
AUT,CHN,Aluminium,1,0.0
AUT,CHN,Aluminium,2,0.0
AUT,CHN,Aluminium,3,0.0
AUT,CHN,Aluminium,4,0.0
AUT,CHN,Aluminium,5,0.0
AUT,CHN,Aluminium,6,0.0
AUT,CHN,Aluminium,7,0.0
AUT,CHN,Aluminium,8,0.0
AUT,CHN,Aluminium,9,0.0
AUT,CHN,Aluminium,10,0.0
AUT,CHN,Aluminium,11,0.0
AUT,CHN,Aluminium,12,0.0
AUT,CHN,Aluminium,13,0.0
BRA,CHN,Aluminium,0,0.0
BRA,CHN,Aluminium,1,0.0
BRA,CHN,Aluminium,2,0.0
BRA,CHN,Aluminium,3,0.0
BRA,CHN,Aluminium,4,0.0
BRA,CHN,Aluminium,5,0.0
BRA,CHN,Aluminium,6,0.0
BRA,CHN,Aluminium,7,0.0
BRA,CHN,Aluminium,8,0.0
BRA,CHN,Aluminium,9,0.0
BRA,CHN,Aluminium,10,0.0
BRA,CHN,Aluminium,11,0.0
BRA,CHN,Aluminium,12,0.0
BRA,CHN,Aluminium,13,0.0
CZE,CHN,Aluminium,0,0.0
CZE,CHN,Aluminium,1,0.0
CZE,CHN,Aluminium,2,0.0
CZE,CHN,Aluminium,3,0.0
CZE,CHN,Aluminium,4,0.0
CZE,CHN,Aluminium,5,0.0
CZE,CHN,Aluminium,6,0.0
CZE,CHN,Aluminium,7,0.0
CZE,CHN,Aluminium,8,0.0
CZE,CHN,Aluminium,9,0.0
CZE,CHN,Aluminium,10,0.0
CZE,CHN,Aluminium,11,0.0
CZE,CHN,Aluminium,12,0.0
CZE,CHN,Aluminium,13,0.0
DEU,CHN,Aluminium,0,0.0
DEU,CHN,Aluminium,1,0.0
DEU,CHN,Aluminium,2,0.0
DEU,CHN,Aluminium,3,0.0
DEU,CHN,Aluminium,4,0.0
DEU,CHN,Aluminium,5,0.0
DEU,CHN,Aluminium,6,0.0
DEU,CHN,Aluminium,7,0.0
DEU,CHN,Aluminium,8,0.0
DEU,CHN,Aluminium,9,0.0
DEU,CHN,Aluminium,10,0.0
DEU,CHN,Aluminium,11,0.0
DEU,CHN,Aluminium,12,0.0
DEU,CHN,Aluminium,13,44.20555436000005
ITA,CHN,Aluminium,0,0.0
ITA,CHN,Aluminium,1,0.0
ITA,CHN,Aluminium,2,0.0
ITA,CHN,Aluminium,3,0.0
ITA,CHN,Aluminium,4,0.0
ITA,CHN,Aluminium,5,0.0
ITA,CHN,Aluminium,6,0.0
ITA,CHN,Aluminium,7,0.0
ITA,CHN,Aluminium,8,0.0
ITA,CHN,Aluminium,9,0.0
ITA,CHN,Aluminium,10,0.0
ITA,CHN,Aluminium,11,0.0
ITA,CHN,Aluminium,12,0.0
ITA,CHN,Aluminium,13,10.504
JPN,CHN,Aluminium,0,0.0
JPN,CHN,Aluminium,1,0.0
JPN,CHN,Aluminium,2,0.0
JPN,CHN,Aluminium,3,0.0
JPN,CHN,Aluminium,4,0.0
JPN,CHN,Aluminium,5,0.0
JPN,CHN,Aluminium,6,0.0
JPN,CHN,Aluminium,7,0.0
JPN,CHN,Aluminium,8,0.0
JPN,CHN,Aluminium,9,0.0
JPN,CHN,Aluminium,10,0.0
JPN,CHN,Aluminium,11,0.0
JPN,CHN,Aluminium,12,0.0
JPN,CHN,Aluminium,13,0.0
KOR,CHN,Aluminium,0,26.663924395604393
KOR,CHN,Aluminium,1,28.403831195604397
KOR,CHN,Aluminium,2,32.332
KOR,CHN,Aluminium,3,32.332
KOR,CHN,Aluminium,4,32.332
KOR,CHN,Aluminium,5,32.332
KOR,CHN,Aluminium,6,33.948
KOR,CHN,Aluminium,7,33.948
KOR,CHN,Aluminium,8,33.948
KOR,CHN,Aluminium,9,33.948
KOR,CHN,Aluminium,10,33.948
KOR,CHN,Aluminium,11,33.948
KOR,CHN,Aluminium,12,33.948
KOR,CHN,Aluminium,13,33.948
ROE,CHN,Aluminium,0,0.0
ROE,CHN,Aluminium,1,0.0
ROE,CHN,Aluminium,2,0.0
ROE,CHN,Aluminium,3,0.0
ROE,CHN,Aluminium,4,0.0
ROE,CHN,Aluminium,5,0.0
ROE,CHN,Aluminium,6,0.0
ROE,CHN,Aluminium,7,0.0
ROE,CHN,Aluminium,8,0.0
ROE,CHN,Aluminium,9,0.0
ROE,CHN,Aluminium,10,0.0
ROE,CHN,Aluminium,11,0.0
ROE,CHN,Aluminium,12,0.0
ROE,CHN,Aluminium,13,0.0
ROW,CHN,Aluminium,0,89.71207560439561
ROW,CHN,Aluminium,1,125.18687524439564
ROW,CHN,Aluminium,2,162.72606636000006
ROW,CHN,Aluminium,3,209.03488552
ROW,CHN,Aluminium,4,260.86410612000003
ROW,CHN,Aluminium,5,299.78
ROW,CHN,Aluminium,6,308.38801992
ROW,CHN,Aluminium,7,365.82671184
ROW,CHN,Aluminium,8,429.0845619999999
ROW,CHN,Aluminium,9,506.8599957999999
ROW,CHN,Aluminium,10,593.09004264
ROW,CHN,Aluminium,11,693.6989585200001
ROW,CHN,Aluminium,12,802.7928480400001
ROW,CHN,Aluminium,13,872.64
USA,CHN,Aluminium,0,0.0
USA,CHN,Aluminium,1,0.0
USA,CHN,Aluminium,2,0.0
USA,CHN,Aluminium,3,0.0
USA,CHN,Aluminium,4,0.0
USA,CHN,Aluminium,5,0.0
USA,CHN,Aluminium,6,0.0
USA,CHN,Aluminium,7,0.0
USA,CHN,Aluminium,8,3.6480000000000032
USA,CHN,Aluminium,9,3.648000000000005
USA,CHN,Aluminium,10,7.688000000000002
USA,CHN,Aluminium,11,7.687999999999981
USA,CHN,Aluminium,12,15.767999999999994
USA,CHN,Aluminium,13,23.448000000000008
AUS,CZE,Aluminium,0,0.0
AUS,CZE,Aluminium,1,0.0
AUS,CZE,Aluminium,2,0.0
AUS,CZE,Aluminium,3,0.0
AUS,CZE,Aluminium,4,0.0
AUS,CZE,Aluminium,5,0.0
AUS,CZE,Aluminium,6,0.0
AUS,CZE,Aluminium,7,0.0
AUS,CZE,Aluminium,8,0.0
AUS,CZE,Aluminium,9,0.0
AUS,CZE,Aluminium,10,0.0
AUS,CZE,Aluminium,11,0.0
