location,time_operation,local_production_opex,local_production_output,transport_opex,transport_output,total_opex,total_output,total_opex_per_unit,transport_to_production_opex_ratio,transport_to_production_output_ratio
AUS,0,404025.9885355542,393.41267,339286.9528728923,27.4208375,743312.9414084465,420.8335075,1766.2874466060584,0.8397651698166321,0.06969993493092126
AUS,1,401841.9885355542,393.41267,354509.23080441233,27.8432375,756351.2193399665,421.2559075,1795.4673296539268,0.8822105228384963,0.07077361667075949
AUS,2,398820.9885355542,393.41267,370340.39985319314,28.2825335,769161.3883887473,421.6952035,1823.9747144497635,0.9285880394937588,0.07189024568019124
AUS,3,416089.70965045254,402.35105,384786.57538298273,30.090439,800876.2850334353,432.441489,1851.9876223842975,0.9247683046673593,0.0747865303197295
AUS,4,420593.40658662433,405.43325,439636.0474578776,31.031456000000002,860229.454044502,436.464706,1970.9026691484696,1.045275652383132,0.07653900117960233
AUS,5,424927.1035227961,408.51545,448146.93221919576,31.991480000000003,873074.0357419918,440.50693,1981.975710897424,1.0546442636958175,0.07831155467926612
AUS,6,429220.800458968,411.59765000000004,457026.967998282,32.971269,886247.76845725,444.56891900000005,1993.499164203267,1.0647828984745864,0.08010558126364423
AUS,7,436584.4973951398,414.77985,473475.837184457,34.211615,910060.3345795968,448.991465,2026.8989624994247,1.0844998849236003,0.08248138138822318
AUS,8,526488.1943313116,421.06205,516658.69749062473,42.913339,1043146.8918219364,463.975389,2248.280655726626,0.9813300716967239,0.10191690037133481
AUS,9,529481.8912674835,424.14425,609093.2744258997,43.957297999999994,1138575.1656933832,468.101548,2432.3251451699607,1.1503571405772557,0.10363761385424887
AUS,10,559215.5882036553,428.22645,650429.0112914441,47.42438,1209644.5994950994,475.65083,2543.135685256976,1.163109586019928,0.1107460316848714
AUS,11,631576.3687988282,461.866225,657019.3155779289,49.4686975,1288595.6843767571,511.3349225,2520.0619548467416,1.04028483020587,0.1071061160620697
AUS,12,666962.3199238662,468.713775,686840.300628842,53.0441625,1353802.6205527082,521.7579375,2594.694825419322,1.0298037536921798,0.11316962574867785
AUS,13,701832.0749195375,475.75885,392986.1699020697,49.29305299999999,1094818.2448216071,525.051903,2085.161940307465,0.5599433026014438,0.10360932434572682
AUT,0,116163.11746929734,25.468,1785.09101647408,88.8843,117948.20848577142,114.3523,1031.4458780957743,0.01536710666314453,3.4900384796607504
AUT,1,156861.5092178036,39.185,10603.371301777799,116.39612500000001,167464.8805195814,155.58112500000001,1076.383015739097,0.06759702462797884,2.9704255454893453
AUT,2,155491.5092178036,39.185,10603.371301777799,116.39612500000001,166094.8805195814,155.58112500000001,1067.5773203181388,0.06819260649740819,2.9704255454893453
AUT,3,154601.5092178036,39.185,10603.371301777799,116.39612500000001,165204.8805195814,155.58112500000001,1061.856832051969,0.0685851732976274,2.9704255454893453
AUT,4,153711.5092178036,39.185,10603.371301777799,116.39612500000001,164314.8805195814,155.58112500000001,1056.1363437857992,0.06898228607431867,2.9704255454893453
AUT,5,152971.5092178036,39.185,10603.371301777799,116.39612500000001,163574.8805195814,155.58112500000001,1051.3799827555006,0.06931598802938217,2.9704255454893453
AUT,6,152121.5092178036,39.185,10603.371301777799,116.396125,162724.8805195814,155.581125,1045.9165950855634,0.06970330071203915,2.9704255454893453
AUT,7,151421.5092178036,39.185,10603.371301777799,116.39612500000001,162024.8805195814,155.58112500000001,1041.417334651497,0.07002552911109865,2.9704255454893453
AUT,8,190831.5092178036,40.285000000000004,7396.867033777799,117.936125,198228.3762515814,158.221125,1252.8565717857296,0.038761245792671796,2.927544371354102
AUT,9,240540.7781944048,47.02,9447.6743143704,131.14149999999998,249988.4525087752,178.1615,1403.156419926725,0.0392768094677685,2.789057847724372
AUT,10,250152.56697756072,49.21452047999992,10682.486894123887,135.54299182799983,260835.05387168462,184.75751230799975,1411.769679150366,0.04270388676476037,2.754126028375763
AUT,11,316515.6085569667,57.796,12728.96596331856,152.27009999999999,329244.57452028524,210.06609999999998,1567.3379689549397,0.04021591864411196,2.6346131220153644
AUT,12,333359.3161476072,60.49000000000001,13549.2888755556,157.55225000000002,346908.60502316285,218.04225000000002,1591.0155257669685,0.04064469843571478,2.6045999338733674
AUT,13,336391.16994292743,61.737,14250.950719674122,160.053325,350642.12066260155,221.790325,1580.962202307975,0.04236422353800772,2.5925024701556603
BRA,0,953968.9997919999,180.29999999999998,0.0,0.0,953968.9997919999,180.29999999999998,5291.009427576262,0.0,0.0
BRA,1,952193.9997919999,180.29999999999998,0.0,0.0,952193.9997919999,180.29999999999998,5281.164724303938,0.0,0.0
BRA,2,948553.9997919999,180.29999999999998,0.0,0.0,948553.9997919999,180.29999999999998,5260.976149706045,0.0,0.0
BRA,3,954404.560043724,188.30786518099984,1507.438998729332,0.9630908849999815,955911.9990424534,189.27095606599983,5050.494903767071,0.0015794549416866491,0.005114448533916877
BRA,4,1029089.8991818263,256.16175,14280.580139284575,9.12375,1043370.4793211109,265.28549999999996,3933.009830243685,0.013876902446169468,0.0356171442457744
BRA,5,1028279.7708074619,268.73447315000004,14280.18032726531,8.885826425000001,1042559.9511347272,277.62029957500005,3755.3448099103293,0.013887446522507903,0.033065450520150357
BRA,6,1079834.5567215339,372.04708574500006,19080.367782493457,17.5150645275,1098914.9245040272,389.56215027250005,2820.897573687106,0.017669713998061904,0.04707754797333576
BRA,7,1091256.1945439829,460.519007305,19103.001310202515,23.892074947499996,1110359.1958541854,484.4110822525,2292.183718611559,0.01750551465889761,0.05188075751165763
BRA,8,1102154.0124350323,544.682,19124.532496523,29.9585,1121278.5449315554,574.6405,1951.2696110551822,0.01735196014418204,0.055001817574291054
BRA,9,1098714.0124350323,544.682,19124.532496523,29.9585,1117838.5449315554,574.6405,1945.2832595884827,0.017406287969458156,0.055001817574291054
BRA,10,1095274.0124350323,544.682,19124.532496523,29.9585,1114398.5449315554,574.6405,1939.296908121783,0.01746095705676884,0.055001817574291054
BRA,11,1544538.8180450697,800.5046,384660.671558534,76.926125,1929199.4896036037,877.4307249999999,2198.6915144823583,0.24904564849033767,0.09609704304010246
BRA,12,1570431.4060644677,804.5868,355449.854946751,76.492,1925881.2610112187,881.0788,2185.8218141342395,0.2263389878565377,0.09506991663298478
BRA,13,1566791.4060644677,804.5868,355449.854946751,76.492,1922241.2610112187,881.0788,2181.690515094925,0.22686482295660837,0.09506991663298478
