location,time_operation,lcohp,scenario
AUS,0,149.35392811558276,
AUS,1,148.38123210397083,
AUS,2,146.74258613422978,
AUS,3,141.15794950112246,
AUS,4,161.47168921749207,
AUS,5,159.62620443878322,
AUS,6,164.70423209768478,
AUS,7,166.33216757009706,
AUS,8,198.1273493233948,
AUS,9,171.69383905110828,
AUS,10,172.0097242693871,
AUS,11,198.11810231414137,
AUS,12,181.02827478299977,
AUS,13,167.89160259219025,
AUT,0,318.0960065864237,
AUT,1,199.0074092423912,
AUT,2,195.5145203535023,
AUT,3,192.79852035350228,
AUT,4,190.1825203535023,
AUT,5,187.72029813128006,
AUT,6,185.11140924239118,
AUT,7,182.75629813128006,
AUT,8,250.96689604458214,
AUT,9,249.82271187018438,
AUT,10,199.46319181689847,
AUT,11,242.4683427659683,
AUT,12,201.5034710609305,
AUT,13,187.18325349625667,
BRA,0,37.67838988155,
BRA,1,37.50838988155,
BRA,2,37.108389881549996,
BRA,3,4980.266524368332,
BRA,4,715.9095597210093,
BRA,5,479.5594252241095,
BRA,6,277.86797181252905,
BRA,7,187.75348182027875,
BRA,8,168.79376340999545,
BRA,9,168.39376340999544,
BRA,10,167.99376340999544,
BRA,11,274.2976066649997,
BRA,12,177.8481370717824,
BRA,13,174.7527598528475,
CHN,0,120.66579322543325,
CHN,1,121.14457805377354,
CHN,2,120.59244041603478,
CHN,3,118.52814775275091,
CHN,4,123.267668592169,
CHN,5,131.16413088065542,
CHN,6,128.5692266680387,
CHN,7,125.15465268020012,
CHN,8,117.3686313979975,
CHN,9,115.80246483421067,
CHN,10,115.61856063124016,
CHN,11,113.33007410743993,
CHN,12,113.2153403296176,
CHN,13,113.06680815128814,
CZE,0,236.7227916480243,
CZE,1,231.7299839445343,
CZE,2,226.60978258335163,
CZE,3,212.47793521034902,
CZE,4,203.61019229861728,
CZE,5,218.49470952956386,
CZE,6,217.7851905415294,
CZE,7,212.2803792662972,
CZE,8,217.85752771530233,
CZE,9,203.51213886995563,
CZE,10,226.37912991295664,
CZE,11,287.09361421586,
CZE,12,238.1687256517434,
CZE,13,237.6518285843963,
DEU,0,235.1968674825713,
DEU,1,226.88607625285638,
DEU,2,219.64544812691906,
DEU,3,214.03016564208454,
DEU,4,209.0629581854089,
DEU,5,205.59942079123815,
DEU,6,208.4042191312943,
DEU,7,195.6630319000836,
DEU,8,278.92170840028757,
DEU,9,186.27696279411367,
DEU,10,165.2033423886287,
DEU,11,157.75983880613697,
DEU,12,150.06227949666427,
DEU,13,139.18326014923946,
ITA,0,155.37923914939776,
ITA,1,155.9906493816752,
ITA,2,143.48900636025812,
ITA,3,136.15782361514263,
ITA,4,131.9111931440294,
ITA,5,129.90911342765966,
ITA,6,129.3870971479183,
ITA,7,171.11395836674563,
ITA,8,169.4732783435271,
ITA,9,168.4975567822784,
ITA,10,154.16857752942792,
ITA,11,272.0747914589257,
ITA,12,188.105926191371,
ITA,13,178.04012180690006,
JPN,0,468.22864277040276,
JPN,1,465.2139674455227,
JPN,2,460.6500713416266,
JPN,3,389.36673175974477,
JPN,4,385.7063239278036,
JPN,5,384.07373610620704,
JPN,6,377.6534613097053,
JPN,7,388.79526258860835,
JPN,8,348.61423336750215,
JPN,9,281.0420394572377,
JPN,10,207.68201292696523,
JPN,11,202.2207952904269,
JPN,12,200.44822596595284,
JPN,13,198.78109439195367,
KOR,0,408.66865758868266,
KOR,1,340.7612131586166,
KOR,2,249.19159142584115,
KOR,3,214.50898974995138,
KOR,4,186.6843381382328,
KOR,5,181.8168397148711,
KOR,6,176.24626547500725,
KOR,7,169.9978919057643,
KOR,8,176.72976397212705,
KOR,9,176.26231133594996,
KOR,10,223.39822477688668,
KOR,11,195.37104140955017,
KOR,12,194.52136452390778,
KOR,13,194.64840325740175,
ROE,0,211.43009937293687,
ROE,1,187.73938181436716,
ROE,2,181.5053593545899,
ROE,3,180.24147132194759,
ROE,4,172.95428475306127,
ROE,5,169.99906548233267,
ROE,6,164.80294080739512,
ROE,7,197.45187210276336,
ROE,8,163.0279614829777,
ROE,9,157.93093950178834,
ROE,10,157.46505705889447,
ROE,11,211.97083260776674,
ROE,12,180.64125329701534,
ROE,13,178.1941085551849,
ROW,0,436.6231791448657,
ROW,1,311.22779472794014,
ROW,2,293.3367659276087,
ROW,3,279.860580550941,
ROW,4,268.7964614296504,
ROW,5,237.28516804517548,
ROW,6,242.51119485660905,
ROW,7,237.5112478422891,
ROW,8,207.3149941043744,
ROW,9,189.4701820889793,
ROW,10,185.817628976037,
ROW,11,185.88877585744422,
ROW,12,215.07142707619934,
ROW,13,199.50152258884887,
USA,0,183.30821122637178,
USA,1,179.38214852471071,
USA,2,171.50146858251003,
USA,3,161.1039666884543,
USA,4,180.4070243034016,
USA,5,171.10717853779357,
USA,6,170.94617633640848,
USA,7,178.41218000178108,
USA,8,178.6688439932361,
USA,9,189.42152126153104,
USA,10,206.38521763394638,
USA,11,203.2345984554979,
USA,12,214.98207373860473,
USA,13,204.95892846317747,
