location,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
AUS,149.35392811558276,148.38123210397083,146.74258613422978,141.15794950112246,161.47168921749207,159.62620443878322,164.70423209768478,166.33216757009706,198.1273493233948,171.69383905110828,172.0097242693871,198.11810231414137,181.02827478299977,167.89160259219025,166.18849153658462
AUT,318.0960065864237,199.0074092423912,195.5145203535023,192.79852035350228,190.1825203535023,187.72029813128006,185.11140924239118,182.75629813128006,250.96689604458214,249.82271187018438,199.46319181689847,242.4683427659683,201.5034710609305,187.18325349625667,213.04248924636386
BRA,37.67838988155,37.50838988155,37.108389881549996,4980.266524368332,715.9095597210093,479.5594252241095,277.86797181252905,187.75348182027875,168.79376340999545,168.39376340999544,167.99376340999544,274.2976066649997,177.8481370717824,174.7527598528475,563.2665661721804
CHN,120.66579322543325,121.14457805377354,120.59244041603478,118.52814775275091,123.267668592169,131.16413088065542,128.5692266680387,125.15465268020012,117.3686313979975,115.80246483421067,115.61856063124016,113.33007410743993,113.2153403296176,113.06680815128814,119.82060840863213
CZE,236.7227916480243,231.7299839445343,226.60978258335163,212.47793521034902,203.61019229861728,218.49470952956386,217.7851905415294,212.2803792662972,217.85752771530233,203.51213886995563,226.37912991295664,287.09361421586,238.1687256517434,237.6518285843963,226.45528071232008
DEU,235.1968674825713,226.88607625285638,219.64544812691906,214.03016564208454,209.0629581854089,205.59942079123815,208.4042191312943,195.6630319000836,278.92170840028757,186.27696279411367,165.2033423886287,157.75983880613697,150.06227949666427,139.18326014923946,199.42111282482333
ITA,155.37923914939776,155.9906493816752,143.48900636025812,136.15782361514263,131.9111931440294,129.90911342765966,129.3870971479183,171.11395836674563,169.4732783435271,168.4975567822784,154.16857752942792,272.0747914589257,188.105926191371,178.04012180690006,163.12130947894693
JPN,468.22864277040276,465.2139674455227,460.6500713416266,389.36673175974477,385.7063239278036,384.07373610620704,377.6534613097053,388.79526258860835,348.61423336750215,281.0420394572377,207.68201292696523,202.2207952904269,200.44822596595284,198.78109439195367,339.8911856178329
KOR,408.66865758868266,340.7612131586166,249.19159142584115,214.50898974995138,186.6843381382328,181.8168397148711,176.24626547500725,169.9978919057643,176.72976397212705,176.26231133594996,223.39822477688668,195.37104140955017,194.52136452390778,194.64840325740175,220.6290640309136
ROE,211.43009937293687,187.73938181436716,181.5053593545899,180.24147132194759,172.95428475306127,169.99906548233267,164.80294080739512,197.45187210276336,163.0279614829777,157.93093950178834,157.46505705889447,211.97083260776674,180.64125329701534,178.1941085551849,179.6681876795015
ROW,436.6231791448657,311.22779472794014,293.3367659276087,279.860580550941,268.7964614296504,237.28516804517548,242.51119485660905,237.5112478422891,207.3149941043744,189.4701820889793,185.817628976037,185.88877585744422,215.07142707619934,199.50152258884887,249.30120880121157
USA,183.30821122637178,179.38214852471071,171.50146858251003,161.1039666884543,180.4070243034016,171.10717853779357,170.94617633640848,178.41218000178108,178.6688439932361,189.42152126153104,206.38521763394638,203.2345984554979,214.98207373860473,204.95892846317747,185.27282412481608
