location,0,1,2,3,4,5,6,7,8,9,10,11,12,13
AUS,1766.2874466060584,1795.4673296539268,1823.9747144497635,1851.9876223842975,1970.9026691484696,1981.975710897424,1993.499164203267,2026.8989624994247,2248.280655726626,2432.3251451699607,2543.135685256976,2520.0619548467416,2594.694825419322,2085.161940307465
AUT,1031.4458780957743,1076.383015739097,1067.5773203181388,1061.856832051969,1056.1363437857992,1051.3799827555006,1045.9165950855634,1041.417334651497,1252.8565717857296,1403.156419926725,1411.769679150366,1567.3379689549397,1591.0155257669685,1580.962202307975
BRA,5291.009427576262,5281.164724303938,5260.976149706045,5050.494903767071,3933.009830243685,3755.3448099103293,2820.897573687106,2292.183718611559,1951.2696110551822,1945.2832595884827,1939.296908121783,2198.6915144823583,2185.8218141342395,2181.690515094925
CHN,1184.7375379806595,1150.127270208773,1094.7463446316278,1047.0060704762016,1016.2382592598419,1044.6514551504813,1068.8974421179398,1086.2650297803918,1066.094976818516,1041.4705764491166,1023.3985703086797,1006.6804872182119,998.2083223183912,991.7154739626878
CZE,517.8753956067291,596.0008203443281,736.8422117548345,814.548634302077,985.6537580743432,1182.2159159618764,1376.8386718976824,1455.5936944174848,1649.286294149958,1846.3417524056256,1714.84425370729,1475.4744213272286,1695.5317982589693,1906.673330678082
DEU,2558.5817082317767,2525.131476260775,2478.577268255072,2440.1805874148195,2401.783906574567,2382.9483987317235,2351.575607686946,2375.7860642759024,2475.4309120310318,2517.3207915991784,2557.0518633810652,2608.274352952183,2567.6794592560072,2632.893983125537
ITA,3417.6010599394544,3073.2436845207076,3058.2398769655347,3066.683727652661,3083.1740450177927,3107.233899351052,3140.0803053115496,3151.2173511374626,3060.27101426996,2991.772685311021,3248.2902597638317,3833.321816146388,3704.0873929431905,3559.903696261395
JPN,7378.654389768707,7330.978080950612,7258.801247091499,6311.955595792362,6249.850647827141,6187.730662036035,6129.2803026908505,5803.11906116302,4760.681372937253,3922.725951053668,3158.1181880344993,2986.0287206676026,2941.1197541273264,2899.8341790512873
KOR,7437.6646495046325,6252.72349785895,4184.1062968379765,3285.6314034394977,2598.978132287167,2494.1266526137047,2466.2426853830325,2442.208616150989,2420.9468362238204,2396.2333672992245,2366.752651680493,2345.9583867780443,2327.310344166431,2310.4638856239567
ROE,1973.6677421118775,1893.353245166671,1879.96672703967,1861.2478588780655,1858.7764702272532,1860.0345589143126,1853.681259469647,1885.9098953619687,1871.2050831811946,1862.8117057619618,1721.598698733167,1684.6029782482167,1682.0737927649193,1691.2901829538246
ROW,8793.580774738828,6154.0526361220445,5860.332227692316,5598.891946714386,5329.152873028197,4817.496215271361,4392.576877424038,4009.0771476967775,3496.669215088111,3092.3668777289377,2990.9039017557475,2653.0267123124304,2390.361827958265,2238.374956287775
TOTAL,2502.9344360334294,2379.983386537361,2260.5808489418105,2161.126163876823,2083.1921988577583,2039.8013396025142,2005.5036555828858,1965.4045325999205,1924.1974541569873,1892.9970934858081,1841.262855031476,1809.431026450399,1804.5374318551087,1785.2515855906877
USA,3300.437739988633,3365.5607951127695,3119.4806482204413,3199.965305769549,3139.7983965605367,3129.8135716281595,3138.757570723478,3141.3907274010144,3160.7791094093254,3173.2795635581083,3194.3280288926476,3227.174757677458,3255.957386490449,3265.646463408278
