commodity,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
Aluminium,0.3482233236154112,0.36354552449644684,0.3762416745130572,0.3900854897945247,0.40486852702354753,0.4203896398564972,0.42686989844601764,0.43428597946590564,0.428110055464977,0.4435993230177075,0.45664776590278683,0.4711087310422278,0.477176679479255,0.4788682375283975,0.42285863211762564
Bauxite,0.07118657695885418,0.06573169815532812,0.060560751690532905,0.055670019487143875,0.05105540599659164,0.04671234631650686,0.042635732383810555,0.038819848064056604,0.03525832643720909,0.031944119601008944,0.05050037929751687,0.11554898310788558,0.17010810690091557,0.20855468126177698,0.07459192683279556
Compressor,0.0389186486117429,0.04452198618796237,0.06643043081523563,0.0740365154287433,0.09960463697143691,0.10915283052131106,0.12094015799653177,0.13398091433901937,0.1670952570835246,0.20372716619574516,0.24341655895503303,0.17758525298107145,0.20241959061236825,0.2240634778149202,0.136135244608189
Copper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Copper_ore,0.00040657664232871297,0.00037675147945032817,0.0003615306791824161,0.00033564919529242404,0.000322211869124828,0.00030204113020986884,0.00029626240157443645,0.00034069254608476353,0.00036771089552077406,0.0003919349824426805,0.00042637189636864054,0.00045961343479444583,0.000473945715242344,0.0004843310573482681,0.0003818302803546379
HEX,0.08108756622134278,0.09222129865393076,0.12717378223316425,0.16613364562431707,0.2066610617387298,0.25896890596478433,0.28567437940289075,0.2280947228271772,0.21873305980604404,0.24170241217963834,0.2709987011160193,0.3087750126026652,0.33642948581688464,0.3654182786517612,0.22771945091709642
HP,0.08131741081027846,0.10877334972530978,0.10575996281622349,0.12327348065738512,0.10896168338358585,0.126273532901721,0.14401101703608346,0.16081830324501556,0.16192679332879786,0.17216533376728382,0.18260095265425866,0.20340615430696568,0.2189303374502781,0.2318320698809493,0.15214645585458114
Iron,0.07798303181696767,0.07921012051582631,0.08703083779979882,0.09821065666944755,0.10298588193241548,0.09693858357384938,0.08995684956908422,0.08432267241269625,0.08746042414857078,0.09213744616093571,0.1012147760164144,0.0995861197211684,0.09408724643343863,0.09340200046991026,0.09175190337432314
Nickel,0.0002875704222686883,0.0002718981727004929,0.00025965201350765325,0.00025273293676377384,0.0002450220277599739,0.00023612725925171535,0.00023887596888067523,0.0002726409092587949,0.00030658427027033984,0.00030388454682088364,0.0002981196092377686,0.0002868667183237145,0.00028221901158623187,0.0002842932639864838,0.0002733205093297993
Steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
