,initial_value,final_value,absolute_increase,percentage_increase,CAGR_percent
HP_assembly,1134.0,2383100.0,2381966.0,210049.9,80.1
Compressor_manufacturing,0.0,1981750.0,1981750.0,inf,0.0
HEX_manufacturing,0.0,1233700.0,1233700.0,inf,0.0
Nickel_mining,0.0,0.0,0.0,0.0,0.0
HP_storage,0.0,0.0,0.0,0.0,0.0
HP_transport,0.0,0.0,0.0,0.0,0.0
Iron_mining,0.0,0.0,0.0,0.0,0.0
Iron_storage,0.0,0.0,0.0,0.0,0.0
Iron_transport,0.0,0.0,0.0,0.0,0.0
Aluminium_production,0.0,0.0,0.0,0.0,0.0
HEX_transport,0.0,0.0,0.0,0.0,0.0
Nickel_storage,0.0,0.0,0.0,0.0,0.0
Nickel_transport,0.0,0.0,0.0,0.0,0.0
Refrigerant_transport,0.0,0.0,0.0,0.0,0.0
Steel_production,0.0,0.0,0.0,0.0,0.0
Steel_storage,0.0,0.0,0.0,0.0,0.0
Nickel_recycling,0.0,0.0,0.0,0.0,0.0
HEX_storage,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,0.0,0.0,0.0,0.0,0.0
Copper_transport,0.0,0.0,0.0,0.0,0.0
Copper_storage,0.0,0.0,0.0,0.0,0.0
Copper_refinement,0.0,0.0,0.0,0.0,0.0
Copper_recycling,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,0.0,0.0,0.0,0.0,0.0
Copper_mining,0.0,0.0,0.0,0.0,0.0
Compressor_transport,0.0,0.0,0.0,0.0,0.0
Compressor_storage,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,0.0,0.0,0.0,0.0,0.0
Bauxite_mining,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,0.0,0.0,0.0,0.0,0.0
Steel_transport,0.0,0.0,0.0,0.0,0.0
