carrier,value_scenario__time_0,value_scenario__time_1,value_scenario__time_2,value_scenario__time_3,value_scenario__time_4,value_scenario__time_5,value_scenario__time_6,value_scenario__time_7,value_scenario__time_8,value_scenario__time_9,value_scenario__time_10,value_scenario__time_11,value_scenario__time_12,value_scenario__time_13,total,percentage_of_total
Iron,3318.0,3593.0,3900.0,4243.0,4626.0,5056.0,5540.0,6084.0,6699.0,7394.0,8182.0,9075.0,9939.0,10654.0,88304.0,36.0
Steel,2074.0,2246.0,2438.0,2652.0,2891.0,3160.0,3462.0,3803.0,4187.0,4621.0,5113.0,5672.0,6212.0,6658.0,55190.0,22.0
Bauxite,1794.0,1943.0,2108.0,2294.0,2501.0,2734.0,2995.0,3289.0,3622.0,3997.0,4423.0,4906.0,5373.0,5759.0,47738.0,19.0
Copper,612.0,663.0,719.0,783.0,853.0,933.0,1022.0,1122.0,1236.0,1364.0,1509.0,1674.0,1833.0,1965.0,16288.0,7.0
Copper_ore,612.0,663.0,719.0,783.0,853.0,933.0,1022.0,1122.0,1236.0,1364.0,1509.0,1674.0,1833.0,1965.0,16288.0,7.0
Aluminium,448.0,486.0,527.0,573.0,625.0,683.0,749.0,822.0,905.0,999.0,1106.0,1227.0,1343.0,1440.0,11935.0,5.0
Compressor,111.0,120.0,130.0,142.0,155.0,169.0,185.0,204.0,224.0,247.0,274.0,304.0,332.0,356.0,2954.0,1.0
HEX,111.0,120.0,130.0,142.0,155.0,169.0,185.0,204.0,224.0,247.0,274.0,304.0,332.0,356.0,2954.0,1.0
HP,111.0,120.0,130.0,142.0,155.0,169.0,185.0,204.0,224.0,247.0,274.0,304.0,332.0,356.0,2954.0,1.0
Nickel,67.0,72.0,78.0,85.0,93.0,101.0,111.0,122.0,134.0,148.0,164.0,182.0,200.0,214.0,1772.0,1.0
