time_operation,demand,production_base,production_S1,production_S2,production_S3,production_S4,production_S5,share_base,share_S1,share_S2,share_S3,share_S4,share_S5
2022,24.0,22.83,22.83,22.83,22.83,22.83,26.702989010989008,95.12,95.12,95.12,95.12,95.12,111.26
2023,28.08,25.0,25.0,23.666515199999996,25.0,25.0,27.479999999999997,89.03,89.03,84.28,89.03,89.03,97.86
2024,32.8536,25.0,25.0,25.0,25.0,25.0,27.479999999999997,76.1,76.1,76.1,76.1,76.1,83.64
2025,38.438712,27.479999999999997,27.479999999999997,27.479999999999997,27.479999999999997,27.479999999999997,27.479999999999997,71.49,71.49,71.49,71.49,71.49,71.49
2026,44.973293,27.479999999999997,27.479999999999997,27.479999999999997,27.479999999999997,27.479999999999997,27.479999999999997,61.1,61.1,61.1,61.1,61.1,61.1
2027,52.618753999999996,27.479999999999997,27.479999999999997,27.479999999999997,27.479999999999997,27.479999999999997,27.479999999999997,52.22,52.22,52.22,52.22,52.22,52.22
2028,61.563941,27.479999999999997,27.479999999999997,27.479999999999997,27.479999999999997,27.479999999999997,27.479999999999997,44.64,44.64,44.64,44.64,44.64,44.64
2029,72.029811,27.479999999999997,27.479999999999997,28.8119244,27.479999999999997,27.479999999999997,27.479999999999997,38.15,38.15,40.0,38.15,38.15,38.15
2030,84.274879,27.479999999999997,27.479999999999997,33.709951600000004,27.479999999999997,27.479999999999997,27.479999999999997,32.61,32.61,40.0,32.61,32.61,32.61
2031,98.601608,27.479999999999997,27.479999999999997,39.4406432,27.479999999999997,27.479999999999997,27.479999999999997,27.87,27.87,40.0,27.87,27.87,27.87
2032,115.36388,27.479999999999997,27.479999999999997,46.145552,27.479999999999997,27.479999999999997,27.479999999999997,23.82,23.82,40.0,23.82,23.82,23.82
2033,134.975741,44.46766300000002,44.46766300000001,53.99029639999999,44.46766300000001,44.467663000000016,27.479999999999997,32.94,32.94,40.0,32.94,32.94,20.36
2034,157.921617,49.400000000000006,68.82110100000001,68.82110100000003,68.821101,68.821101,27.479999999999997,31.28,43.58,43.58,43.58,43.58,17.4
2035,184.768292,52.2,97.14295899999999,97.142959,97.14295899999999,97.14295899999999,27.479999999999993,28.25,52.58,52.58,52.58,52.58,14.87
2036,216.178902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
