time_operation,demand,production_base,production_S1,production_S2,production_S3,production_S4,production_S5,share_base,share_S1,share_S2,share_S3,share_S4,share_S5
2022,24.0,10.0,10.0,10.0,10.0,10.0,9.25,41.67,41.67,41.67,41.67,41.67,38.54
2023,28.08,10.0,10.0,11.232,10.0,10.0,9.25,35.61,35.61,40.0,35.61,35.61,32.94
2024,32.8536,10.0,10.0,13.141439999999998,10.0,10.0,10.0,30.44,30.44,40.0,30.44,30.44,30.44
2025,38.438712,10.0,10.0,15.3754848,10.0,10.0,10.0,26.02,26.02,40.0,26.02,26.02,26.02
2026,44.973293,10.0,10.0,17.9893172,10.0,10.0,10.0,22.24,22.24,40.0,22.24,22.24,22.24
2027,52.618753999999996,10.0,10.0,21.0475016,10.0,10.0,10.0,19.0,19.0,40.0,19.0,19.0,19.0
2028,61.563941,11.630698000000006,11.630697999999997,24.6255764,11.630697999999997,11.630698,10.0,18.89,18.89,40.0,18.89,18.89,16.24
2029,72.029811,23.728442,23.72844200000001,28.8119244,23.728441999999994,23.72844200000001,10.0,32.94,32.94,40.0,32.94,32.94,13.88
2030,84.274879,33.809050000000006,33.809050000000006,33.80905000000002,33.80905000000001,33.80905000000001,10.0,40.12,40.12,40.12,40.12,40.12,11.87
2031,98.601608,39.2,39.2,40.09,39.2,40.0,10.0,39.76,39.76,40.66,39.76,40.57,10.14
2032,115.36388,43.57598399999999,44.0,49.04,44.0,44.0,10.0,37.77,38.14,42.51,38.14,38.14,8.67
2033,134.975741,46.599999999999994,49.11766300000001,60.94110100000002,49.11766300000001,53.688932536399165,10.0,34.52,36.39,45.15,36.39,39.78,7.41
2034,157.921617,49.400000000000006,68.82110100000001,71.18110100000001,68.821101,68.821101,10.0,31.28,43.58,45.07,43.58,43.58,6.33
2035,184.768292,52.2,96.0,96.0,96.0,96.0,24.442959000000013,28.25,51.96,51.96,51.96,51.96,13.23
2036,216.178902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
