node,value_scenario__percentage,value_scenario__total,value_scenario_S1_percentage,value_scenario_S1_total,value_scenario_S2_percentage,value_scenario_S2_total,value_scenario_S3_percentage,value_scenario_S3_total,value_scenario_S4_percentage,value_scenario_S4_total,value_scenario_S5_percentage,value_scenario_S5_total
AUS,1.0,39.0,2.0,52.0,2.0,52.0,2.0,52.0,2.0,52.0,0.0,2.0
AUT,1.0,25.0,1.0,25.0,1.0,19.0,1.0,25.0,1.0,24.0,0.0,3.0
BRA,1.0,44.0,1.0,21.0,1.0,20.0,1.0,21.0,1.0,21.0,0.0,13.0
CHN,39.0,1145.0,37.0,1101.0,36.0,1082.0,37.0,1101.0,37.0,1103.0,45.0,1346.0
CZE,1.0,26.0,1.0,25.0,4.0,126.0,1.0,25.0,1.0,35.0,1.0,16.0
DEU,3.0,82.0,3.0,79.0,2.0,70.0,3.0,79.0,3.0,80.0,3.0,80.0
ITA,2.0,74.0,3.0,75.0,2.0,71.0,3.0,75.0,2.0,74.0,0.0,0.0
JPN,6.0,186.0,7.0,194.0,7.0,203.0,7.0,194.0,7.0,194.0,6.0,187.0
KOR,4.0,130.0,4.0,122.0,4.0,107.0,4.0,122.0,4.0,122.0,3.0,75.0
ROE,10.0,284.0,12.0,355.0,12.0,358.0,12.0,355.0,12.0,349.0,9.0,257.0
ROW,5.0,162.0,8.0,229.0,8.0,231.0,8.0,229.0,7.0,222.0,8.0,236.0
USA,26.0,757.0,24.0,702.0,21.0,638.0,24.0,702.0,24.0,703.0,26.0,764.0
