time_operation,demand,production_base,production_S1,production_S2,production_S3,production_S4,production_S5,share_base,share_S1,share_S2,share_S3,share_S4,share_S5
2022,24.0,22.830000000000002,22.830000000000002,22.830000000000002,22.830000000000002,22.830000000000002,18.55,95.12,95.12,95.12,95.12,95.12,77.29
2023,28.08,25.0,25.0,23.666515199999996,25.0,25.0,18.55,89.03,89.03,84.28,89.03,89.03,66.06
2024,32.8536,25.0,25.0,25.0,25.0,25.0,19.5,76.1,76.1,76.1,76.1,76.1,59.35
2025,38.438712,27.479999999999997,27.479999999999997,27.479999999999997,27.479999999999997,27.479999999999997,22.1,71.49,71.49,71.49,71.49,71.49,57.49
2026,44.973293,28.950000000000003,28.950000000000003,29.65,28.950000000000003,28.950000000000003,24.150000000000002,64.37,64.37,65.93,64.37,64.37,53.7
2027,52.618753999999996,29.950000000000003,29.950000000000003,36.9299054,29.950000000000003,29.950000000000003,25.450000000000003,56.92,56.92,70.18,56.92,56.92,48.37
2028,61.563941,30.599999999999998,30.793029999999998,40.3054818,30.793029999999998,30.793029999999998,26.842417582417582,49.7,50.02,65.47,50.02,50.02,43.6
2029,72.029811,31.028442,31.221472000000006,44.096345,31.22147199999999,31.48364171250001,27.479999999999997,43.08,43.35,61.22,43.35,43.71,38.15
2030,84.274879,36.809050000000006,36.80904999999999,47.569951599999996,36.80904999999999,36.80904999999999,29.44527472527472,43.68,43.68,56.45,43.68,43.68,34.94
2031,98.601608,41.2,41.2,53.300643199999996,41.2,40.817198000000005,29.44527472527472,41.78,41.78,54.06,41.78,41.4,29.86
2032,115.36388,43.57598399999999,44.0,62.949899999999985,44.0,44.0,29.44527472527472,37.77,38.14,54.57,38.14,38.14,25.52
2033,134.975741,46.6,49.11766300000001,62.949899999999985,49.11766300000001,53.688932536399165,28.287582417582414,34.52,36.39,46.64,36.39,39.78,20.96
2034,157.921617,49.400000000000006,68.82110100000001,71.18110100000001,68.821101,68.821101,28.287582417582414,31.28,43.58,45.07,43.58,43.58,17.91
2035,184.768292,52.2,97.14295899999999,97.142959,97.14295899999999,97.14295899999999,28.287582417582414,28.25,52.58,52.58,52.58,52.58,15.31
2036,216.178902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
