node,S1,S2,S3,S4,S5,base,min_percentage,max_percentage,avg_percentage
AUS,1.8,1.8,1.8,1.8,0.1,1.3,0.1,1.8,1.3
AUT,0.8,0.6,0.8,0.8,0.1,0.9,0.1,0.9,0.6
BRA,0.7,0.7,0.7,0.7,0.4,1.5,0.4,1.5,0.8
CHN,36.9,36.3,36.9,37.0,45.2,38.8,36.3,45.2,39.1
CZE,0.8,4.2,0.8,1.2,0.5,0.9,0.5,4.2,1.6
DEU,2.7,2.4,2.7,2.7,2.7,2.8,2.4,2.8,2.6
ITA,2.5,2.4,2.5,2.5,0.0,2.5,0.0,2.5,1.9
JPN,6.5,6.8,6.5,6.5,6.3,6.3,6.3,6.8,6.5
KOR,4.1,3.6,4.1,4.1,2.5,4.4,2.5,4.4,3.7
ROE,11.9,12.0,11.9,11.7,8.6,9.6,8.6,12.0,10.8
ROW,7.7,7.8,7.7,7.4,7.9,5.5,5.5,7.9,7.2
USA,23.6,21.4,23.6,23.6,25.6,25.6,21.4,25.6,23.8
