,mean_CAPEX,mean_Capacity,mean_Combined,mean_OPEX,std_CAPEX,std_Capacity,std_Combined,std_OPEX,cv_CAPEX,cv_Capacity,cv_Combined,cv_OPEX,q05_CAPEX,q05_Capacity,q05_Combined,q05_OPEX,q95_CAPEX,q95_Capacity,q95_Combined,q95_OPEX,min_CAPEX,min_Capacity,min_Combined,min_OPEX,max_CAPEX,max_Capacity,max_Combined,max_OPEX,range_CAPEX,range_Capacity,range_Combined,range_OPEX,skewness_CAPEX,skewness_Capacity,skewness_Combined,skewness_OPEX,kurtosis_CAPEX,kurtosis_Capacity,kurtosis_Combined,kurtosis_OPEX
CHN,1201.795580433433,1182.8782764454095,1172.3536566183543,1188.5281119106412,0.7617893664660753,260.10047437934213,249.86660473449513,27.041681641952845,0.06338759926137626,21.988777675497868,21.313244798095614,2.275224403273177,1200.14247,782.1972131528801,782.71149830808,1128.9646177000002,1201.9856909999999,1567.8865935602444,1560.76828153344,1208.859968,1196.8324699999998,749.2010531528,713.784674154,1033.456966,1201.985691,1591.906790904,1641.77531791615,1227.7,5.153221000000258,842.7057377512,927.9906437621501,194.24303400000008,-4.465914161963934,-0.07151440427999946,-0.02508310551659259,-2.4998927682935728,20.50480585598335,-1.3033878287633909,-1.2059021227392575,7.186666783947567
USA,716.6227433005944,677.7257736738511,694.3999911374813,731.8001150815834,23.043257366472034,140.18706088949023,161.29476702645485,55.3517286377531,3.2155353122537327,20.684923952287797,23.227933335978513,7.563776979125278,683.6876759666667,506.303404846064,494.962500851391,639.52992095,754.618307525,951.3701318800873,999.8395790401901,816.38169835,668.609728,461.365192,359.058484767905,611.7929859999999,784.630134,1090.69847858135,1128.7175810232,834.228338,116.02040599999998,629.33328658135,769.659096255295,222.43535200000008,0.21674486200501222,0.6732127228632517,0.6327119520017892,-0.15749422937744112,-0.8564919885025626,-0.5178835666308581,-0.5260715266434182,-0.9911413957870288
ROE,248.6700705177439,245.6339904719709,243.8773695845123,248.85943527700041,14.79372129933128,45.62451520216193,55.17374990537637,29.589433048471044,5.949136246485147,18.574186379701434,22.6235628174006,11.890018562300298,230.02049539999996,191.874484,169.93297925036802,199.8117268,267.3953375,334.1844029067367,350.48287451818595,285.6,223.741591,188.673982,143.17373045268997,182.76838,275.180707,386.27699577762496,393.41795518328996,288.2,51.439115999999984,197.60301377762497,250.2442247306,105.43161999999998,0.0004456625657785317,0.7733059785841351,0.577722575778432,-0.41898384289484686,-1.7041866783687734,-0.2810940745376054,-0.5592119830247628,-1.2929147433145638
JPN,195.26489888238237,192.40998194254615,183.68895249117782,189.3165854075647,8.97460354669187,39.883117009629245,47.14163316161271,22.82180952067563,4.596117171114156,20.72819539141082,25.663836895077736,12.054838973323104,176.90242130000001,136.306964251566,114.021448202056,143.0000317,204.29527290000001,267.142163922144,267.343915068924,213.04749,167.08804899999998,131.36886951518,75.410257,134.033422,206.05067000000003,288.01308257728,300.33631503734,213.92000000000002,38.96262100000004,156.6442130621,224.92605803734,79.88657800000001,-1.4349154759285438,0.4159105148263364,0.32460106160258195,-0.9528616563556487,1.1581696335881175,-0.6929754077406978,-0.7038151156043897,-0.4170983744436305
ROW,163.90659495645644,165.95601452979741,160.54651578069948,158.67848088508313,0.3088411930011069,4.446634397604564,12.247475654311344,10.925078454486254,0.18842511680701676,2.679405389556502,7.628615043281872,6.885040992041212,163.542397,163.402397,136.750124603265,135.765759,164.51368764999998,176.8988312234283,176.90181636024002,166.6,163.542397,163.01452,78.7332651536,118.58561549999999,164.862649,180.90873707820003,182.936784765,166.6,1.3202520000000106,17.89421707820003,104.2035196114,48.014384500000006,0.8272501862141278,1.7721679927048404,-1.1062597110049674,-1.1491321776395955,0.2945963021250195,1.8830217987311513,2.1935515750442356,-0.04217175029210196
KOR,153.73495508149816,151.484721827866,144.45581943238133,147.79248998207493,3.0125601899133327,32.47471366571587,35.95238457994144,13.733619772290153,1.9595804924887192,21.437616463142266,24.888152461570076,9.292501786765918,149.296614,103.137497094862,95.63964315864,114.48321810000003,156.5,206.184910068999,206.71338986306995,160.57999999999998,135.610059,99.97383380308,75.806722,99.86321000000001,156.5,223.02590341658998,225.33570520156,160.57999999999998,20.889940999999993,123.05206961350999,149.52898320155998,60.716789999999975,-1.5977232291143943,0.17584114491885605,0.29924348834656195,-1.466220424602731,5.054986085129896,-1.0203940729565855,-0.8578590613607981,1.3568552462134655
BRA,84.89273497197198,82.37228697589495,75.12114523397214,79.0099398321655,6.521033540495622,31.97921968221707,39.27841177906604,21.103046025248894,7.6814977661499455,38.82278962532062,52.28675848421851,26.70935589886084,75.230194,35.525459084926005,3.7886471652590106,38.62862009999998,90.28999999999998,139.72181330113693,140.403153884934,105.628338,36.34446599999998,11.530689709515016,0.0,25.629566999999998,93.6,155.9304815816,155.14076318819124,107.2251015,57.25553400000001,144.39979187208496,155.14076318819124,81.5955345,-3.352831367536102,0.33720613429082985,0.03864826437565148,-0.6778579754425469,14.72281177829211,-0.7833179979219937,-0.7326054321230191,-0.4039257010115933
DEU,60.15561676043107,58.75273461778521,67.3895200770494,67.98230454067657,3.295126790044287,12.857187795517268,17.905875781615457,11.369826404210418,5.477671026409861,21.88355636407302,26.57071271785714,16.724685167751836,57.55,47.94491000000001,46.235946,53.81271915000001,69.10096,85.99815971141199,99.78067538876998,84.3,57.0764215,47.51380273878001,23.34784515356001,45.314054,71.841812,108.85268941205,120.87526191591,86.7,14.765390500000002,61.33888667326999,97.52741676234999,41.385946000000004,2.0476079010962227,1.2709569653856678,0.5545021057496515,0.11239334876902918,3.2959566288848907,0.7370258128912894,-0.12176452980029095,-1.4594806172497372
ITA,54.25441759443967,54.26422529618275,63.17161855083776,62.88419800423281,2.533446738594748,11.802156885022454,17.10402113881536,10.504814857759587,4.669567660891067,21.749424820135935,27.07548347055694,16.705015236184607,53.099337000000006,44.799337,44.0,47.36623240000001,62.211096,78.79083418633198,97.194955024331,78.07369799999995,53.099337,44.799336999999994,14.299919491152487,44.3,65.61850900000002,99.65551156565999,110.9498915436275,82.3,12.519172000000019,54.85617456566,96.64997205247502,38.0,2.9862910669017193,1.364227510693301,0.590501737574356,0.1528235243028709,8.396881196922838,1.1647560241379522,-0.006852519535428758,-1.3753679763993272
AUS,32.74858409209209,31.842375371939987,33.656449727382,33.490536864531194,1.6463143395724833,5.370792110246575,7.203544230136481,4.336533428361118,5.027131356100444,16.86680735187678,21.40316132118911,12.948533628775024,30.005272,27.325271999999995,23.241498151669,25.89,35.145272,42.86688575774002,47.422396729596,38.24,30.005271999999994,26.86840399999999,16.449132126660007,21.669999999999998,35.635272,49.789015138365,52.31411378599,38.62,5.630000000000006,22.92061113836501,35.86498165933,16.95,-0.03506056533393313,1.1161782822409443,0.6169409394929245,-0.6502350931236471,-1.481802310528426,0.2708103048703867,-0.27888329731790495,-1.0529309900466448
