mean_CAPEX,mean_Capacity,mean_Combined,mean_OPEX,std_CAPEX,std_Capacity,std_Combined,std_OPEX,cv_CAPEX,cv_Capacity,cv_Combined,cv_OPEX,q05_CAPEX,q05_Capacity,q05_Combined,q05_OPEX,q95_CAPEX,q95_Capacity,q95_Combined,q95_OPEX,min_CAPEX,min_Capacity,min_Combined,min_OPEX,max_CAPEX,max_Capacity,max_Combined,max_OPEX,range_CAPEX,range_Capacity,range_Combined,range_OPEX,skewness_CAPEX,skewness_Capacity,skewness_Combined,skewness_OPEX,kurtosis_CAPEX,kurtosis_Capacity,kurtosis_Combined,kurtosis_OPEX,year
32094818086.400158,32095961914.31584,31508830206.91694,31506982691.881203,307355908.7702163,6080816.533475855,764039404.4578862,696580112.327582,0.9576496365949341,0.018945737004889746,2.4248421773848063,2.210875345124935,31586435874.113472,32093304565.897266,30221540074.894836,30394341677.416473,32600675779.81699,32100991461.428917,32719439497.9279,32668491905.240402,31089032231.601,32093213264.217537,29114176901.41219,29590092538.99121,32955987140.78725,32139381974.47735,33386541083.597893,33248201103.822647,1866954909.1862478,46168710.25981009,4272364182.185702,3658108564.8314357,0.006885183119699551,5.033898847194767,-0.2229117508817377,-0.027784493506454472,-0.19021462067338035,26.171863774733826,-0.17871949801706455,-0.4780020834596339,2022
32430352713.958633,32432968824.448948,31854452521.38316,31851692478.98659,307376219.97989357,9189255.42551647,783566248.0929432,719615501.0248547,0.947804122548421,0.02833306896835584,2.4598327268910154,2.2592692727383454,31922018409.08025,32428589066.041477,30504725810.602398,30717424016.759922,32935993370.674812,32457924585.79468,33098811363.116817,33059241666.993744,31425102861.77853,32427487340.468697,29227865233.91789,29698877209.460205,33292270690.29879,32477151903.186096,33711460907.86876,33657609161.652496,1867167828.520257,49664562.71740049,4483595673.95087,3958731952.1922917,0.006964366039269845,3.0579850441190977,-0.22781433447277696,-0.03681614287930415,-0.19054318233740375,8.525766963592082,-0.14536828960837944,-0.421520739740016,2023
32752259824.3616,32755130004.268932,32203214978.613834,32202395138.625732,307404812.4194545,10263004.586078081,804523259.7126925,740694771.3915347,0.9385758847418596,0.03133251061662865,2.4982700026906524,2.3001232305950285,32243741683.824047,32749044470.684624,30825582830.29119,31032712014.128918,33257769114.196953,32782028730.934525,33509825857.948444,33473713604.24622,31746716805.694805,32748039119.40865,29421406138.05171,29890741765.603725,33614870842.37417,32796449029.008945,34133364905.96027,34094418288.757458,1868154036.6793647,48409909.60029885,4711958767.908562,4203676523.1537333,0.007339210645734939,2.2886726801877866,-0.22849918949581743,-0.03559176680135891,-0.1900235491943354,4.22642564356377,-0.08901869423663422,-0.3749284127891288,2024
33297182140.28942,33306162738.978413,32768514097.953266,32763066724.530743,308096012.9194906,11279999.24663937,830932844.2381989,770829572.6220363,0.9252915505624602,0.033867603827679366,2.535766015371747,2.3527393790792237,32783976520.845436,33296526728.801353,31330885104.19807,31529457520.96486,33798586822.715305,33325511797.80081,34108856421.900013,34061819781.580425,32294765880.1769,33296459738.456375,29924380329.384064,30395316603.5666,34162404365.097122,33332007007.42025,34846177460.45497,34822534253.20098,1867638484.9202223,35547268.96387339,4921797131.070909,4427217649.634377,0.006739511091094319,0.6573213472730505,-0.2287518533558495,-0.04021236422641024,-0.19404145220149926,-1.261457310607006,-0.07523185638468544,-0.3327584343288854,2025
34127618766.772583,34179292493.4693,33563384978.06256,33527379181.10934,312019315.00430876,65645220.19668583,874353905.550537,822111283.6202396,0.9142721534035003,0.19206137812603577,2.605082610475747,2.452059491973204,33611165914.46914,34128168876.546257,32049766856.782097,32187557739.862568,34638025453.08457,34301446582.977676,35009389481.04402,34897860744.80562,33137825057.943108,33933703520.16513,30563172778.196133,31044822208.1379,35009490883.38496,34355205090.507584,35786431660.02716,35758329059.99231,1871665825.441852,421501570.34245133,5223258881.831028,4713506851.854406,0.00562199351672581,0.7522715747899075,-0.2203925193717355,-0.046684860879527376,-0.20603235085341698,-0.7262738959986392,0.03230987261052931,-0.2910522961326767,2026
35244303591.55078,35331593889.008415,34644968818.423874,34573565149.71678,315712665.6726872,188386346.98532566,948769128.2708414,879024817.28256,0.8957835266984078,0.5331951555232051,2.7385480796458235,2.5424766392359186,34724291969.88331,35205429338.09089,33022344225.88105,33165021378.133408,35769282992.87745,35626418558.94189,36196328208.68836,36018829525.98483,34267179919.921474,33809815751.919785,31359063970.59243,31899000230.661064,36133317314.132645,35720570155.94537,37140210510.23766,37007888761.83812,1866137394.211173,1910754404.0255919,5781146539.645232,5108888531.177059,0.007887955272521991,-1.5155852626040247,-0.20071167652749472,-0.03220478278617106,-0.2159451945804194,10.658964185957482,0.04852490081175631,-0.2736758485849493,2027
36854847005.05572,36942321621.0774,36150304043.9727,36073267803.20274,320918151.9296631,454175056.2364084,1080914240.138082,933234835.6016145,0.8707624044284863,1.229416659014953,2.9900557373549996,2.587053772596554,36326516090.98494,36360992815.18865,34193062474.940933,34554700278.05906,37386083054.40237,37535671313.80804,37851248017.20522,37589638987.198746,35897057739.50425,33738084249.232807,32078084189.26547,33257136922.945507,37743998699.190094,37858810084.989395,39062734980.30972,38672383376.71623,1846940959.6858473,4120725835.7565923,6984650791.044257,5415246453.770727,0.01285056532920346,-2.3484277984633994,-0.29735008989056333,-0.02794407068779001,-0.23239651436558795,10.492283071184044,0.1915112246212538,-0.2651576313958408,2028
38918263537.16115,38788144098.573395,37894116461.61781,38024650520.82893,333498863.04776365,787697422.485523,1297848506.8150306,1009188119.9264985,0.856921231157505,2.030768526804803,3.4249340742106895,2.6540365423574137,38365135581.39285,37164069101.760345,35545555855.299255,36370217480.01692,39477096311.08061,39697393685.859886,39788007578.14987,39637731559.45579,37939990366.62174,33945647496.98163,32717077463.8372,34886558359.89175,39835716740.315544,40186944874.3013,41321132048.41816,40944715095.34141,1895726373.6938014,6241297377.319672,8604054584.580957,6058156735.4496565,0.010567075003673591,-2.2463655423069286,-0.5269605007897303,-0.026689900293262212,-0.23290229093289438,7.51039057572533,0.571734965271046,-0.24492141147127233,2029
41514641086.05506,41109240085.62831,40137349630.9587,40539514357.1308,356109165.16323245,1221512562.3485131,1642360021.6086457,1107302995.1171865,0.85779174731406,2.971382005126266,4.091849702855971,2.731416527002413,40931682562.66561,38293928919.66961,36952980906.373795,38694279437.44261,42108741986.73056,42348440669.72664,42373003215.4908,42376825445.61928,40481733712.77463,34561960979.56798,33561854618.64534,37128448325.94764,42473687599.18393,43217080649.78634,44005131365.647,43691084070.73235,1991953886.409305,8655119670.218363,10443276747.001663,6562635744.784713,0.0056717703264965195,-2.129363104648315,-0.8327847375208348,-0.02931995594982038,-0.22989747669774552,5.301609672108167,1.0646903412835504,-0.23289084147720462,2030
44908996872.609886,44135569659.96856,43080529538.62961,43854741310.55896,390426855.45932543,1898103939.2036726,2217982265.1946335,1225352558.9602208,0.8693733609032087,4.300621820058376,5.148456365202765,2.7941164908096066,44269833778.80511,39562112652.885574,38266070923.06609,41875077658.45151,45557652605.34149,45906870493.0121,45906593992.55677,45865263762.596054,43788150974.83995,35535405451.56609,34482884746.20881,40015672589.63152,45930344302.809814,46761202956.29287,48054374480.62731,47308208734.13403,2142193327.969864,11225797504.726774,13571489734.418505,7292536144.502513,0.0010073324044762905,-1.8988190939888865,-1.1079204717372817,-0.035341470131201966,-0.2427441347965904,3.3534924998954625,1.387271941083677,-0.2221581753077566,2031
