carrier,AUS_percentage,AUT_percentage,BRA_percentage,CHN_percentage,CZE_percentage,DEU_percentage,ITA_percentage,JPN_percentage,KOR_percentage,ROE_percentage,ROW_percentage,USA_percentage
Iron,1.0,0.0,2.0,55.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,17.0
Steel,1.0,1.0,2.0,39.0,1.0,3.0,2.0,7.0,9.0,10.0,8.0,17.0
Bauxite,7.0,0.0,4.0,76.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0
Copper,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,46.0,27.0,0.0
Copper_ore,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,46.0,27.0,0.0
Aluminium,7.0,2.0,4.0,80.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0
Compressor,1.0,0.0,4.0,40.0,1.0,3.0,1.0,8.0,17.0,9.0,11.0,4.0
HEX,2.0,1.0,1.0,29.0,0.0,2.0,2.0,5.0,0.0,7.0,38.0,12.0
HP,1.0,1.0,1.0,39.0,1.0,3.0,2.0,6.0,4.0,10.0,5.0,26.0
Nickel,0.0,0.0,13.0,17.0,0.0,0.0,0.0,9.0,0.0,0.0,60.0,0.0
