carrier,AUS,AUT,BRA,CHN,CZE,DEU,ITA,JPN,KOR,ROE,ROW,USA,total_tech
Iron,962.0,0.0,2108.0,48939.0,1.0,0.0,3.0,1.0,280.0,14064.0,6807.0,15141.0,88304.0
Steel,601.0,292.0,1318.0,21749.0,609.0,1514.0,1107.0,3781.0,5208.0,5269.0,4254.0,9488.0,55190.0
Bauxite,3374.0,1.0,1817.0,36178.0,1.0,1.0,0.0,1.0,1.0,3804.0,2509.0,54.0,47738.0
Copper,0.0,3.0,9.0,4366.0,0.0,3.0,14.0,3.0,2.0,7493.0,4396.0,0.0,16288.0
Copper_ore,0.0,3.0,9.0,4366.0,0.0,3.0,14.0,3.0,2.0,7493.0,4396.0,0.0,16288.0
Aluminium,840.0,275.0,454.0,9525.0,34.0,308.0,0.0,17.0,0.0,0.0,0.0,482.0,11935.0
Compressor,22.0,0.0,112.0,1194.0,44.0,80.0,36.0,228.0,515.0,278.0,332.0,112.0,2954.0
HEX,65.0,18.0,27.0,863.0,14.0,63.0,65.0,153.0,12.0,200.0,1123.0,353.0,2954.0
HP,39.0,25.0,44.0,1145.0,26.0,82.0,74.0,186.0,130.0,284.0,162.0,757.0,2954.0
Nickel,0.0,0.0,232.0,308.0,3.0,0.0,0.0,157.0,3.0,0.0,1070.0,0.0,1772.0
