technology,node,year,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4
Aluminium_production,AUS,0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,AUS,1,0.0,0.0,0.0,0.0,0.0
Aluminium_production,AUS,2,0.0,0.0,0.0,0.0,0.0
Aluminium_production,AUS,3,0.0,0.0,0.0,0.0,0.0
Aluminium_production,AUS,4,0.0,0.0,0.0,0.0,0.0
Aluminium_production,AUS,5,0.0,0.0,0.0,0.0,0.0
Aluminium_production,AUS,6,0.0,0.0,0.0,0.0,0.0
Aluminium_production,AUS,7,0.0,0.0,0.0,0.0,0.0
Aluminium_production,AUS,8,0.0,0.0,0.0,0.0,0.0
Aluminium_production,AUS,9,0.0,0.0,0.0,0.0,0.0
Aluminium_production,AUS,10,0.0,0.0,0.0,0.0,0.0
Aluminium_production,AUS,11,0.0,0.0,0.0,0.0,0.0
Aluminium_production,AUS,12,0.0,0.0,0.0,0.0,0.0
Aluminium_production,AUS,13,0.0,0.0,0.0,0.0,0.0
Aluminium_production,AUT,0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,AUT,1,0.0,0.0,0.0,0.0,0.0
Aluminium_production,AUT,2,0.0,0.0,0.0,0.0,0.0
Aluminium_production,AUT,3,0.0,0.0,0.0,0.0,0.0
Aluminium_production,AUT,4,0.0,0.0,0.0,0.0,0.0
Aluminium_production,AUT,5,0.0,0.0,0.0,0.0,0.0
Aluminium_production,AUT,6,0.0,0.0,0.0,0.0,0.0
Aluminium_production,AUT,7,0.0,0.0,0.0,0.0,0.0
Aluminium_production,AUT,8,0.0,0.0,0.0,0.0,0.0
Aluminium_production,AUT,9,0.0,0.0,0.0,0.0,0.0
Aluminium_production,AUT,10,0.0,0.0,0.0,0.0,0.0
Aluminium_production,AUT,11,0.0,0.0,0.0,0.0,0.0
Aluminium_production,AUT,12,0.0,0.0,0.0,0.0,0.0
Aluminium_production,AUT,13,0.0,0.0,0.0,0.0,0.0
Aluminium_production,BRA,0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,BRA,1,0.0,0.0,0.0,0.0,0.0
Aluminium_production,BRA,2,0.0,0.0,0.0,0.0,0.0
Aluminium_production,BRA,3,0.0,0.0,0.0,0.0,0.0
Aluminium_production,BRA,4,0.0,0.0,0.0,0.0,0.0
Aluminium_production,BRA,5,0.0,0.0,0.0,0.0,0.0
Aluminium_production,BRA,6,0.0,0.0,0.0,0.0,0.0
Aluminium_production,BRA,7,0.0,0.0,0.0,0.0,0.0
Aluminium_production,BRA,8,0.0,0.0,0.0,0.0,0.0
Aluminium_production,BRA,9,0.0,0.0,0.0,0.0,0.0
Aluminium_production,BRA,10,0.0,0.0,0.0,0.0,0.0
Aluminium_production,BRA,11,0.0,0.0,0.0,0.0,0.0
Aluminium_production,BRA,12,0.0,0.0,0.0,0.0,0.0
Aluminium_production,BRA,13,0.0,0.0,0.0,0.0,0.0
Aluminium_production,CHN,0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,CHN,1,0.0,0.0,0.0,0.0,0.0
Aluminium_production,CHN,2,0.0,0.0,0.0,0.0,0.0
Aluminium_production,CHN,3,0.0,0.0,0.0,0.0,0.0
