year,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4,value_scenario_S5
0,773135590.4999999,773135590.4999999,773135590.4999999,773135590.4999999,773135590.4999999,773135590.5
1,837295821.6095655,837295821.6095655,837295821.6095655,837295821.6095655,837295821.6095655,837295821.6095655
2,908787864.6882945,908787864.6882945,908787864.6882945,908787864.6882945,908787864.6882945,908787864.6882945
3,988626853.731699,988626853.731699,988626853.731699,988626853.731699,988626853.731699,988626853.731699
4,1077983322.9889815,1077983322.9889815,1077983322.9889812,1077983322.9889815,1077983322.9889815,1077983322.9889815
5,1178208344.3175044,1178208344.3175044,1178208344.3175044,1178208344.3175044,1178208344.3175044,1178208344.3175046
6,1290862690.414479,1290862690.414479,1290862690.414479,1290862690.414479,1290862690.414479,1290862690.414479
7,1417750943.3303578,1417750943.3303578,1417750943.3303578,1417750943.3303578,1417750943.3303578,1417750943.330358
8,1560961105.4787748,1560961105.4787748,1560961105.478775,1560961105.4787748,1560961105.4787748,1560961105.478775
9,1722911036.5282724,1722911036.5282724,1722911036.5282724,1722911036.5282724,1722911036.5282724,1722911036.5282724
10,1906402377.8684433,1906402377.868443,1906402377.868443,1906402377.868443,1906402377.868443,1906402377.868443
11,2114683692.016487,2114683692.0164866,2114683692.0164866,2114683692.0164866,2114683692.0164866,2114683692.0164864
12,2315924178.75,2351523945.3242354,2351523945.3242354,2351523945.3242354,2351523945.324236,2351523945.3242354
13,2482392112.2000003,2621298521.0538945,2621298521.0538945,2621298521.0538945,2621298521.0538945,2621298521.0538945
