technology,location,time_operation,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4,value_scenario_S5
Aluminium_production,AUS,0,690.0,690.0,690.0,690.0,690.0,690.0
Aluminium_production,AUS,1,690.0,690.0,690.0,690.0,690.0,690.0
Aluminium_production,AUS,2,690.0,690.0,690.0,690.0,690.0,690.0
Aluminium_production,AUS,3,690.0,690.0,690.0,690.0,690.0,690.0
Aluminium_production,AUS,4,690.0,690.0,690.0,690.0,690.0,690.0
Aluminium_production,AUS,5,690.0,690.0,690.0,690.0,690.0,690.0
Aluminium_production,AUS,6,690.0,690.0,690.0,690.0,690.0,690.0
Aluminium_production,AUS,7,690.0,690.0,690.0,690.0,690.0,690.0
Aluminium_production,AUS,8,690.0,690.0,690.0,690.0,690.0,690.0
Aluminium_production,AUS,9,690.0,690.0,690.0,690.0,690.0,690.0
Aluminium_production,AUS,10,690.0,690.0,690.0,690.0,690.0,690.0
Aluminium_production,AUS,11,690.0,690.0,690.0,690.0,690.0,690.0
Aluminium_production,AUS,12,690.0,690.0,690.0,690.0,690.0,690.0
Aluminium_production,AUS,13,690.0,690.0,690.0,690.0,690.0,690.0
Aluminium_production,AUT,0,109.984,109.984,109.984,109.984,109.984,109.984
Aluminium_production,AUT,1,109.984,109.984,109.984,109.984,109.984,109.984
Aluminium_production,AUT,2,109.984,109.984,109.984,109.984,109.984,109.984
Aluminium_production,AUT,3,109.984,109.984,109.984,109.984,109.984,109.984
Aluminium_production,AUT,4,109.984,109.984,109.984,109.984,109.984,109.984
Aluminium_production,AUT,5,109.984,109.984,109.984,109.984,109.984,109.984
Aluminium_production,AUT,6,109.984,109.984,109.984,109.984,109.984,109.984
Aluminium_production,AUT,7,109.984,109.984,109.984,109.984,109.984,109.984
Aluminium_production,AUT,8,109.984,109.984,109.984,109.984,109.984,109.984
Aluminium_production,AUT,9,109.984,109.984,109.984,109.984,109.984,109.984
Aluminium_production,AUT,10,109.984,109.984,109.984,109.984,109.984,109.984
Aluminium_production,AUT,11,109.984,109.984,109.984,109.984,109.984,109.984
Aluminium_production,AUT,12,109.984,109.984,109.984,109.984,109.984,109.984
Aluminium_production,AUT,13,109.984,109.984,109.984,109.984,109.984,109.984
Aluminium_production,BRA,0,178.42,178.42,178.42,178.42,178.42,178.42
Aluminium_production,BRA,1,178.42,178.42,178.42,178.42,178.42,178.42
Aluminium_production,BRA,2,178.42,178.42,178.42,178.42,178.42,178.42
Aluminium_production,BRA,3,178.42,178.42,178.42,178.42,178.42,178.42
Aluminium_production,BRA,4,178.42,178.42,178.42,178.42,178.42,178.42
Aluminium_production,BRA,5,178.42,178.42,178.42,178.42,178.42,178.42
Aluminium_production,BRA,6,178.42,178.42,178.42,178.42,178.42,178.42
Aluminium_production,BRA,7,178.42,178.42,178.42,178.42,178.42,178.42
Aluminium_production,BRA,8,178.42,178.42,178.42,178.42,178.42,178.42
Aluminium_production,BRA,9,178.42,178.42,178.42,178.42,178.42,178.42
Aluminium_production,BRA,10,178.42,178.42,178.42,178.42,178.42,178.42
Aluminium_production,BRA,11,178.42,178.42,178.42,178.42,178.42,178.42
Aluminium_production,BRA,12,178.42,178.42,178.42,178.42,178.42,178.42
Aluminium_production,BRA,13,178.42,178.42,178.42,178.42,178.42,178.42
Aluminium_production,CHN,0,3523.59,3523.59,3523.59,3523.59,3523.59,3523.59
Aluminium_production,CHN,1,3998.07750711,3998.07750711,3998.07750711,3998.07750711,3998.07750711,3998.07750711
Aluminium_production,CHN,2,4526.786346090001,4526.786346090001,4526.78634609,4526.786346090001,4526.786346090001,4526.786346090001
Aluminium_production,CHN,3,5117.2237903800005,5117.2237903800005,5117.2237903800005,5117.2237903800005,5117.2237903800005,5117.2237903800005
Aluminium_production,CHN,4,5778.04635303,5778.04635303,5778.046353029999,5778.04635303,5778.046353029999,5778.04635303
Aluminium_production,CHN,5,6519.24568629,6519.24568629,6519.24568629,6519.24568629,6519.24568629,6519.245686290001
Aluminium_production,CHN,6,7352.364253979999,7352.364253979999,7352.364253979999,7352.364253979999,7352.364253979999,7352.364253980001
Aluminium_production,CHN,7,8290.747575959998,8290.747575959998,8290.74757596,8290.747575959998,8290.747575959998,8290.74757596
Aluminium_production,CHN,8,9349.837165500001,9349.837165500001,9349.837165500001,9349.8371655,9349.837165500001,9349.8371655
Aluminium_production,CHN,9,10547.51394645,10547.51394645,10547.51394645,10547.51394645,10547.513946449999,10547.513946449999
Aluminium_production,CHN,10,11904.49704366,11904.49704366,11904.497043659998,11904.49704366,11904.49704366,11904.497043659998
Aluminium_production,CHN,11,13444.81072113,13444.810721130003,13444.810721130003,13444.810721130003,13444.81072113,13444.81072113
Aluminium_production,CHN,12,14933.055,15196.32781251,15196.32781251,15196.32781251,15196.32781251,15196.32781251
