year,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4,value_scenario_S5
0,72257190.96156001,72257190.96156001,72257190.96156001,67450364.67006001,72257190.96156001,72257190.96156
1,78840226.63701819,78840226.63701819,78840226.6370182,73975560.41512285,78840226.63701819,78840226.6370182
2,86175528.61395422,86175528.61395422,86175528.61395422,81246412.89236131,86175528.61395422,86175528.61395423
3,94367252.7408159,94367252.7408159,94367252.74081591,89424523.48081592,94367252.74081591,94367252.7408159
4,103535499.4067163,103535499.4067163,103535499.40671633,98592770.14671633,103535499.4067163,103535499.40671632
5,113894050.20575444,113894050.20575444,113894050.20575444,108876163.45077914,113894050.20575444,113894050.20575444
6,125874582.27937803,125874582.27937803,125874582.27937803,120434843.43878241,125874582.27937803,125874582.27937801
7,139368857.7910937,139368857.7910937,139368857.7910937,133505758.25509372,139368857.7910937,139368857.7910937
8,154598931.02245414,154598931.02245414,154598931.0224541,148735831.48645413,154598931.02245414,154598931.02245414
9,171821935.8197075,171821935.8197075,171821935.81970748,165958836.28370753,171821935.81970748,171821935.81970745
10,191335820.33744967,191335820.3374497,191335820.33744967,185472720.8014497,191335820.33744967,191335820.33744964
11,213486061.77011573,213486061.77011573,213486061.77011573,207622962.23411572,213486061.77011567,213486061.77011555
12,234887527.30919987,238673481.0698209,238673481.0698209,232810381.5338209,238673481.0698209,238673481.06982094
13,252591011.32934391,267363390.24025962,267363390.24025962,261500290.70425957,267363390.24025968,267363390.24025965
