year,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4
0,4129592.792959471,4129493.925671859,4129493.925671859,4129493.925671859,4129592.792959471
1,4129592.792959471,4129493.925671859,4129493.925671859,4129493.925671859,4129592.792959471
2,4129592.792959471,4129493.925671859,4129493.925671859,4129493.925671859,4129592.792959471
3,4142460.2078603855,4142405.2815894904,4142405.2815894904,4166076.100771813,4142460.2078603855
4,4198832.204117326,4198777.27784643,4198777.27784643,4327337.893155217,4198832.204117326
5,4304397.295832226,4304397.295832227,4304397.295832227,4515867.9852104075,4304397.295832225
6,4470055.317573949,4470055.31757395,4470055.31757395,4756647.539574923,4476150.516613958
7,4713595.919568746,4713684.407255862,4712027.44419234,5052951.79330438,4714459.789704519
8,5027916.353136157,5027984.7680786,5023175.939233915,5413837.5451875925,5028768.993604559
9,5440573.651805566,5442305.660214534,5432773.604588493,5882601.652207017,5442276.36620339
10,5915236.150549945,5917480.804153957,5902226.130630461,6422045.319683085,5917451.510142814
11,6562932.986983462,6401544.638240814,6386289.964713149,7143934.274875179,6562932.98698346
12,7190364.556867029,6978154.125976311,6962899.452448646,7990703.122135103,7190364.556867028
13,7668310.298214505,7653626.682711183,7653701.095629732,8973339.146972379,7668310.2982145045
