year,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4
0,52435073.37598601,63542992.37355518,52434974.50869843,52434930.02158596,52435073.37598601
1,107043738.34819597,118199096.27951208,107907713.93485828,107021394.7086291,107043738.34819597
2,107147269.95555556,166667205.60778427,108973455.7406475,107314223.65683983,107147269.95555556
3,149412667.7324445,208714368.64459744,109143612.3154015,149511418.4813042,149412667.7324445
4,184390864.7371175,208853325.59063435,109241466.82707854,149611793.32063493,184390864.7371175
5,184604227.69641885,209158443.46760768,109286727.67717923,149936529.36690292,184604227.69641885
6,184809070.4703314,209651085.59725592,127341409.47933912,150363085.07702488,184809070.4703314
7,185129798.54391643,209936240.65410712,127355772.61073671,158094037.4825772,185129798.54391643
8,186093885.27978724,210264605.77047712,128800674.67838547,158813031.01646405,186093885.27978724
9,186368126.2961482,210574754.77879497,132149423.19857554,159376786.61377025,186368126.2961482
10,195923788.82615283,211095649.0302418,140411279.81455755,159997749.93631324,195923788.82615283
11,247514138.33031085,211700973.38911432,140948710.58722815,161252916.90735945,247514138.33031085
12,247518881.09195548,213931191.7559586,141707877.01667517,162049453.65244058,247518881.09195548
13,274685719.7536911,221038082.14953965,151361887.3504457,163603617.1613493,274685719.7536911
