year,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4,value_scenario_S5
0,1271968.4249999996,1271968.4249999996,1271968.4249999996,512588788.4250001,1271968.4249999996,1271968.4249999998
1,1377525.3145221747,1377525.3145221747,1377525.314522175,512694345.31452215,1377525.3145221747,1377525.314522175
2,1495144.5556388248,1495144.5556388248,1495144.5556388248,512811964.5556388,1495144.5556388248,1495144.5556388248
3,1626496.2543511495,1626496.2543511495,1626496.2543511498,512943316.25435114,1626496.2543511495,1626496.2543511495
4,1773506.1823137747,1773506.1823137747,1773506.1823137747,513090326.1823138,1773506.1823137747,1773506.1823137747
5,1938397.1329973247,1938397.1329973247,1938397.1329973245,513255217.13299733,1938397.1329973247,1938397.132997325
6,2123736.9012541496,2123736.9012541496,2123736.9012541496,513440556.9012541,2123736.9012541496,2123736.9012541496
7,2332494.3988982993,2332494.3988983,2332494.3988983,513649314.3988983,2332494.3988983,2332494.3988983
8,2568104.8230337496,2568104.8230337496,2568104.8230337496,513884924.8230337,2568104.8230337496,2568104.8230337496
9,2834546.054374125,2834546.054374125,2834546.054374125,514151366.0543741,2834546.054374125,2834546.0543741244
10,3136427.37417555,3136427.3741755495,3136427.37417555,514453247.37417555,3136427.37417555,3136427.3741755495
11,3479093.341658025,3479093.341658025,3479093.341658025,514795913.34165806,3479093.3416580246,3479093.3416580246
12,56418098573.28754,3868744.6883016746,3868744.6883016746,515185564.6883017,3868744.6883016746,3868744.6883016746
13,220126488308.37,4312579.827198825,4312579.827198826,515629399.8271988,4312579.827198825,4312579.827198825
