year,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4
0,11060595000.0,11060595000.0,11060595000.0,11060595000.0,11060595000.0
1,11978480995.845,11978480995.845,11978480995.845,11978480995.845,11978480995.845
2,13001257005.555,13001257005.555,13001257005.555,13001257005.555,13001257005.555002
3,14143445690.009996,14143445690.01,14143445690.009998,14143445690.009998,14143445690.01
4,15421792889.685,15421792889.685,15421792889.685001,15421792889.684998,15421792889.685
5,16855627243.454998,16855627243.454998,16855627243.454998,16855627243.455,16855627243.455
6,18467277402.209522,18467277402.209522,18467277402.209522,18467277402.209522,18467277402.209522
7,20282559990.420002,20282559990.42,20282559990.42,20282559990.420002,20282559990.42
8,22331346287.249996,22331346287.25,22331346287.25,22331346287.25,22331346287.249996
9,24648226559.774998,24648226559.775,24648226559.743114,24648226559.774998,24648226559.774998
10,27273281514.570004,27273281514.569996,27273281514.60189,27273281514.57,27273281514.57
11,30252985579.635002,30252985579.603115,30252985579.60311,30252985579.635002,30252985579.635002
12,89546250897.59996,33641258159.11311,33641258159.11311,33641258159.145,89546250897.59991
13,255635882258.39996,37500694149.45934,37500694149.45934,37500694149.555,255635882258.3999
