year,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4
0,11060595000.0,11060595000.000002,11060594999.999998,11060594999.999998,11060595000.0
1,11978480995.845,11978480995.845001,11978480995.845001,11978480995.845,11978480995.845
2,13001257005.555,13001257005.555004,13001257005.555,13001257005.555,13001257005.555
3,14143445690.010002,14143445690.01,14143445690.01,14143445690.009998,14143445690.010002
4,15421792889.685001,15421792889.685001,15421792889.684998,15421792889.685001,15421792889.685001
5,16855627243.455002,16855627243.455,16855627243.454996,16855627243.454996,16855627243.455002
6,18467277402.209522,18467277402.210003,18467277402.209522,18467277402.209522,18467277402.209522
7,20282559990.419994,20282559990.42,20282559990.42,20282559990.419994,20282559990.419994
8,22331346287.249992,22331346287.250004,22331346287.249996,22331346287.250004,22331346287.249992
9,24648226559.774998,24648226559.774998,24648226559.74311,24648226559.774998,24648226559.774998
10,3021040413921.7207,27273281514.57,27273281514.601887,27273281514.570004,3021040413921.7207
11,3351099941128.941,30252985579.60311,30252985579.60311,30252985579.635002,3351099941128.941
12,3726416288397.765,33641258159.113113,33641258159.113113,33641258159.145004,3726416288397.765
13,4153923044258.5938,37500694149.45934,37500694149.45934,37500694149.55499,4153923044258.5938
