year,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4,value_scenario_S5
0,35195570.892013736,35195570.892013736,35195283.892013736,34631641.51724914,35195570.8920138,34441390.78557133
1,35961052.27591885,35961052.27591885,35978470.35820682,35448681.49847617,35961052.27591885,34894146.07763285
2,36799289.6451206,36799289.6451206,36845702.548749715,36351073.82529067,36799289.6451206,35429499.53488277
3,37892673.84084258,37892673.84084258,37972043.875501215,37457581.30674193,37892673.84084258,36283023.848569885
4,39407482.568754606,39407482.568754606,39514885.47281024,38972016.206371196,39407482.568754606,37299277.75924011
5,41371657.663291305,41371657.663291305,41505299.23749874,40917628.80679316,41371657.663291305,38574577.76332795
6,43728689.56894461,43728689.56894461,43888544.95266489,43163993.86774517,43730260.99310674,40353074.74980731
7,46568820.424315676,46568820.424315676,46643416.65754731,45891594.89292215,46568820.424315676,42664032.033502415
8,49941692.78116476,49941692.78116476,50063190.33731299,49264215.1052668,49941692.78116476,45714468.40554962
9,53907974.325270616,53908918.485875435,54092231.65912196,53231272.01364192,53906772.47122678,50058241.302861266
10,58583234.428906545,58582731.690052174,58716670.969019085,57905025.72680283,58583728.6313452,55887482.269039996
11,64326807.027050436,63689040.92031988,63674089.454361305,63011297.32503414,63688724.13892309,58532548.19243977
12,70216993.49604309,69765735.00013049,69721104.1001912,69087945.30269107,69783710.71819837,64234347.81748465
13,74541684.07020085,76666466.36387986,76682638.7670993,75988635.44376482,76699048.8952654,70698386.42786357
