year,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4
0,27964991.114022136,27970894.711679373,27970726.746843994,27965156.019524958,27965200.511419974
1,28301152.43955214,28305146.167680494,28304984.339229517,28300494.51615733,28279644.94838684
2,28623107.877357356,28622280.70043344,28621540.163762495,28620174.25646029,28582432.87689613
3,29154916.464270428,29154612.709308505,29153447.498681147,29180061.870804776,29096541.44245884
4,29929481.67695814,29928883.901951917,29928769.51380532,30066242.15397129,29852382.222480703
5,30945751.46443458,30945587.997768328,30945173.57936845,31201928.058073655,30850181.568474967
6,32387671.950720843,32387606.355361518,32387491.929477982,32762938.103351492,32274828.681308035
7,34220886.01179152,34220810.74122068,34223114.92034471,34686847.39047619,34077233.53156575
8,36505606.20963217,36505496.56162646,36521437.18235392,37081300.90560277,36313644.432050236
9,39488800.39122302,39487589.04729135,39515002.580517575,40194034.94419898,39235567.5038206
10,42896567.2843939,42894871.633299485,42935665.09660467,43745736.0054169,42566184.59190276
11,47097726.76136784,46886260.95624356,46935025.96176876,48101000.73211626,46696497.969695784
12,51168012.60178892,51523155.95553066,51581505.787207566,53119303.16724819,50678159.06196956
13,54265915.23641956,56820783.26542933,56898759.40689686,58839953.035741486,53707064.4966002
