year,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4
0,1319115796.709684,1318390915.2932432,1319361590.0938554,1318859821.238405,1319115796.709684
1,2189519564.2754493,2188677122.8939943,1827052975.4511108,1843762053.969959,2189498589.2754493
2,2722892950.5226154,2526124466.506659,1974630139.7243385,2710854089.9130454,2722852275.5226154
3,3058025277.6112022,2871863686.7989354,2683918943.580886,2989536033.9718513,3057952707.6112022
4,3141123169.318779,3652953055.711065,3307532011.424934,3255261144.066846,3141019659.318779
5,3409292461.5889893,3723285543.2900276,3599860959.2340016,3258221729.5898623,3409155501.5889893
6,3476013782.972093,3728274836.3711553,3807653841.647816,3773147117.8085394,3475843542.972093
7,3484720619.8908534,4066694886.8078113,3808082079.838901,4283435923.933883,3484513019.8908534
8,3814996451.6276007,4340096349.52501,3874706095.073853,4863229985.460049,3814737771.6276007
9,4590161187.242979,4345542140.766239,3885211455.1403046,4876988037.951789,4589853307.242979
10,4621757486.983103,4406498753.572701,3889014161.2935944,4939227174.708673,4621418486.983103
11,5146119215.538343,4552810901.202526,3892102407.3436565,4946028347.634838,5145757775.538343
12,5190921104.857896,4980554107.209503,3895480451.0035424,5214610459.390401,5190530034.857896
13,5220166362.282132,5013862229.511979,4373000772.676374,5225745700.929402,5219609592.282132
