technology,location,year,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4
Aluminium_production,AUS,0,96868.07999999999,96868.07999999999,96868.07999999999,96868.07999999999,96868.07999999999
Aluminium_production,AUS,1,96868.07999999999,96868.07999999999,96868.07999999999,96868.07999999999,96868.07999999999
Aluminium_production,AUS,2,96868.07999999999,96868.07999999999,96868.07999999999,96868.07999999999,96868.07999999999
Aluminium_production,AUS,3,96868.07999999999,96868.07999999999,96868.07999999999,96868.07999999999,96868.07999999999
Aluminium_production,AUS,4,96868.07999999999,96868.07999999999,96868.07999999999,96868.07999999999,96868.07999999999
Aluminium_production,AUS,5,96868.07999999999,96868.07999999999,96868.07999999999,96868.07999999999,96868.07999999999
Aluminium_production,AUS,6,96868.07999999999,96868.07999999999,96868.07999999999,96868.07999999999,96868.07999999999
Aluminium_production,AUS,7,96868.07999999999,96868.07999999999,96868.07999999999,96868.07999999999,96868.07999999999
Aluminium_production,AUS,8,96868.07999999999,96868.07999999999,96868.07999999999,96868.07999999999,96868.07999999999
Aluminium_production,AUS,9,96868.07999999999,96868.07999999999,96868.07999999999,96868.07999999999,96868.07999999999
Aluminium_production,AUS,10,96868.07999999999,96868.07999999999,96868.07999999999,96868.07999999999,96868.07999999999
Aluminium_production,AUS,11,96868.07999999999,96868.07999999999,96868.07999999999,96868.07999999999,96868.07999999999
Aluminium_production,AUS,12,96868.07999999999,96868.07999999999,96868.07999999999,96868.07999999999,96868.07999999999
Aluminium_production,AUS,13,96868.07999999999,96868.07999999999,96868.07999999999,96868.07999999999,96868.07999999999
Aluminium_production,AUT,0,33669.480480000006,33669.480480000006,33669.480480000006,33669.480480000006,33669.480480000006
Aluminium_production,AUT,1,33669.480480000006,33669.480480000006,33669.480480000006,33669.480480000006,33669.480480000006
Aluminium_production,AUT,2,33669.480480000006,33669.480480000006,33669.480480000006,33669.480480000006,33669.480480000006
Aluminium_production,AUT,3,33669.480480000006,33669.480480000006,33669.480480000006,33669.480480000006,33669.480480000006
Aluminium_production,AUT,4,33669.480480000006,33669.480480000006,33669.480480000006,33669.480480000006,33669.480480000006
Aluminium_production,AUT,5,33669.480480000006,33669.480480000006,33669.480480000006,33669.480480000006,33669.480480000006
Aluminium_production,AUT,6,33669.480480000006,33669.480480000006,33669.480480000006,33669.480480000006,33669.480480000006
