carrier,node,time_operation,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4,value_scenario_S5
Aluminium,AUS,0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUS,1,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUS,2,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUS,3,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUS,4,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUS,5,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUS,6,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUS,7,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUS,8,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUS,9,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUS,10,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUS,11,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUS,12,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUS,13,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUT,0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUT,1,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUT,2,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUT,3,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUT,4,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUT,5,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUT,6,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUT,7,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUT,8,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUT,9,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUT,10,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUT,11,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUT,12,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUT,13,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,BRA,0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,BRA,1,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,BRA,2,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,BRA,3,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,BRA,4,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,BRA,5,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,BRA,6,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,BRA,7,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,BRA,8,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,BRA,9,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,BRA,10,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,BRA,11,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,BRA,12,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,BRA,13,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CHN,0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CHN,1,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CHN,2,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CHN,3,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CHN,4,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CHN,5,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CHN,6,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CHN,7,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CHN,8,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CHN,9,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CHN,10,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CHN,11,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CHN,12,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CHN,13,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CZE,0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CZE,1,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CZE,2,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CZE,3,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CZE,4,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CZE,5,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CZE,6,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CZE,7,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CZE,8,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CZE,9,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CZE,10,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CZE,11,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CZE,12,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CZE,13,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,DEU,0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,DEU,1,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,DEU,2,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,DEU,3,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,DEU,4,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,DEU,5,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,DEU,6,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,DEU,7,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,DEU,8,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,DEU,9,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,DEU,10,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,DEU,11,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,DEU,12,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,DEU,13,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ITA,1,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ITA,2,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ITA,3,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ITA,4,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ITA,5,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ITA,6,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ITA,7,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ITA,8,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ITA,9,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ITA,10,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ITA,11,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ITA,12,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ITA,13,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,JPN,0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,JPN,1,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,JPN,2,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,JPN,3,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,JPN,4,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,JPN,5,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,JPN,6,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,JPN,7,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,JPN,8,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,JPN,9,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,JPN,10,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,JPN,11,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,JPN,12,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,JPN,13,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,KOR,0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,KOR,1,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,KOR,2,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,KOR,3,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,KOR,4,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,KOR,5,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,KOR,6,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,KOR,7,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,KOR,8,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,KOR,9,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,KOR,10,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,KOR,11,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,KOR,12,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,KOR,13,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ROE,0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ROE,1,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ROE,2,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ROE,3,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ROE,4,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ROE,5,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ROE,6,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ROE,7,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ROE,8,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ROE,9,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ROE,10,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ROE,11,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ROE,12,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ROE,13,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ROW,0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ROW,1,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ROW,2,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ROW,3,0.0,0.0,0.0,0.0,0.0,0.0
