year,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4,value_scenario_S5
0,40597132.10997321,40597132.10997321,40596746.24268559,551350022.7352086,40597132.109973274,39842952.0035308
1,41472773.728008874,41472773.728008874,41497826.56195132,552277222.9505662,41472773.728008874,40401264.185114495
2,42434384.51908775,42434384.51908775,42500565.000512704,553302988.6992577,42434384.51908775,41064372.968772195
3,43700490.66534491,43700490.66534491,43814715.52029239,554582218.1312442,43700490.66534491,42120561.93668492
4,45498783.96058048,45498783.96058048,45657128.168457314,556380137.5981971,45498783.960580386,43385754.304030806
5,47776882.35082111,47776882.35082111,47995069.07455515,558639673.494323,47776882.35082094,44971846.41436493
6,50501644.70778282,50501644.70778282,50754961.50537464,561253769.0065833,50503405.889418446,47115704.8660081
7,53820188.24616039,53820188.24616039,53948793.847442284,564459782.7147669,53820188.246160224,49893897.661774814
8,57730487.092238516,57730487.092238516,57947639.15000837,568369829.4163405,57730487.09223836,53446433.744126104
9,62320894.73747816,62321547.37942856,62670259.48699121,572960720.907195,62320063.96741278,58453111.42220886
10,67710179.37071826,67709847.12984401,68078496.62980549,578348961.1665947,67712321.68163456,65010090.74655274
11,74455407.71637647,73849613.77104191,73936649.26679896,584488690.1757562,73859201.74707267,68976867.67507444
12,56495609812.176,81206771.91515177,81070458.49089836,591845802.2177124,81222550.19279209,75903876.3766363
13,9262083001789.623,9119189565899.234,9119189453775.402,9089306049247.287,9119189575754.244,9119183777341.17
