year,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4
0,12432145870.08567,12442528907.666801,12432391564.60255,12431889751.259989,12432145870.08567
1,14275044298.468645,14285357215.018509,13913441685.23097,13929264444.523588,14275023323.468645
2,15831297226.033175,15694048677.669447,15084860601.019987,15819425319.124886,15831256551.033175
3,17350883635.35365,17224023745.453533,16936508245.906288,17282493142.463154,17350811065.35365
4,18747306923.7409,19283599270.9867,18838566367.937008,18826665827.072487,18747203413.7409
5,20449523932.74041,20788071230.212635,20564774930.366177,20263785502.411762,20449386972.74041
6,22128100255.65242,22405203324.178413,22402272653.337154,22390787605.09557,22127930015.65242
7,23952410408.854763,24559191117.881916,24217997842.869637,24724089951.836456,23952202808.854763
8,26332436624.157383,26881707242.54549,26334853057.002235,27353389303.726517,26332177944.157383
9,29424755873.314125,29204343455.32003,28665587438.08199,29684591384.340557,29424447993.314125
10,3025858095197.53,31890875917.172943,31302706955.710037,32372506439.21499,3025857756197.53
11,3356493574482.8096,35017497454.19475,34286036697.533997,35360266844.1772,3356493213042.8096
12,3731854728383.715,38835743458.078575,37678446487.13333,39017918072.18784,3731854337313.715
13,32241781441940.63,31924973136861.12,31924262599209.49,31925127585867.645,32241780885170.63
