year,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4
0,11092689583.90698,11092695388.637352,11092695220.672516,11092689649.945198,11092689793.304379
1,12010911741.07751,12010915635.938353,12010915474.109901,12010910984.286829,12010890233.586346
2,13034009706.225317,13034008780.181107,13034008039.644436,13034006673.737133,13033969031.224857
3,14176743066.682127,14176742708.000898,14176741542.79027,14176791827.981573,14176684691.660318
4,15455921203.566074,15455920550.8648,15455920436.476654,15456186469.732124,15455844104.111597
5,16890877392.215263,16890877228.748598,16890876814.330198,16891345039.498283,16890781822.319307
6,18504135129.478294,18504135063.882935,18504134949.45705,18504796987.852924,18504028381.407925
7,20321494472.35136,20321494485.568478,20321495132.784534,20322299789.60379,20321351683.74127
8,22372879809.812767,22372879768.579704,22372890900.37159,22373841425.70079,22372688700.675648
9,24693155933.818027,24693156454.482506,24693174335.92822,24694303196.371403,24692904403.645023
10,27322093318.004948,27322093867.00745,27322119405.829124,27323449295.8951,27321765150.672047
11,30306646239.383354,30306273385.1976,30306306895.529594,30308230514.641994,30306245010.591682
12,89604609274.75862,33699759469.19462,33699802564.352768,33702368165.434383,89604119421.21875
13,9297614852849.346,9156708008159.754,9156708086210.307,9156711347047.014,9297614293998.607
