technology,carrier,node,time_operation,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4
Aluminium_production,Bauxite,AUS,0,240.0,240.0,240.0,240.0,240.0
Aluminium_production,Bauxite,AUS,1,240.0,240.0,240.0,240.0,240.0
Aluminium_production,Bauxite,AUS,2,240.0,240.0,240.0,240.0,240.0
Aluminium_production,Bauxite,AUS,3,240.0,240.0,240.0,240.0,240.0
Aluminium_production,Bauxite,AUS,4,240.0,240.0,240.0,240.0,240.0
Aluminium_production,Bauxite,AUS,5,240.0,240.0,240.0,240.0,240.0
Aluminium_production,Bauxite,AUS,6,240.0,240.0,240.0,240.0,240.0
Aluminium_production,Bauxite,AUS,7,240.0,240.0,240.0,240.0,240.0
Aluminium_production,Bauxite,AUS,8,240.0,240.0,240.0,240.0,240.0
Aluminium_production,Bauxite,AUS,9,240.0,240.0,240.0,240.0,240.0
Aluminium_production,Bauxite,AUS,10,240.0,240.0,240.0,240.0,240.0
Aluminium_production,Bauxite,AUS,11,240.0,240.0,240.0,240.0,240.0
Aluminium_production,Bauxite,AUS,12,240.0,240.0,240.0,240.0,240.0
Aluminium_production,Bauxite,AUS,13,240.0,240.0,240.0,240.0,240.0
Aluminium_production,Bauxite,AUT,0,78.56,78.56,78.56,78.56,78.56
Aluminium_production,Bauxite,AUT,1,78.56,78.56,78.56,78.56,78.56
Aluminium_production,Bauxite,AUT,2,78.56,78.56,78.56,78.56,78.56
Aluminium_production,Bauxite,AUT,3,78.56,78.56,78.56,78.56,78.56
Aluminium_production,Bauxite,AUT,4,78.56,78.56,78.56,78.56,78.56
Aluminium_production,Bauxite,AUT,5,78.56,78.56,78.56,78.56,78.56
Aluminium_production,Bauxite,AUT,6,78.56,78.56,78.56,78.56,78.56
Aluminium_production,Bauxite,AUT,7,78.56,78.56,78.56,78.56,78.56
Aluminium_production,Bauxite,AUT,8,78.56,78.56,78.56,78.56,78.56
Aluminium_production,Bauxite,AUT,9,78.56,78.56,78.56,78.56,78.56
Aluminium_production,Bauxite,AUT,10,78.56,78.56,78.56,78.56,78.56
Aluminium_production,Bauxite,AUT,11,78.56,78.56,78.56,78.56,78.56
Aluminium_production,Bauxite,AUT,12,78.56,78.56,78.56,78.56,78.56
Aluminium_production,Bauxite,AUT,13,78.56,78.56,78.56,78.56,78.56
Aluminium_production,Bauxite,BRA,0,129.76,129.76,129.76,129.76,129.76
Aluminium_production,Bauxite,BRA,1,129.76,129.76,129.76,129.76,129.76
Aluminium_production,Bauxite,BRA,2,129.76,129.76,129.76,129.76,129.76
Aluminium_production,Bauxite,BRA,3,129.76,129.76,129.76,129.76,129.76
Aluminium_production,Bauxite,BRA,4,129.76,129.76,129.76,129.76,129.76
Aluminium_production,Bauxite,BRA,5,129.76,129.76,129.76,129.76,129.76
Aluminium_production,Bauxite,BRA,6,129.76,129.76,129.76,129.76,129.76
Aluminium_production,Bauxite,BRA,7,129.76,129.76,129.76,129.76,129.76
Aluminium_production,Bauxite,BRA,8,129.76,129.76,129.76,129.76,129.76
Aluminium_production,Bauxite,BRA,9,129.76,129.76,129.76,129.76,129.76
Aluminium_production,Bauxite,BRA,10,129.76,129.76,129.76,129.76,129.76
Aluminium_production,Bauxite,BRA,11,129.76,129.76,129.76,129.76,129.76
Aluminium_production,Bauxite,BRA,12,129.76,129.76,129.76,129.76,129.76
Aluminium_production,Bauxite,BRA,13,129.76,129.76,129.76,129.76,129.76
Aluminium_production,Bauxite,CHN,0,1105.44,1105.4400000000003,1105.44,1105.44,1105.44
Aluminium_production,Bauxite,CHN,1,1254.2988257600002,1254.29882576,1254.29882576,1254.29882576,1254.2988257600002
Aluminium_production,Bauxite,CHN,2,1420.1682654400001,1420.1682654400004,1420.16826544,1420.1682654400004,1420.1682654400001
Aluminium_production,Bauxite,CHN,3,1605.4035420800008,1605.4035420800003,1605.4035420799996,1605.40354208,1605.4035420800008
Aluminium_production,Bauxite,CHN,4,1812.7204244800002,1812.72042448,1812.720424479999,1812.7204244800002,1812.7204244800002
Aluminium_production,Bauxite,CHN,5,2045.2535486399997,2045.2535486399997,2045.2535486399988,2045.2535486399997,2045.2535486399997
Aluminium_production,Bauxite,CHN,6,2306.62407968,2306.6240796800002,2306.6240796799993,2306.62407968,2306.62407968
Aluminium_production,Bauxite,CHN,7,2601.018847359999,2601.0188473599997,2601.018847359999,2601.0188473599997,2601.018847359999
Aluminium_production,Bauxite,CHN,8,2933.282247999999,2933.282248,2933.2822479999986,2933.2822479999995,2933.282247999999
Aluminium_production,Bauxite,CHN,9,3309.0239831999997,3309.0239832,3309.023983194828,3309.0239831999997,3309.0239831999997
Aluminium_production,Bauxite,CHN,10,0.0,3734.7441705599995,3734.744170565171,3734.7441705600004,0.0
Aluminium_production,Bauxite,CHN,11,0.0,4217.979834074828,4217.979834074828,4217.979834080001,0.0
Aluminium_production,Bauxite,CHN,12,0.0,4767.475392154827,4767.475392154828,4767.47539216,0.0
Aluminium_production,Bauxite,CHN,13,0.0,5393.382217424485,5393.382217424487,5393.382217439998,0.0
Aluminium_production,Bauxite,CZE,0,9.6,9.6,9.6,9.6,9.6
Aluminium_production,Bauxite,CZE,1,9.6,9.6,9.6,9.6,9.6
Aluminium_production,Bauxite,CZE,2,9.6,9.6,9.6,9.6,9.6
Aluminium_production,Bauxite,CZE,3,9.6,9.6,9.6,9.6,9.6
