technology,carrier,node,time_operation,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4
Aluminium_production,Bauxite,AUS,0,240.0,240.0,240.0,240.0,240.0
Aluminium_production,Bauxite,AUS,1,240.0,240.0,240.0,240.0,240.0
Aluminium_production,Bauxite,AUS,2,240.0,240.0,240.0,240.0,240.0
Aluminium_production,Bauxite,AUS,3,240.0,240.0,240.0,240.0,240.0
Aluminium_production,Bauxite,AUS,4,240.0,240.0,240.0,240.0,240.0
Aluminium_production,Bauxite,AUS,5,240.0,240.0,240.0,240.0,240.0
Aluminium_production,Bauxite,AUS,6,240.0,240.0,240.0,240.0,240.0
Aluminium_production,Bauxite,AUS,7,240.0,240.0,240.0,240.0,240.0
Aluminium_production,Bauxite,AUS,8,240.0,240.0,240.0,240.0,240.0
Aluminium_production,Bauxite,AUS,9,240.0,240.0,240.0,240.0,240.0
Aluminium_production,Bauxite,AUS,10,240.0,240.0,240.0,240.0,240.0
Aluminium_production,Bauxite,AUS,11,240.0,240.0,240.0,240.0,240.0
Aluminium_production,Bauxite,AUS,12,240.0,240.0,240.0,240.0,240.0
Aluminium_production,Bauxite,AUS,13,240.0,240.0,240.0,240.0,240.0
Aluminium_production,Bauxite,AUT,0,78.56,78.56,78.56,78.56,78.56
Aluminium_production,Bauxite,AUT,1,78.56,78.56,78.56,78.56,78.56
Aluminium_production,Bauxite,AUT,2,78.56,78.56,78.56,78.56,78.56
Aluminium_production,Bauxite,AUT,3,78.56,78.56,78.56,78.56,78.56
Aluminium_production,Bauxite,AUT,4,78.56,78.56,78.56,78.56,78.56
Aluminium_production,Bauxite,AUT,5,78.56,78.56,78.56,78.56,78.56
Aluminium_production,Bauxite,AUT,6,78.56,78.56,78.56,78.56,78.56
Aluminium_production,Bauxite,AUT,7,78.56,78.56,78.56,78.56,78.56
Aluminium_production,Bauxite,AUT,8,78.56,78.56,78.56,78.56,78.56
Aluminium_production,Bauxite,AUT,9,78.56,78.56,78.56,78.56,78.56
Aluminium_production,Bauxite,AUT,10,78.56,78.56,78.56,78.56,78.56
Aluminium_production,Bauxite,AUT,11,78.56,78.56,78.56,78.56,78.56
Aluminium_production,Bauxite,AUT,12,78.56,78.56,78.56,78.56,78.56
Aluminium_production,Bauxite,AUT,13,78.56,78.56,78.56,78.56,78.56
Aluminium_production,Bauxite,BRA,0,129.76,129.76,129.76,129.76,129.76
Aluminium_production,Bauxite,BRA,1,129.76,129.76,129.76,129.76,129.76
Aluminium_production,Bauxite,BRA,2,129.76,129.76,129.76,129.76,129.76
Aluminium_production,Bauxite,BRA,3,129.76,129.76,129.76,129.76,129.76
Aluminium_production,Bauxite,BRA,4,129.76,129.76,129.76,129.76,129.76
Aluminium_production,Bauxite,BRA,5,129.76,129.76,129.76,129.76,129.76
Aluminium_production,Bauxite,BRA,6,129.76,129.76,129.76,129.76,129.76
Aluminium_production,Bauxite,BRA,7,129.76,129.76,129.76,129.76,129.76
Aluminium_production,Bauxite,BRA,8,129.76,129.76,129.76,129.76,129.76
Aluminium_production,Bauxite,BRA,9,129.76,129.76,129.76,129.76,129.76
Aluminium_production,Bauxite,BRA,10,129.76,129.76,129.76,129.76,129.76
Aluminium_production,Bauxite,BRA,11,129.76,129.76,129.76,129.76,129.76
Aluminium_production,Bauxite,BRA,12,129.76,129.76,129.76,129.76,129.76
Aluminium_production,Bauxite,BRA,13,129.76,129.76,129.76,129.76,129.76
Aluminium_production,Bauxite,CHN,0,1105.44,1105.44,1105.44,1105.44,1105.44
Aluminium_production,Bauxite,CHN,1,1254.29882576,1254.29882576,1254.29882576,1254.29882576,1254.2988257599998
Aluminium_production,Bauxite,CHN,2,1420.1682654400001,1420.1682654400001,1420.1682654400004,1420.1682654400001,1420.1682654400001
Aluminium_production,Bauxite,CHN,3,1605.40354208,1605.40354208,1605.40354208,1605.4035420799999,1605.40354208
Aluminium_production,Bauxite,CHN,4,1812.7204244799998,1812.7204244800005,1812.7204244800005,1812.7204244799996,1812.72042448
Aluminium_production,Bauxite,CHN,5,2045.2535486400002,2045.25354864,2045.25354864,2045.2535486400002,2045.2535486400004
Aluminium_production,Bauxite,CHN,6,2306.62407968,2306.62407968,2306.62407968,2306.6240796800002,2306.6240796800002
Aluminium_production,Bauxite,CHN,7,2601.01884736,2601.01884736,2601.01884736,2601.01884736,2601.01884736
Aluminium_production,Bauxite,CHN,8,2933.2822480000004,2933.2822480000004,2933.2822480000004,2933.282248,2933.282248
Aluminium_production,Bauxite,CHN,9,3309.0239832,3309.0239831999997,3309.0239831948293,3309.0239831999997,3309.0239832000007
Aluminium_production,Bauxite,CHN,10,3734.74417056,3734.74417056,3734.7441705651718,3734.74417056,3734.7441705599995
Aluminium_production,Bauxite,CHN,11,4217.979834080001,4217.979834074829,4217.979834074829,4217.979834080001,4217.979834080001
Aluminium_production,Bauxite,CHN,12,4684.88,4767.475392154828,4767.475392154828,4767.47539216,4684.88
Aluminium_production,Bauxite,CHN,13,5071.103999999999,5393.382217424486,5393.382217424486,5393.382217439999,5071.103999999999
Aluminium_production,Bauxite,CZE,0,9.6,9.6,9.6,9.6,9.6
Aluminium_production,Bauxite,CZE,1,9.6,9.6,9.6,9.6,9.6
Aluminium_production,Bauxite,CZE,2,9.6,9.6,9.6,9.6,9.6
Aluminium_production,Bauxite,CZE,3,9.6,9.6,9.6,9.6,9.6
