node,value_scenario__time_0,value_scenario__time_1,value_scenario__time_2,value_scenario__time_3,value_scenario__time_4,value_scenario__time_5,value_scenario__time_6,value_scenario__time_7,value_scenario__time_8,value_scenario__time_9,value_scenario__time_10,value_scenario__time_11,value_scenario__time_12,value_scenario__time_13,value_scenario_S1_time_0,value_scenario_S1_time_1,value_scenario_S1_time_2,value_scenario_S1_time_3,value_scenario_S1_time_4,value_scenario_S1_time_5,value_scenario_S1_time_6,value_scenario_S1_time_7,value_scenario_S1_time_8,value_scenario_S1_time_9,value_scenario_S1_time_10,value_scenario_S1_time_11,value_scenario_S1_time_12,value_scenario_S1_time_13,value_scenario_S2_time_0,value_scenario_S2_time_1,value_scenario_S2_time_2,value_scenario_S2_time_3,value_scenario_S2_time_4,value_scenario_S2_time_5,value_scenario_S2_time_6,value_scenario_S2_time_7,value_scenario_S2_time_8,value_scenario_S2_time_9,value_scenario_S2_time_10,value_scenario_S2_time_11,value_scenario_S2_time_12,value_scenario_S2_time_13,value_scenario_S3_time_0,value_scenario_S3_time_1,value_scenario_S3_time_2,value_scenario_S3_time_3,value_scenario_S3_time_4,value_scenario_S3_time_5,value_scenario_S3_time_6,value_scenario_S3_time_7,value_scenario_S3_time_8,value_scenario_S3_time_9,value_scenario_S3_time_10,value_scenario_S3_time_11,value_scenario_S3_time_12,value_scenario_S3_time_13,value_scenario_S4_time_0,value_scenario_S4_time_1,value_scenario_S4_time_2,value_scenario_S4_time_3,value_scenario_S4_time_4,value_scenario_S4_time_5,value_scenario_S4_time_6,value_scenario_S4_time_7,value_scenario_S4_time_8,value_scenario_S4_time_9,value_scenario_S4_time_10,value_scenario_S4_time_11,value_scenario_S4_time_12,value_scenario_S4_time_13,total,percentage_of_total
CHN,5813.422,6554.049927521999,7379.311975117999,8306.782927875998,9351.562068906002,10486.623743735501,11628.424508401,12902.854323402,14347.562339225002,15995.564117927499,17727.070771957002,19344.1199827135,20905.92125,22204.5078,5813.422,6554.049927521999,7379.311975118,8306.802927875999,9351.572068906002,10486.6237437355,11628.424508401,12902.854323402,14347.562339225,15995.564117927499,17727.070771957002,19365.02317969615,21223.01256914715,23339.10088465346,5813.422,6554.049927521999,7379.311975118,8306.802927876,9351.572068906004,10486.6237437355,11628.424508401,12902.854323402,14347.562339225002,15995.564117904982,17727.07077197435,19365.023179695832,21223.01256914683,23337.198033853456,5813.4220000000005,6556.756844522,7382.711975118002,8304.326251876,9335.804715905997,10462.5237437355,11598.224508401001,12866.054323402002,14303.662339225,15943.9641179275,17667.170771957,19275.2199827135,21099.2059341645,23176.562391705505,5813.422,6554.049927521999,7379.311975118,8306.782927876,9351.562068906,10486.623743735501,11628.424508401002,12902.854323402,14347.562339225,15995.564117927503,17727.070771957002,19344.1199827135,20905.921250000003,22204.5078,918520.0531985482,74.18
BRA,1487.0,1487.0,1487.0,1487.0,1487.2,1498.017588,1509.6,1509.6,1509.7,1509.7,1644.44417056,1846.8158340800012,2314.8160000000007,2701.04,1492.2,1492.2,1492.2,1492.2,1492.3,1502.524826,1514.4,1514.4,1514.5,1514.5,1649.24417056,1649.24417056,1650.24417056,2276.150995829658,1570.46,1570.46,1570.46,1570.46,1570.56,1581.084826,1592.96,1592.96,1593.06,1593.06,1593.06,1593.06,2075.033174730342,2700.94,1596.5,1596.5,1596.5,1596.5,1596.5,1596.5,1597.0,1597.0,1597.0,1597.0,1731.74417056,2214.9798340800007,2690.6400000000003,2690.6400000000003,1630.3600000000001,1630.3600000000001,1630.3600000000001,1630.3600000000001,1630.56,1641.928708,1652.96,1652.96,1653.06,1653.06,1653.06,1653.06,1654.16,1654.16,117808.27263952002,9.51
ROE,1304.680928,1313.0921,1315.42,1315.42,1315.4290500000002,1315.4290500000002,1315.4290500000002,1320.147394,1324.72,1329.3700000000001,1330.7700000000002,1332.17,1333.67,1335.2700000000002,1100.4373,1108.2017,1112.7,1112.7,1112.7090500000002,1112.7090500000002,1112.7090500000002,1117.104086,1122.0,1122.0,1122.0,1122.0,1122.0,1135.54052,1234.565794,1242.3446800000002,1246.46,1246.46,1246.46,1246.46,1246.46,1257.3201370000002,1268.4490500000002,1281.61173499968,1296.9201980003202,1296.9201980003202,1296.9201980003202,1310.56600779904,1171.89896,1178.134456,1181.66,1187.5366760000002,1194.0674760000002,1203.7974880000002,1215.3574930000002,1224.0100000000002,1232.8100000000002,1243.0100000000002,1255.1100000000001,1269.1100000000001,1285.6100000000001,1319.352959,1091.8098080000002,1100.22098,1103.1000000000001,1103.1000000000001,1105.1361650000001,1105.1361650000001,1105.1361650000001,1105.1361650000001,1110.372885,1112.4,1247.1441705599996,1254.5941705599996,1652.67,1654.2700000000002,85865.43850791972,6.93
ROW,140.03486999999998,153.275151,165.283063,176.864727,189.69374200000001,240.75041642249954,426.68497019499995,641.7959273899995,885.0915988749999,1160.7471508625,1473.6004648150001,2126.2678297324996,2487.1527499999997,2782.2499999999995,127.92162,138.797461,148.103944,158.178338,172.804706,224.54638042249974,410.63497019499977,632.3459273899997,875.6415988749998,1151.2971508624996,1464.1504648149999,2320.1844932431604,3293.1387388684784,3764.726160955782,137.582211,148.458052,158.757194,167.918338,182.54470600000002,233.9863804224998,420.07497019499993,641.7859273899998,885.081598875,1160.7371508586511,1473.5904648188491,2329.624493237989,2753.0831807833083,3224.6706028706103,184.33927599999998,196.32137,206.96200001097455,215.16907201097453,227.52294501097452,284.41516134392214,472.3210561949998,685.2459273899999,927.5415988750001,1203.1971508625,1515.4504648149998,1887.8488297325,2314.7186182775,2787.6049393725,56.83487,70.35071099999999,81.10852600000003,91.42999300000002,104.25900800000002,155.3156824225,343.4849701949998,558.59592739,801.8915988749997,1077.5471508624996,1390.4004648149999,2245.4394932525015,2606.3244135200016,2901.4216635200005,67442.92276912119,5.45
AUS,316.969308,318.236508,320.115,320.115,320.115,320.51,320.51,320.51,320.51,320.51,320.51,322.695,322.795,322.895,524.724308,525.991508,527.87,527.87,527.87,527.87,527.87,527.87,527.87,527.87,527.87,527.87,531.8811009996799,534.17,303.202535,304.469735,305.355082,306.11,306.11,306.11,306.11,306.11,306.11,306.11,440.8541705651718,440.8541705651718,513.3876549145083,515.6765539148283,307.547658,308.814858,310.434858,310.434858,311.38514200000003,311.879291,312.907119,318.808196,324.439189,327.1,328.3,329.40000000000003,405.4353921600001,1033.4422174399988,469.129308,470.396508,472.275,472.275,472.275,472.67,472.67,472.67,472.67,472.67,472.67,474.855,545.2793364799991,931.6033364799983,29233.469902519362,2.36
USA,97.916927,100.556927,104.138316,105.44,105.44,105.44,105.44,109.81902399999998,118.472591,126.82039499999999,141.06446599999998,154.34,161.34,168.84,97.066252,99.706252,104.407764,105.44,105.44,105.44,105.44,109.99067799999999,118.59476949999998,131.480395,147.12446599999998,147.12446599999998,147.12446599999998,147.12446599999998,96.802596,99.442596,105.435451,105.44,105.44,105.44,105.44,105.44,105.44,105.44,105.44,105.44,105.44,105.44,97.63991899999999,100.27991899999999,105.44,105.44,112.974735,117.14,121.24,125.53999999999999,130.34,135.54,141.14,147.34,153.94,161.24,98.192487,100.832487,104.138316,105.44,105.44,105.44,107.52069800000001,112.17819600000001,120.81616499999998,131.47039500000002,147.11446600000002,154.34,161.34,168.84,8316.431046499996,0.67
JPN,24.3,25.25214,27.18,28.481684,30.96118900000001,30.961189000000015,35.27662100000001,52.58070799999999,58.2,59.5,60.8,62.3,63.9,65.6,27.028487999999996,31.305581999999994,38.05999999999999,40.879999999999995,43.480000000000004,43.480000000000004,47.66139599999998,55.8,58.2,59.5,60.8,60.8,60.8,60.8,27.942794000320024,32.20540200032001,39.22677500032002,40.66019800032002,43.480000000000004,43.480000000000004,47.66139599999998,55.8,58.2,59.5,60.8,60.8,60.8,60.8,24.3,25.161339999999996,26.409698,28.613083,31.72055899999998,31.87789607857773,35.32059600000002,45.179189000000015,52.1,52.9,53.7,54.5,55.5,56.5,33.2,34.70326,36.08,36.08,43.480000000000004,43.480000000000004,43.480000000000004,55.8,58.2,59.5,60.8,62.3,63.9,65.6,3275.6311830798572,0.26
KOR,27.996927,27.996927,27.996927,30.816927,40.48572500000001,43.261695,48.565725,50.16572500000001,57.4,58.3,59.4,60.5,61.6,62.9,22.490992000000013,23.13776400000001,23.21605800000001,25.37,32.76523050000001,35.85396250000001,40.845230500000014,46.9959085,57.4,58.3,59.4,59.4,59.4,59.4,22.79302999967998,23.43980199967998,23.87234299967998,25.58980199967998,33.24000000000001,36.328732,41.32,44.480137,57.4,58.3,59.4,59.4,59.4,59.4,16.673146999999997,17.319919,20.081324989025436,22.901324989025436,30.911201989025436,32.86010199999999,37.560101999999986,47.169006999999986,52.8,53.4,54.0,54.6,55.3,56.1,19.372487000000003,19.372487000000003,20.07146399999999,25.453344999999988,28.17453300000001,30.399383000000007,36.25453300000001,46.962031000000025,57.4,58.3,59.4,60.5,61.6,62.9,3003.5619619657973,0.24
DEU,22.0,22.826679999999996,28.0,32.5,32.5,32.5,32.5,33.980000000000004,33.980000000000004,33.980000000000004,33.980000000000004,35.46,38.129999999999995,38.629999999999995,26.029999999999998,26.029999999999998,27.156568999999994,33.980000000000004,33.980000000000004,33.980000000000004,33.980000000000004,33.980000000000004,33.980000000000004,33.980000000000004,33.980000000000004,33.980000000000004,33.980000000000004,33.980000000000004,24.549999999999997,24.55,25.444078000000008,33.98,33.98,33.98,33.98,33.98,33.980000000000004,33.980000000000004,33.980000000000004,33.980000000000004,33.980000000000004,33.98,22.0,22.962880000000002,24.39983500000002,32.5,32.5,32.5,32.5,32.5,34.809861,35.872343,38.83,40.33,42.129999999999995,44.23,22.0,22.0,28.0,32.5,32.5,32.5,32.5,33.980000000000004,33.980000000000004,33.980000000000004,33.980000000000004,35.522800000000004,38.129999999999995,38.629999999999995,2270.5550460000004,0.18
AUT,19.64,19.773834,20.119605999999994,21.54,21.54,21.54,21.54,21.54,21.54,21.54,21.54,22.117663000000007,23.04,23.14,20.240000000000002,20.240000000000002,20.396588,21.54,21.54,21.54,21.54,21.54,21.54,21.54,21.54,21.54,21.54,21.54,20.240000000000002,20.240000000000002,20.240000000000002,21.54,21.54,21.54,21.54,21.54,21.54,21.54,21.54,21.54,21.54,21.54,19.64,19.773834,19.930422,21.54,21.54,21.54,21.54,21.54,21.54,21.64,21.94,22.240000000000002,22.64,23.04,19.64,19.773834,20.119605999999997,21.54,21.54,21.54,21.54,21.54,21.54,21.54,21.54,22.054862999999997,23.04,23.14,1495.8002499999998,0.12
