technology,edge,time_operation,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4,value_scenario_S5
Aluminium_transport,AUS-AUT,0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,1,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,2,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,3,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,4,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,5,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,6,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,7,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,8,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,9,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,10,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,11,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,12,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,13,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-BRA,0,0.0,0.0,0.0,0.0,0.0,49.092
Aluminium_transport,AUS-BRA,1,0.0,0.0,0.0,0.0,0.0,49.092
Aluminium_transport,AUS-BRA,2,0.0,0.0,0.0,0.0,0.0,49.092
Aluminium_transport,AUS-BRA,3,0.0,0.0,0.0,0.0,0.0,49.092
Aluminium_transport,AUS-BRA,4,0.0,0.0,0.0,0.0,0.0,49.092
Aluminium_transport,AUS-BRA,5,0.0,0.0,0.0,0.0,0.0,49.092
Aluminium_transport,AUS-BRA,6,0.0,0.0,0.0,0.0,0.0,40.48398007999996
Aluminium_transport,AUS-BRA,7,0.0,0.0,0.0,0.0,0.0,39.8
Aluminium_transport,AUS-BRA,8,0.0,0.0,0.0,0.0,0.0,35.76
Aluminium_transport,AUS-BRA,9,0.0,0.0,0.0,0.0,0.0,35.76
Aluminium_transport,AUS-BRA,10,0.0,0.0,0.0,0.0,0.0,31.72
Aluminium_transport,AUS-BRA,11,0.0,0.0,0.0,0.0,0.0,31.72
Aluminium_transport,AUS-BRA,12,0.0,0.0,0.0,0.0,0.0,27.68
Aluminium_transport,AUS-BRA,13,0.0,0.0,0.0,0.0,0.0,23.64
Aluminium_transport,AUS-CHN,0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,1,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,2,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,3,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,4,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,5,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,6,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,7,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,8,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,9,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,10,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,11,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,12,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,13,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CZE,0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CZE,1,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CZE,2,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CZE,3,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CZE,4,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CZE,5,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CZE,6,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CZE,7,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CZE,8,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CZE,9,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CZE,10,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CZE,11,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CZE,12,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CZE,13,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-DEU,0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-DEU,1,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-DEU,2,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-DEU,3,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-DEU,4,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-DEU,5,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-DEU,6,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-DEU,7,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-DEU,8,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-DEU,9,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-DEU,10,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-DEU,11,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-DEU,12,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-DEU,13,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-ITA,1,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-ITA,2,0.0,0.0,0.0,0.0,0.0,0.0
