technology,edge,time_operation,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4
Aluminium_transport,AUS-AUT,0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,1,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,2,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,3,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,4,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,5,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,6,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,7,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,8,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,9,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,10,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,11,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,12,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,13,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-BRA,0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-BRA,1,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-BRA,2,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-BRA,3,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-BRA,4,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-BRA,5,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-BRA,6,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-BRA,7,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-BRA,8,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-BRA,9,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-BRA,10,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-BRA,11,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-BRA,12,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-BRA,13,139.64,0.0,0.0,0.0,139.64
Aluminium_transport,AUS-CHN,0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,1,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,2,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,3,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,4,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,5,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,6,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,7,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,8,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,9,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,10,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,11,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,12,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,13,0.0,0.0,0.0,0.0,0.0
