year,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4,value_scenario_S5
0,40597132.10997321,40597132.10997321,40596746.24268559,551350022.7352086,40597132.109973274,39842952.0035308
1,39125258.23396672,39125258.23396672,39148892.98296902,521016248.06651974,39125258.23396672,38114400.174632505
2,37766451.15621572,37766451.15621572,37825351.54908241,492437690.19199914,37766451.15621572,36547145.75365545
3,36691774.64060535,36691774.64060535,36787680.03142084,465637924.3699288,36691774.64060535,35365236.0142054
4,36039298.4601878,36039298.4601878,36164721.9038574,440705181.34274024,36039298.460187726,34365581.05900189
5,35701665.810660645,35701665.810660645,35864707.623181544,417448061.70526797,35701665.81066052,33605579.781963736
6,35601666.74630744,35601666.74630744,35780245.0928403,395661760.32286793,35602908.30986511,33214712.76555261
7,35793499.049611025,35793499.049611025,35879029.11959525,375397993.84826636,35793499.04961092,33182291.56631636
8,36220821.805298954,36220821.805298954,36357065.692806244,356602262.4736384,36220821.80529886,33532953.735201973
9,36887641.84092818,36888028.13869586,37094430.2993765,339134570.36800987,36887150.10940294,34598306.839353316
10,37809010.50458685,37808824.983017996,38014676.93830881,322947039.14964265,37810206.75981305,36301295.11964522
11,39222179.98299961,38903055.289639056,38948904.50307022,307901350.7175902,38908106.11580582,36336153.43187839
12,28076587253.279873,40357277.75685618,40289534.16115788,294129231.6641515,40365119.077453434,37721901.13596217
13,4342425938487.9263,4275431919720.205,4275431867152.1772,4261421360991.939,4275431924340.618,4275429205818.3022
