year,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4
0,11092689583.90698,11092695388.637352,11092695220.672516,11092689649.945198,11092689793.304379
1,11331048812.336142,11331052486.733162,11331052334.064812,11331048098.382668,11331028522.250135
2,11600222237.661488,11600221413.485437,11600220754.410437,11600219538.7578,11600186037.055882
3,11903066849.383614,11903066548.227936,11903065569.894625,11903107790.310894,11903017836.589655
4,12242537244.842802,12242536727.842257,12242536637.236132,12242747360.492,12242476174.85347
5,12621846178.193514,12621846056.041712,12621845746.364176,12622195631.447767,12621774762.80768
6,13044685101.251808,13044685055.009668,13044684974.343935,13045151685.289282,13044609848.074429
7,13514954458.277584,13514954467.067722,13514954897.503365,13515490040.245035,13514859495.696697
8,14037021575.23537,14037021549.365236,14037028533.58918,14037624904.939995,14036901670.998465
9,14615841056.933592,14615841365.114098,14615851949.11434,14616520119.8762,14615692176.61066
10,15256514203.158184,15256514509.718313,15256528770.462944,15257271374.129656,15256330956.233538
11,15965163175.390673,15964966760.456827,15964984413.281693,15965997751.833712,15964951813.068392
12,44530745644.887344,16747748016.120478,16747769433.093798,16749044458.230522,44530502202.68539
13,4359084656797.233,4293022029505.689,4293022066098.8335,4293023594906.327,4359084394786.199
