year,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4
0,12432145870.08567,12442528907.666801,12432391564.60255,12431889751.259989,12432145870.08567
1,13467022923.082281,13476752089.638754,13125888382.292055,13140815513.700184,13467003135.346432
2,14089798171.98887,13967647452.547926,13425472233.030321,14079232217.104303,14089761971.383673
3,14568136477.895967,14461622468.092451,14220218910.501862,14510714501.289011,14568075546.724598
4,14849623017.063675,15274416786.959837,14921909044.52199,14912482701.514103,14849541027.448593
5,15281073889.938686,15534056124.876165,15367196139.845387,15142279329.860489,15280971545.459332
6,15599437515.135233,15794784244.080898,15792718236.780794,15784621730.965425,15599317502.652828
7,15929720930.814474,16333264757.761885,16106351743.09481,16442931900.311407,15929582864.957685
8,16521296505.58868,16865915686.780325,16522812605.45006,17161854847.30563,16521134206.556461
9,17416467791.159973,17286006019.606335,16967117160.785597,17570264030.90705,17416285557.46102
10,1689623356044.2712,17807698543.39373,17479268067.369324,18076638511.30485,1689623166748.442
11,1768158944097.626,18446780829.33342,18061456427.410374,18627347468.062572,1768158753695.5427
12,1854617469328.5388,19300174710.42037,18725033571.29954,19390709912.454227,1854617274978.7297
13,15116205286595.826,14967673190604.047,14967340062826.19,14967745602325.252,15116205025560.324
