on_off_technologies,on_off_capacity_types,on_off_locations,on_off_time_steps_operation,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4,value_scenario_S5
Aluminium_production,power,AUS,0,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,AUS,1,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,AUS,2,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,AUS,3,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,AUS,4,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,AUS,5,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,AUS,6,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,AUS,7,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,AUS,8,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,AUS,9,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,AUS,10,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,AUS,11,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,AUS,12,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,AUS,13,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,AUT,0,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,AUT,1,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,AUT,2,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,AUT,3,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,AUT,4,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,AUT,5,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,AUT,6,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,AUT,7,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,AUT,8,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,AUT,9,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,AUT,10,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,AUT,11,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,AUT,12,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,AUT,13,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,BRA,0,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,BRA,1,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,BRA,2,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,BRA,3,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,BRA,4,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,BRA,5,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,BRA,6,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,BRA,7,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,BRA,8,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,BRA,9,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,BRA,10,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,BRA,11,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,BRA,12,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,BRA,13,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,CHN,0,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,CHN,1,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,CHN,2,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,CHN,3,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,CHN,4,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,CHN,5,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,CHN,6,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,CHN,7,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,CHN,8,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,CHN,9,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,CHN,10,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,CHN,11,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,CHN,12,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,CHN,13,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,CZE,0,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,CZE,1,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,CZE,2,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,CZE,3,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,CZE,4,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,CZE,5,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,CZE,6,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,CZE,7,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,CZE,8,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,CZE,9,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,CZE,10,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,CZE,11,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,CZE,12,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,CZE,13,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,DEU,0,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,DEU,1,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,DEU,2,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,DEU,3,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,DEU,4,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,DEU,5,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,DEU,6,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,DEU,7,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,DEU,8,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,DEU,9,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,DEU,10,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,DEU,11,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,DEU,12,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,DEU,13,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ITA,0,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ITA,1,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ITA,2,1.0,1.0,1.0,1.0,1.0,1.0
