technology,capacity_type,location,year,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4,value_scenario_S5
Compressor_manufacturing,power,AUS,0,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,AUS,1,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,AUS,2,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,AUS,3,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,AUS,4,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,AUS,5,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,AUS,6,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,AUS,7,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,AUS,8,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,AUS,9,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,AUS,10,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,AUS,11,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,AUS,12,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,AUS,13,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,AUT,0,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,AUT,1,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,AUT,2,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,AUT,3,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,AUT,4,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,AUT,5,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,AUT,6,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,AUT,7,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,AUT,8,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,AUT,9,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,AUT,10,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,AUT,11,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,AUT,12,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,AUT,13,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,BRA,0,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,BRA,1,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,BRA,2,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,BRA,3,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,BRA,4,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,BRA,5,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,BRA,6,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,BRA,7,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,BRA,8,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,BRA,9,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,BRA,10,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,BRA,11,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,BRA,12,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,BRA,13,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,CHN,0,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,CHN,1,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,CHN,2,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,CHN,3,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,CHN,4,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,CHN,5,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,CHN,6,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,CHN,7,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,CHN,8,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,CHN,9,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,CHN,10,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,CHN,11,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,CHN,12,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,CHN,13,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,CZE,0,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,CZE,1,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,CZE,2,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,CZE,3,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,CZE,4,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,CZE,5,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,CZE,6,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,CZE,7,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,CZE,8,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,CZE,9,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,CZE,10,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,CZE,11,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,CZE,12,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,CZE,13,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,DEU,0,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,DEU,1,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,DEU,2,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,DEU,3,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,DEU,4,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,DEU,5,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,DEU,6,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,DEU,7,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,DEU,8,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,DEU,9,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,DEU,10,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,DEU,11,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,DEU,12,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,DEU,13,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ITA,0,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ITA,1,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ITA,2,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ITA,3,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ITA,4,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ITA,5,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ITA,6,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ITA,7,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ITA,8,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ITA,9,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ITA,10,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ITA,11,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ITA,12,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ITA,13,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,JPN,0,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,JPN,1,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,JPN,2,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,JPN,3,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,JPN,4,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,JPN,5,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,JPN,6,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,JPN,7,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,JPN,8,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,JPN,9,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,JPN,10,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,JPN,11,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,JPN,12,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,JPN,13,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,KOR,0,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,KOR,1,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,KOR,2,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,KOR,3,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,KOR,4,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,KOR,5,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,KOR,6,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,KOR,7,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,KOR,8,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,KOR,9,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,KOR,10,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,KOR,11,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,KOR,12,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,KOR,13,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ROE,0,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ROE,1,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ROE,2,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ROE,3,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ROE,4,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ROE,5,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ROE,6,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ROE,7,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ROE,8,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ROE,9,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ROE,10,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ROE,11,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ROE,12,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ROE,13,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ROW,0,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ROW,1,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ROW,2,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ROW,3,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ROW,4,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ROW,5,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ROW,6,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ROW,7,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ROW,8,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ROW,9,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ROW,10,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ROW,11,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ROW,12,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,ROW,13,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,USA,0,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,USA,1,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,USA,2,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,USA,3,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,USA,4,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,USA,5,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,USA,6,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,USA,7,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,USA,8,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,USA,9,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,USA,10,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,USA,11,1.0,1.0,1.0,1.0,1.0,1.0
Compressor_manufacturing,power,USA,12,1.0,1.0,1.0,1.0,1.0,1.0
