year,value_scenario_MC1,value_scenario_MC2,value_scenario_MC3,value_scenario_MC4,value_scenario_MC5,value_scenario_MC6,value_scenario_MC7,value_scenario_MC8,value_scenario_MC9
0,21030469845.0761,24647159591.403095,26856946272.36469,26201874472.28922,19956063062.477665,19689530135.697197,20970236229.6116,24066858775.33413,23260239689.390232
1,22803543475.34996,26810427326.944363,29106380197.961273,28465069667.53379,21655796310.731533,21347121522.630123,22773875509.607685,26135805968.013245,25330853188.679146
2,24232196639.245113,28244575741.39198,31596832288.24711,29351929159.544243,23570795451.329994,21381780069.86072,24131913939.95347,27771755501.834064,26162101957.27552
3,26517053322.955524,31024759188.550957,34389572730.00564,32186269802.68307,25736299482.329605,23562973648.91973,26393428412.219986,30367701957.120377,28762358812.555878
4,29126095485.445805,34165943311.12867,37518574986.6809,35375167227.58939,28186478517.82523,26020818527.936066,28966081580.908176,33297436899.35578,31754174951.243973
5,32099648211.363968,37816046465.88305,41037286295.39859,38958612635.640495,30980916985.952892,28822807576.665348,31893674545.75462,36602669250.06859,35206228316.51284
6,35515084136.9501,42012224891.72174,45024227163.55436,43049278062.3458,34188099235.626385,32058536458.945126,35203813276.07067,40349683480.545074,39292960632.74222
7,39456352514.00822,46854318618.26125,49488644454.37252,47693466061.10298,37848871262.84635,35804904243.11768,38993293203.814644,44609768305.09941,43990716697.714714
8,43985682081.93828,52387536433.259834,54554140925.41208,53082247045.17084,42068175425.668365,40083031011.89532,43817810464.51756,49430010534.859795,49337404526.018456
9,49410000194.95391,58778247346.50454,60300060625.524284,59208180616.63651,47011964999.946945,45056679246.535774,49418270050.31467,54932547408.62368,55503302119.778465
10,55653204069.56104,66138559488.488014,66958299509.45889,66320371739.4824,52782599547.39498,50857462761.43955,56058350714.395386,61228584571.164154,62635087601.83655
11,62916929768.22812,74708004690.7113,74788615982.10123,74733298182.84135,59549811579.44667,57610211690.62692,63824393678.02127,68830658427.23683,70806621006.91916
12,69654405105.95802,82840282388.69257,82690328220.32321,82821848616.92331,65874583342.82035,63878779294.931656,71072230710.23572,76481294735.8113,78516719125.31349
13,74339990097.6466,88702758816.7916,88590917624.72517,88920437083.76276,70399285704.37762,68274209954.42649,76063468468.19147,81943516192.15855,84240463004.73155
