carrier,node,time_operation,value_scenario_MC1,value_scenario_MC2,value_scenario_MC3,value_scenario_MC4,value_scenario_MC5,value_scenario_MC6,value_scenario_MC7,value_scenario_MC8,value_scenario_MC9
Aluminium,AUS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUS,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUS,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUS,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUS,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUS,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUS,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUS,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUS,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUS,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUS,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUS,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUS,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUS,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUT,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUT,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUT,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUT,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUT,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUT,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUT,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUT,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUT,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUT,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUT,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUT,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,AUT,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,BRA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,BRA,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,BRA,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,BRA,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,BRA,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,BRA,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,BRA,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,BRA,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,BRA,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,BRA,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,BRA,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,BRA,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,BRA,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,BRA,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CHN,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CHN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CHN,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CHN,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CHN,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CHN,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CHN,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CHN,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CHN,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CHN,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CHN,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CHN,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CHN,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CHN,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CZE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,CZE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
