technology,edge,time_operation,value_scenario_MC1,value_scenario_MC2,value_scenario_MC3,value_scenario_MC4,value_scenario_MC5,value_scenario_MC6,value_scenario_MC7,value_scenario_MC8,value_scenario_MC9
Aluminium_transport,AUS-AUT,0,0.0,1.616,0.0,1.616,0.0,1.616,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,1,0.0,1.6159999999999997,0.0,1.616,0.0,1.616,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,2,0.0,1.6159999999999997,0.0,1.616,0.0,1.616,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,3,0.0,1.6159999999999997,0.0,1.616,0.0,1.616,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,4,0.0,1.6159999999999997,0.0,1.616,0.0,1.616,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,5,0.0,1.6159999999999997,1.616,1.616,0.0,1.616,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,6,0.0,1.6159999999999997,1.616,1.616,0.0,1.616,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,7,0.0,1.6159999999999997,1.616,1.616,0.0,1.616,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,8,0.0,1.6159999999999997,1.616,1.616,0.0,1.616,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,9,0.0,1.6160000000000014,1.616,1.616,0.0,1.616,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,10,0.0,1.6159999999999979,1.616,1.616,0.0,1.616,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,11,0.0,2.4239999999999973,1.616,2.4239999999999986,0.0,2.4239999999999986,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,12,0.0,3.2319999999999975,12.120000000000001,3.2319999999999993,0.0,3.2319999999999993,0.0,0.0,0.0
Aluminium_transport,AUS-AUT,13,0.0,3.635999999999998,14.14,3.6359999999999997,0.0,3.6359999999999997,0.0,0.0,0.0
Aluminium_transport,AUS-BRA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-BRA,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-BRA,2,0.0,6.0600000000000005,0.30606636000002563,6.0600000000000005,0.0,6.0600000000000005,0.0,0.0,0.0
Aluminium_transport,AUS-BRA,3,0.0,6.0600000000000005,6.0600000000000005,6.0600000000000005,0.0,6.0600000000000005,0.0,0.0,0.0
Aluminium_transport,AUS-BRA,4,0.0,6.0600000000000005,6.0600000000000005,6.0600000000000005,0.0,6.0600000000000005,0.0,0.0,0.0
Aluminium_transport,AUS-BRA,5,0.0,6.464,6.0600000000000005,6.463999999999997,0.0,6.463999999999999,0.0,0.0,0.0
Aluminium_transport,AUS-BRA,6,0.0,6.463999999999999,6.0600000000000005,8.080000000000007,0.0,8.08,0.0,0.0,0.0
Aluminium_transport,AUS-BRA,7,0.0,8.08,8.079999999999993,8.080000000000007,0.0,8.08,0.0,0.0,0.0
Aluminium_transport,AUS-BRA,8,0.0,8.08,8.079999999999995,8.080000000000007,0.0,8.08,0.0,0.0,0.0
Aluminium_transport,AUS-BRA,9,0.0,8.08,8.079999999999995,8.08,0.0,8.08,0.0,0.0,0.0
Aluminium_transport,AUS-BRA,10,0.0,8.08,8.079999999999995,8.080000000000007,0.0,8.08,0.0,0.0,0.0
Aluminium_transport,AUS-BRA,11,0.0,8.08,8.080000000000002,8.08,0.0,8.08,0.0,0.0,0.0
Aluminium_transport,AUS-BRA,12,0.0,12.120000000000001,12.120000000000001,12.119999999999997,0.0,12.120000000000001,0.0,0.0,0.0
Aluminium_transport,AUS-BRA,13,0.0,12.120000000000001,12.120000000000001,12.119999999999997,0.0,12.120000000000001,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,0,0.0,159.984,159.984,159.984,0.0,159.984,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,1,0.0,159.984,159.984,159.984,0.0,159.984,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,2,0.0,159.984,159.984,159.984,0.0,159.984,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,3,0.0,159.984,159.984,159.984,0.0,159.984,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,4,0.0,179.78000000000006,176.548,159.984,0.0,176.548,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,5,0.0,202.40400000000002,199.172,196.30128104000005,0.0,199.172,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,6,0.0,234.32,234.32,234.32,0.0,234.32,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,7,0.0,250.48,250.48,250.48,0.0,250.48,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,8,0.0,266.64,266.64,266.64,0.0,266.64,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,9,0.0,282.8,282.8,282.8,0.0,282.8,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,10,0.0,298.96,298.96,298.96,0.0,298.96,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,11,0.0,319.16,319.16,319.16,0.0,319.16,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,12,0.0,339.36,339.36,339.36,0.0,339.36,0.0,0.0,0.0
Aluminium_transport,AUS-CHN,13,0.0,363.6,363.6,363.6,0.0,363.6,0.0,0.0,0.0
Aluminium_transport,AUS-CZE,0,0.0,1.2119999999999997,1.212,1.212,0.0,1.212,0.0,0.0,0.0
Aluminium_transport,AUS-CZE,1,0.0,1.2119999999999997,1.212,1.212,0.0,1.212,0.0,0.0,0.0
Aluminium_transport,AUS-CZE,2,0.0,1.2119999999999997,1.212,1.212,0.0,1.212,0.0,0.0,0.0
Aluminium_transport,AUS-CZE,3,0.0,1.2119999999999997,1.212,1.2119999999999997,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-CZE,4,0.0,1.2119999999999997,1.2119999999999997,1.2119999999999997,0.0,1.212,0.0,0.0,0.0
Aluminium_transport,AUS-CZE,5,0.0,1.2119999999999997,1.2119999999999997,1.2119999999999997,0.0,1.2119999999999997,0.0,0.0,0.0
Aluminium_transport,AUS-CZE,6,0.0,1.6160000000000005,1.6160000000000003,1.6160000000000005,0.0,1.6160000000000005,0.0,0.0,0.0
Aluminium_transport,AUS-CZE,7,0.0,2.02,2.019999999999998,2.02,0.0,2.02,0.0,0.0,0.0
Aluminium_transport,AUS-CZE,8,0.0,2.4240000000000004,2.4240000000000004,2.4240000000000004,0.0,2.8279999999999665,0.0,0.0,0.0
Aluminium_transport,AUS-CZE,9,0.0,2.8280000000000007,2.8280000000000007,2.8280000000000007,0.0,3.2319999999999833,0.0,0.0,0.0
Aluminium_transport,AUS-CZE,10,0.0,3.232000000000001,5.252000000000002,3.232000000000001,0.0,3.2319999999999833,0.0,0.0,0.0
Aluminium_transport,AUS-CZE,11,0.0,3.6359999999999997,8.08,4.039999999999998,0.0,7.271999999999999,0.0,0.0,0.0
Aluminium_transport,AUS-CZE,12,0.0,4.444000000000001,8.08,4.847999999999999,0.0,8.08,0.0,0.0,0.0
Aluminium_transport,AUS-CZE,13,0.0,4.848000000000001,10.504000000000001,5.251999999999999,0.0,8.484,0.0,0.0,0.0
Aluminium_transport,AUS-DEU,0,0.0,8.08,2.4240000000000013,0.0,0.0,8.08,0.0,0.0,0.0
Aluminium_transport,AUS-DEU,1,0.0,8.08,2.4240000000000013,0.0,0.0,8.08,0.0,0.0,0.0
Aluminium_transport,AUS-DEU,2,0.0,8.079999999999998,2.8280000000000007,0.0,0.0,8.08,0.0,0.0,0.0
Aluminium_transport,AUS-DEU,3,0.0,8.08,3.232000000000001,0.0,0.0,8.08,0.0,0.0,0.0
Aluminium_transport,AUS-DEU,4,0.0,8.08,3.232000000000001,4.0399999999999965,0.0,8.08,0.0,0.0,0.0
Aluminium_transport,AUS-DEU,5,0.0,8.08,7.097387160000066,8.08,0.0,8.08,0.0,0.0,0.0
Aluminium_transport,AUS-DEU,6,0.0,8.08,8.08,8.08,0.0,8.08,0.0,0.0,0.0
Aluminium_transport,AUS-DEU,7,0.0,8.08,8.08,8.08,0.0,8.08,0.0,0.0,0.0
Aluminium_transport,AUS-DEU,8,0.0,8.08,8.08,8.08,0.0,8.08,0.0,0.0,0.0
Aluminium_transport,AUS-DEU,9,0.0,8.08,8.08,8.08,0.0,8.08,0.0,0.0,0.0
Aluminium_transport,AUS-DEU,10,0.0,8.08,8.08,8.08,0.0,8.08,0.0,0.0,0.0
Aluminium_transport,AUS-DEU,11,0.0,8.08,8.079999999999993,8.08,0.0,8.08,0.0,0.0,0.0
Aluminium_transport,AUS-DEU,12,0.0,10.1,8.08,13.705041479999984,0.0,10.1,0.0,0.0,0.0
Aluminium_transport,AUS-DEU,13,0.0,12.119999999999996,10.298428640000042,15.725041479999984,0.0,12.120000000000001,0.0,0.0,0.0
Aluminium_transport,AUS-ITA,0,0.0,0.0,1.6159999999999988,0.0,0.0,2.02,0.0,0.0,0.0
Aluminium_transport,AUS-ITA,1,0.0,0.0,1.6159999999999988,0.0,0.0,2.75350643999998,0.0,0.0,0.0
Aluminium_transport,AUS-ITA,2,0.0,4.847999999999995,1.6159999999999988,7.271999999999999,0.0,5.154066360000023,0.0,0.0,0.0
Aluminium_transport,AUS-ITA,3,0.0,4.847999999999995,1.6159999999999988,10.50399999999999,0.0,3.6360000000000015,0.0,0.0,0.0
Aluminium_transport,AUS-ITA,4,0.0,6.464000000000004,2.02,10.50399999999999,0.0,6.868000000000002,0.0,0.0,0.0
Aluminium_transport,AUS-ITA,5,0.0,10.504000000000001,10.503999999999998,10.50399999999999,0.0,10.503999999999966,0.0,0.0,0.0
Aluminium_transport,AUS-ITA,6,0.0,10.503999999999994,10.503999999999992,10.50399999999999,0.0,10.503999999999966,0.0,0.0,0.0
Aluminium_transport,AUS-ITA,7,0.0,10.504000000000001,10.504000000000001,10.503999999999994,0.0,10.504000000000001,0.0,0.0,0.0
Aluminium_transport,AUS-ITA,8,0.0,10.50399999999999,10.504,10.50399999999999,0.0,10.504000000000001,0.0,0.0,0.0
Aluminium_transport,AUS-ITA,9,0.0,10.50399999999999,10.503999999999998,10.50399999999999,0.0,10.504000000000001,0.0,0.0,0.0
Aluminium_transport,AUS-ITA,10,0.0,10.504000000000001,27.894042639999935,10.50399999999999,0.0,10.503999999999984,0.0,0.0,0.0
Aluminium_transport,AUS-ITA,11,0.0,11.716,39.995999999999995,11.716000000000001,0.0,11.7160000000001,0.0,0.0,0.0
Aluminium_transport,AUS-ITA,12,0.0,31.916,42.42,31.916,0.0,31.916,0.0,0.0,0.0
Aluminium_transport,AUS-ITA,13,0.0,33.936,42.42,34.34,0.0,33.936,0.0,0.0,0.0
Aluminium_transport,AUS-JPN,0,0.0,0.0,31.108,29.087999999999994,0.0,23.795599999999894,0.0,0.0,0.0
Aluminium_transport,AUS-JPN,1,0.0,21.862706440000004,31.108,29.087999999999994,0.0,11.433200000000005,0.0,0.0,0.0
Aluminium_transport,AUS-JPN,2,0.0,0.0,31.108,30.3,0.0,1.2119999999999957,0.0,0.0,0.0
Aluminium_transport,AUS-JPN,3,0.0,0.0,31.108,30.704000000000004,0.0,19.6748,0.0,0.0,0.0
Aluminium_transport,AUS-JPN,4,0.0,31.108,31.108,30.704000000000004,0.0,25.320106119999956,0.0,0.0,0.0
Aluminium_transport,AUS-JPN,5,0.0,31.108,31.108,31.108,0.0,12.645199999999999,0.0,0.0,0.0
Aluminium_transport,AUS-JPN,6,0.0,31.108,31.108,31.108,0.0,12.645199999999999,0.0,0.0,0.0
Aluminium_transport,AUS-JPN,7,0.0,31.108,31.108,31.108,0.0,31.108,0.0,0.0,0.0
Aluminium_transport,AUS-JPN,8,0.0,31.108,31.108,31.108,0.0,31.108,0.0,0.0,0.0
Aluminium_transport,AUS-JPN,9,0.0,31.108,31.108,31.108,0.0,31.108,0.0,0.0,0.0
Aluminium_transport,AUS-JPN,10,0.0,31.108,31.108,31.108000000000004,0.0,31.108,0.0,0.0,0.0
Aluminium_transport,AUS-JPN,11,0.0,31.108,31.108,31.108,0.0,31.108,0.0,0.0,0.0
Aluminium_transport,AUS-JPN,12,0.0,31.108,31.108,31.108,0.0,31.10799999999999,0.0,0.0,0.0
Aluminium_transport,AUS-JPN,13,0.0,31.108,31.108,31.108,0.0,31.108,0.0,0.0,0.0
Aluminium_transport,AUS-KOR,0,0.0,2.424,2.424,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-KOR,1,0.0,2.424,2.424,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-KOR,2,0.0,2.424,2.424,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-KOR,3,0.0,2.424,2.424,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-KOR,4,0.0,2.424,2.424,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-KOR,5,0.0,2.424,2.424,0.0,0.0,2.424,0.0,0.0,0.0
Aluminium_transport,AUS-KOR,6,0.0,4.04,3.934632759999951,4.040000000000001,0.0,2.424,0.0,0.0,0.0
Aluminium_transport,AUS-KOR,7,0.0,4.04,4.040000000000008,4.040000000000001,0.0,2.424,0.0,0.0,0.0
Aluminium_transport,AUS-KOR,8,0.0,4.04,4.040000000000008,4.0400000000000045,0.0,2.424,0.0,0.0,0.0
Aluminium_transport,AUS-KOR,9,0.0,4.04,4.04,4.040000000000001,0.0,2.424,0.0,0.0,0.0
Aluminium_transport,AUS-KOR,10,0.0,4.04,4.040000000000008,4.039999999999999,0.0,4.04,0.0,0.0,0.0
Aluminium_transport,AUS-KOR,11,0.0,4.04,4.040000000000008,4.040000000000001,0.0,4.04,0.0,0.0,0.0
Aluminium_transport,AUS-KOR,12,0.0,4.04,4.04,4.04,0.0,4.04,0.0,0.0,0.0
Aluminium_transport,AUS-KOR,13,0.0,4.04,4.04,4.04,0.0,4.04,0.0,0.0,0.0
Aluminium_transport,AUS-ROE,0,0.0,18.988,0.0,18.988,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-ROE,1,0.0,18.988,0.0,18.988,0.0,18.988,0.0,0.0,0.0
Aluminium_transport,AUS-ROE,2,0.0,18.988,0.0,18.988,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-ROE,3,0.0,18.988,0.0,18.988,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-ROE,4,0.0,18.988,0.0,18.988,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUS-ROE,5,0.0,18.988,0.0,18.988,0.0,18.988,0.0,0.0,0.0
Aluminium_transport,AUS-ROE,6,0.0,23.431999999999988,27.297387160000056,23.431999999999984,0.0,39.48663275999994,0.0,0.0,0.0
Aluminium_transport,AUS-ROE,7,0.0,27.875999999999994,27.297387160000063,27.87599999999999,0.0,46.950524679999944,0.0,0.0,0.0
Aluminium_transport,AUS-ROE,8,0.0,32.72399999999999,47.93794916000005,49.97479999999999,0.0,75.88037483999994,0.0,0.0,0.0
Aluminium_transport,AUS-ROE,9,0.0,37.97599999999999,79.25338296000005,67.872,0.0,83.92381283999994,0.0,0.0,0.0
Aluminium_transport,AUS-ROE,10,0.0,43.63199999999999,98.80538716000007,73.52799999999999,0.0,92.00381283999995,0.0,0.0,0.0
Aluminium_transport,AUS-ROE,11,0.0,54.94400000000001,105.444,93.728,0.0,100.89181283999993,0.0,0.0,0.0
Aluminium_transport,AUS-ROE,12,0.0,61.004000000000005,111.504,99.788,0.0,106.95181283999993,0.0,0.0,0.0
Aluminium_transport,AUS-ROE,13,0.0,67.468,117.968,106.252,0.0,113.41581283999992,0.0,0.0,0.0
Aluminium_transport,AUS-ROW,0,0.0,170.892,137.35999999999996,127.21959999999999,0.0,140.99600000000004,0.0,0.0,0.0
Aluminium_transport,AUS-ROW,1,0.0,193.92000000000002,174.57470644000003,164.07070644,0.0,170.488,0.0,0.0,0.0
Aluminium_transport,AUS-ROW,2,0.0,245.53406636,215.33200000000002,190.1860663600001,0.0,232.3,0.0,0.0,0.0
Aluminium_transport,AUS-ROW,3,0.0,276.33599999999996,255.07888552000003,232.45488552,0.0,262.87608552,0.0,0.0,0.0
Aluminium_transport,AUS-ROW,4,0.0,290.34410611999994,289.94010611999994,279.84010612,0.0,287.24399999999997,0.0,0.0,0.0
Aluminium_transport,AUS-ROW,5,0.0,311.484,311.484,296.40410611999994,0.0,309.5721871600001,0.0,0.0,0.0
Aluminium_transport,AUS-ROW,6,0.0,311.484,311.484,313.22401992,0.0,311.484,0.0,0.0,0.0
Aluminium_transport,AUS-ROW,7,0.0,356.52271184000006,366.39332468,356.52271184000006,0.0,342.18799999999993,0.0,0.0,0.0
Aluminium_transport,AUS-ROW,8,0.0,414.54056199999997,412.25461283999994,397.28976200000005,0.0,379.35600000000005,0.0,0.0,0.0
Aluminium_transport,AUS-ROW,9,0.0,486.25599579999994,458.31061283999986,456.3599957999999,0.0,448.6839958,0.0,0.0,0.0
Aluminium_transport,AUS-ROW,10,0.0,570.46604264,509.21461284,537.3380426399999,0.0,518.8622298,0.0,0.0,0.0
Aluminium_transport,AUS-ROW,11,0.0,656.12695852,588.2549585200003,614.1109585200002,0.0,603.7151456800001,0.0,0.0,0.0
Aluminium_transport,AUS-ROW,12,0.0,718.3120000000001,648.0160000000001,672.6909585200001,0.0,662.2641871600001,0.0,0.0,0.0
Aluminium_transport,AUS-ROW,13,0.0,768.812,707.20557136,733.2909585199999,0.0,719.2281871600002,0.0,0.0,0.0
Aluminium_transport,AUS-USA,0,0.0,76.71960000000001,101.80799999999999,101.80799999999999,0.0,101.80799999999999,0.0,0.0,0.0
Aluminium_transport,AUS-USA,1,0.0,68.67999999999999,101.80799999999999,101.80799999999999,0.0,101.80799999999999,0.0,0.0,0.0
