tech_location,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
AUS-Aluminium_production,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.4680000000003
AUS-Bauxite_mining,30.659999999999997,30.659999999999997,30.659999999999997,30.659999999999997,30.66,30.659999999999997,30.659999999999997,30.659999999999997,30.659999999999997,30.659999999999997,30.659999999999997,30.659999999999997,30.66,30.660000000000004,30.659999999999993
AUS-Compressor_manufacturing,91984.69617252698,59546.759199760156,55100.0,54600.0,54200.0,53700.0,53200.0,52800.0,52300.0,51900.0,51400.0,51000.0,50500.0,50100.0,55880.818240877656
AUS-Copper_mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AUS-Copper_refinement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AUS-HEX_manufacturing,82551.73168862455,56919.32914831823,33852.49457700651,33501.084598698486,33032.537960954454,27799.999999999996,27400.0,27000.0,26700.0,26300.0,26000.0,41756.96887686062,25300.0,24900.0,35215.296203604485
AUS-HP_assembly,110354.78392820549,82081.87731446691,59906.98120000001,59706.98120000001,59506.98120000001,59306.98120000001,59106.98120000001,59006.98120000001,58806.98120000001,58606.98120000001,58506.98120000001,99199.70847272727,61442.27531764706,61246.98120000468,67627.74693093226
AUS-Iron_mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AUS-Nickel_mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AUS-Steel_production,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AUT-Aluminium_production,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999997
AUT-Bauxite_mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AUT-Compressor_manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AUT-Copper_mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
