edge,node_from,node_to
AUS-AUT,AUS,AUT
AUS-BRA,AUS,BRA
AUS-CHN,AUS,CHN
AUS-CZE,AUS,CZE
AUS-DEU,AUS,DEU
AUS-ITA,AUS,ITA
AUS-JPN,AUS,JPN
AUS-KOR,AUS,KOR
AUS-ROE,AUS,ROE
AUS-ROW,AUS,ROW
AUS-USA,AUS,USA
AUT-AUS,AUT,AUS
AUT-BRA,AUT,BRA
AUT-CHN,AUT,CHN
AUT-CZE,AUT,CZE
AUT-DEU,AUT,DEU
AUT-ITA,AUT,ITA
AUT-JPN,AUT,JPN
AUT-KOR,AUT,KOR
AUT-ROE,AUT,ROE
AUT-ROW,AUT,ROW
AUT-USA,AUT,USA
BRA-AUS,BRA,AUS
BRA-AUT,BRA,AUT
BRA-CHN,BRA,CHN
BRA-CZE,BRA,CZE
BRA-DEU,BRA,DEU
BRA-ITA,BRA,ITA
BRA-JPN,BRA,JPN
BRA-KOR,BRA,KOR
BRA-ROE,BRA,ROE
BRA-ROW,BRA,ROW
BRA-USA,BRA,USA
CHN-AUS,CHN,AUS
CHN-AUT,CHN,AUT
CHN-BRA,CHN,BRA
CHN-CZE,CHN,CZE
CHN-DEU,CHN,DEU
CHN-ITA,CHN,ITA
CHN-JPN,CHN,JPN
CHN-KOR,CHN,KOR
CHN-ROE,CHN,ROE
CHN-ROW,CHN,ROW
CHN-USA,CHN,USA
CZE-AUS,CZE,AUS
CZE-AUT,CZE,AUT
CZE-BRA,CZE,BRA
CZE-CHN,CZE,CHN
CZE-DEU,CZE,DEU
CZE-ITA,CZE,ITA
CZE-JPN,CZE,JPN
CZE-KOR,CZE,KOR
CZE-ROE,CZE,ROE
CZE-ROW,CZE,ROW
CZE-USA,CZE,USA
DEU-AUS,DEU,AUS
DEU-AUT,DEU,AUT
DEU-BRA,DEU,BRA
DEU-CHN,DEU,CHN
DEU-CZE,DEU,CZE
DEU-ITA,DEU,ITA
DEU-JPN,DEU,JPN
DEU-KOR,DEU,KOR
DEU-ROE,DEU,ROE
DEU-ROW,DEU,ROW
DEU-USA,DEU,USA
ITA-AUS,ITA,AUS
ITA-AUT,ITA,AUT
ITA-BRA,ITA,BRA
ITA-CHN,ITA,CHN
ITA-CZE,ITA,CZE
ITA-DEU,ITA,DEU
ITA-JPN,ITA,JPN
ITA-KOR,ITA,KOR
ITA-ROE,ITA,ROE
ITA-ROW,ITA,ROW
ITA-USA,ITA,USA
JPN-AUS,JPN,AUS
JPN-AUT,JPN,AUT
JPN-BRA,JPN,BRA
JPN-CHN,JPN,CHN
JPN-CZE,JPN,CZE
JPN-DEU,JPN,DEU
JPN-ITA,JPN,ITA
JPN-KOR,JPN,KOR
JPN-ROE,JPN,ROE
JPN-ROW,JPN,ROW
JPN-USA,JPN,USA
KOR-AUS,KOR,AUS
KOR-AUT,KOR,AUT
KOR-BRA,KOR,BRA
KOR-CHN,KOR,CHN
KOR-CZE,KOR,CZE
KOR-DEU,KOR,DEU
KOR-ITA,KOR,ITA
KOR-JPN,KOR,JPN
KOR-ROE,KOR,ROE
KOR-ROW,KOR,ROW
KOR-USA,KOR,USA
ROE-AUS,ROE,AUS
ROE-AUT,ROE,AUT
ROE-BRA,ROE,BRA
ROE-CHN,ROE,CHN
ROE-CZE,ROE,CZE
ROE-DEU,ROE,DEU
ROE-ITA,ROE,ITA
ROE-JPN,ROE,JPN
ROE-KOR,ROE,KOR
ROE-ROW,ROE,ROW
ROE-USA,ROE,USA
ROW-AUS,ROW,AUS
ROW-AUT,ROW,AUT
ROW-BRA,ROW,BRA
ROW-CHN,ROW,CHN
ROW-CZE,ROW,CZE
ROW-DEU,ROW,DEU
ROW-ITA,ROW,ITA
ROW-JPN,ROW,JPN
ROW-KOR,ROW,KOR
ROW-ROE,ROW,ROE
ROW-USA,ROW,USA
USA-AUS,USA,AUS
USA-AUT,USA,AUT
USA-BRA,USA,BRA
USA-CHN,USA,CHN
USA-CZE,USA,CZE
USA-DEU,USA,DEU
USA-ITA,USA,ITA
USA-JPN,USA,JPN
USA-KOR,USA,KOR
USA-ROE,USA,ROE
USA-ROW,USA,ROW
