year,AUS,AUT,BRA,CHN,CZE,DEU,ITA,JPN,KOR,ROE,ROW,USA
2022,10560000,393632,0,31000000,480520,1888000,4018792,5968000,4481311,17219056,4990689,30000000
2023,10982400,460549,0,31954960,562208,2208960,4701987,6398670,4804697,20146296,5350834,32640000
2024,11421696,538843,0,32939338,657784,2584483,5501324,6860419,5151419,23571166,5736967,35512320
2025,11878564,630446,0,33954040,769607,3023845,6436550,7355490,5523162,27578264,6150966,38637404
2026,12353706,737622,0,35000000,900440,3537899,7530763,7886286,5921732,32266569,6594840,42037496
2027,12847855,863018,0,36078181,1053515,4139342,8810993,8455386,6349063,37751886,7070745,45736795
2028,13361769,1009731,0,37189575,1232613,4843030,10308861,9065554,6807233,44169706,7580993,49761633
2029,13896240,1181385,0,38335207,1442157,5666345,12061368,9719754,7298465,51678556,8128062,54140657
2030,14452089,1382220,0,39516129,1687324,6629624,14111800,10421163,7825146,60463911,8714609,58905035
2031,15030173,1617198,0,40733430,1974169,7756660,16510806,11173188,8389834,70742775,9343484,64088678
2032,15631380,1892121,0,41988230,2309777,9075292,19317643,11979482,8995272,82769047,10017740,69728482
2033,16256635,2213782,0,43281685,2702439,10618092,22601643,12843961,9644400,96839785,10740653,75864588
2034,16906900,2590125,0,44614984,3161854,12423167,26443922,13770823,10340371,113302549,11515734,82540672
2035,17583176,3030446,0,45989357,3699369,14535106,30939389,14764570,11086566,132563982,12346747,89804251
2036,18286503,3545622,1,47406066,4328262,17006074,36199085,15830030,11886609,155099859,13237728,97707025


