year,AUS,AUT,BRA,CHN,CZE,DEU,ITA,JPN,KOR,ROE,ROW,USA
2022,1320000,49204,0,1000000,60065,236000,502349,746000,560164,2152382,1043836,4330000
2023,1640760,57569,0,1125000,70276,276120,587748,839250,630184,2518287,1158658,5018470
2024,2039465,67355,0,1265625,82223,323060,687666,944156,708957,2946396,1286111,5816407
2025,2535055,78806,0,1423828,96201,377981,804569,1062176,797577,3447283,1427583,6741215
2026,3151073,92203,0,1601807,112555,442237,941345,1194948,897274,4033321,1584617,7813069
2027,3916784,107877,0,1802032,131689,517418,1101374,1344316,1009433,4718986,1758925,9055347
2028,4868562,126216,0,2027287,154077,605379,1288608,1512356,1135613,5521213,1952406,10495147
2029,6051623,147673,0,2280697,180270,708293,1507671,1701400,1277564,6459820,2167171,12163875
2030,7522167,172778,0,2565785,210915,828703,1763975,1914075,1437260,7557989,2405560,14097931
2031,9350053,202150,0,2886508,246771,969582,2063851,2153335,1616917,8842847,2670171,16339502
2032,11622116,236515,0,3247321,288722,1134411,2414705,2422501,1819032,10346131,2963890,18937483
2033,14446291,276723,0,3653236,337805,1327261,2825205,2725314,2046411,12104973,3289918,21948543
2034,17956739,323766,0,4109891,395232,1552896,3305490,3065978,2302212,14162819,3651809,25438361
2035,22320227,378806,0,4623627,462421,1816888,3867424,3449226,2589989,16570498,4053508,29483061
