node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1260,1260,1260,1260
AUT,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1260,1260,1260,1260
BRA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1260,1260,1260,1260
CHN,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1260,1260,1260,1260
CZE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1260,1260,1260,1260
DEU,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1260,1260,1260,1260
ITA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1260,1260,1260,1260
JPN,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1260,1260,1260,1260
KOR,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1260,1260,1260,1260
ROE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1260,1260,1260,1260
ROW,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1260,1260,1260,1260
USA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1260,1260,1260,1260
