node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
AUT,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
BRA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
CHN,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
CZE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
DEU,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ITA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
JPN,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
KOR,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ROE,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ROW,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
USA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
