year,AUS,AUT,BRA,CHN,CZE,DEU,ITA,JPN,KOR,ROE,ROW,USA
2022,1.3,0,7.2,53.4,1.9,5.7,1.2,8.2,4.5,18.65078809,25.9,8
2023,1.38,0.00,7.42,57.55,2.26,6.74,1.39,8.84,4.86,21.93,29.48,8.46
2024,1.46,0.00,7.64,62.04,2.65,7.93,1.64,9.53,5.24,25.79,33.54,8.94
2025,1.55,0.00,7.87,66.88,3.12,9.32,1.93,10.27,5.64,30.33,38.15,9.45
2026,1.64,0.00,8.10,72.10,3.67,10.96,2.26,11.07,6.08,35.67,43.41,9.99
2027,1.73,0.00,8.35,77.72,4.32,12.89,2.66,11.94,6.56,41.95,49.38,10.56
2028,1.84,0.00,8.60,83.78,5.07,15.16,3.13,12.87,7.07,49.33,56.18,11.16
2029,1.95,0.00,8.86,90.32,5.97,17.83,3.68,13.87,7.62,58.02,63.91,11.79
2030,2.06,0.00,9.12,97.36,7.02,20.97,4.33,14.95,8.22,68.23,72.71,12.46
2031,2.18,0.00,9.39,104.96,8.25,24.66,5.09,16.12,8.86,80.23,82.72,13.18
2032,2.31,0.00,9.68,113.14,9.71,29.00,5.99,17.38,9.55,94.36,94.11,13.93
2033,2.45,0.00,9.97,121.97,11.41,34.11,7.04,18.73,10.29,110.96,107.07,14.72
2034,2.59,0.00,10.27,131.48,13.42,40.11,8.28,20.19,11.10,130.49,121.81,15.56
2035,2.74,0.00,10.57,141.74,15.78,47.17,9.74,21.77,11.96,153.46,138.58,16.45
