year,AUS,AUT,BRA,CHN,CZE,DEU,ITA,JPN,KOR,ROE,ROW,USA
2022,1.7591645252809154,0.0,7.888674902941972,34.272026398486865,2.2746695271120227,3.8064453473323234,1.463315996511552,11.998919364250616,6.565033543086625,17.51042423960731,37.47661413596141,6.6910395252898525
2023,1.8674208037597408,0.0,8.129717747198532,36.93548912421197,2.7056595427753534,4.500954673863133,1.6950076959592144,12.935420387801884,7.0902362265335555,20.589135521864605,42.65677933313291,7.07577429799402
2024,1.9756770822385665,0.0,8.370760591455092,39.81716325397238,3.172565393077295,5.295633614797425,1.9998651952324544,13.945085553818094,7.644616836838648,24.213123807974835,48.531491819310645,7.477236669511409
2025,2.0974653955272453,0.0,8.622759928632405,42.92346677023973,3.7352468024155323,6.223872041603027,2.353499894389413,15.027914862299246,8.228175374001903,28.47553490096459,55.202039740808026,7.903790439248637
2026,2.219253708815924,0.0,8.874759265809718,46.273653620428895,4.393703770790065,7.319059825747766,2.7559117934300894,16.198541141738332,8.870089764881484,33.48903164910673,62.81312044950134,8.355435607205704
2027,2.341042022104603,0.0,9.148671588828536,49.880559769483135,5.171880187959968,8.607908864405903,3.243683792267274,17.471597220628336,9.57036000947739,39.38505404205291,71.45155235651639,8.832172173382606
2028,2.489894405012988,0.0,9.422583911847354,53.769857147288945,6.06977605392524,10.123809029045267,3.816815890900965,18.832450270476272,10.314397144360543,46.31381921083361,81.29097228410471,9.334000137779345
2029,2.638746787921373,0.0,9.707452727786926,57.96721768373284,7.147251093083566,11.90682816542725,4.487502389302093,20.295733119775125,11.11679013296002,54.472487139926336,92.47607758414262,9.86091950039592
2030,2.787599170829758,0.0,9.992321543726497,62.48547734375808,8.404305305434947,14.00371209360681,5.280131887412518,21.87607859701789,11.992127938704904,64.05821781380858,105.20944454925692,10.421294060638946
2031,2.9499835885479966,0.0,10.288146852586822,67.3631440221944,9.876854525617993,16.467884607932472,6.206898685203167,23.588119530697554,12.92582159816611,75.32450264109427,119.69364947207444,11.023487617915032
2032,3.125900041076088,0.0,10.605885147288651,72.6130536839851,11.62475847803039,19.36612545133989,7.304385682586831,25.431855920814108,13.932460074772727,88.59055302522317,136.1746778507849,11.650772573410956
2033,3.315348528414033,0.0,10.92362344199048,78.28013220643152,13.659989107551674,22.77857031535185,8.58478717953444,27.407287767367567,15.012043368524749,104.17558036963504,154.92745465395322,12.31151272653333
2034,3.5047970157519774,0.0,11.252318229613062,84.38363353694855,16.066350028338604,26.78535489149114,10.09688037592971,29.543680727343897,16.193749406280343,122.51145892604252,176.25584432051969,13.014071876688764
2035,3.707777537899776,0.0,11.581013017235644,90.96848355283763,18.891729019909324,31.500004742748366,11.877248171685432,31.855667629236088,17.448400261181344,144.07700579960522,200.521590230175,13.75845002387726
