year,AUS,AUT,BRA,CHN,CZE,DEU,ITA,JPN,KOR,ROE,ROW,USA
2022,56,86,50,28,78,87,84,79,53,78,54,97
2023,55.6,86.4,49.9,28,75.8,85.3,82.2,78.5,52.5,75.8,52.9,96.1
2024,55.1,86.4,49.7,27.6,73.9,83.2,80.2,77.7,51.9,74,51.9,95.3
2025,54.6,86.4,49.5,27.3,72.1,81.2,78.2,76.8,51.3,72.2,50.9,94.5
2026,54.2,86.4,49.3,27,70.4,79.2,76.3,75.9,50.7,70.4,49.9,93.7
2027,53.7,86.4,49,26.7,68.7,77.3,74.5,75,50.2,68.7,48.9,93
2028,53.2,86.4,48.8,26.4,67,75.4,72.7,74.2,49.6,67.1,48,92.2
2029,52.8,86.4,48.6,26.1,65.4,73.6,70.9,73.3,49,65.4,47.1,91.4
2030,52.3,86.4,48.4,25.8,63.8,71.8,69.2,72.5,48.5,63.8,46.2,90.6
2031,51.9,86.4,48.2,25.5,62.2,70.1,67.5,71.7,47.9,62.3,45.3,89.9
2032,51.4,86.4,48,25.2,60.7,68.3,65.8,70.9,47.4,60.8,44.4,89.1
2033,51,86.4,47.7,24.9,59.2,66.7,64.2,70.1,46.8,59.3,43.5,88.4
2034,50.5,86.4,47.5,24.7,57.8,65.1,62.7,69.3,46.3,57.8,42.7,87.6
2035,50.1,86.4,47.3,24.4,56.4,63.5,61.1,68.5,45.8,56.4,41.8,86.9
