year,AUS,AUT,BRA,CHN,CZE,DEU,ITA,JPN,KOR,ROE,ROW,USA
2022,2.7,0.4,1.5,39.6,0.3,2.0,2.6,7.7,0.6,4.7,77.1,25.2
2023,3.0,0.0,2.0,42.0,0.0,2.0,3.0,8.0,1.0,6.0,83.0,26.0
2024,3.0,1.0,2.0,45.0,0.0,3.0,4.0,9.0,1.0,7.0,90.0,27.0
2025,4.0,1.0,2.0,48.0,1.0,3.0,4.0,9.0,1.0,8.0,98.0,29.0
2026,4.0,1.0,2.0,51.0,1.0,4.0,5.0,10.0,1.0,9.0,106.0,30.0
2027,4.0,1.0,2.0,54.0,1.0,5.0,6.0,11.0,1.0,11.0,115.0,31.0
2028,5.0,1.0,2.0,58.0,1.0,6.0,7.0,11.0,1.0,13.0,124.0,33.0
2029,5.0,1.0,2.0,62.0,1.0,7.0,9.0,12.0,1.0,16.0,134.0,34.0
2030,6.0,2.0,2.0,66.0,1.0,8.0,10.0,13.0,1.0,19.0,145.0,36.0
2031,6.0,2.0,2.0,70.0,1.0,10.0,12.0,14.0,1.0,22.0,157.0,37.0
2032,7.0,2.0,2.0,74.0,2.0,11.0,15.0,14.0,1.0,27.0,171.0,39.0
2033,7.0,3.0,2.0,79.0,2.0,13.0,17.0,15.0,1.0,32.0,185.0,40.0
2034,8.0,3.0,3.0,84.0,2.0,16.0,21.0,16.0,1.0,38.0,200.0,42.0
2035,9.0,4.0,3.0,90.0,3.0,19.0,25.0,17.0,1.0,45.0,216.0,44.0
