node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,57388.74118118642,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,67415.79639699448,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,55079.345731569636,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,11533.516851147586,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,46846.732792001974,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,113148.58771807376,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,91777.20327940189,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,77793.25481876037,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,33576.36134815541,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,38038.24692272504,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,77519.29759663109,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,144911.4420272559,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
