year,AUS,AUT,BRA,CHN,CZE,DEU,ITA,JPN,KOR,ROE,ROW,USA
2022,2.1,1.5,0.0,50.0,1.3,4.3,4.0,9.1,6.9,14.0,11.9,34.0
2023,2.2,1.6,0.0,54.1,1.3,4.5,4.2,9.8,7.4,14.8,10.8,36.9
2024,2.3,1.7,10.1,58.5,1.4,4.8,4.5,10.6,8.0,15.7,9.8,40.0
2025,2.4,1.8,10.1,63.3,1.5,5.0,4.7,11.4,8.6,16.6,9.0,43.4
2026,2.5,1.9,10.1,68.5,1.6,5.3,5.0,12.3,9.2,17.6,8.1,47.0
2027,2.6,2.0,10.2,74.1,1.7,5.6,5.3,13.2,9.9,18.6,7.4,51.0
2028,2.7,2.1,10.2,80.2,1.8,6.0,5.6,14.2,10.7,19.7,6.7,55.3
2029,2.8,2.2,10.2,86.8,1.9,6.3,5.9,15.3,11.5,20.8,6.1,59.9
2030,2.9,2.4,10.3,93.9,2.0,6.7,6.3,16.5,12.4,22.0,5.6,65.0
2031,3.0,2.5,10.3,101.6,2.1,7.1,6.7,17.8,13.3,23.3,5.1,70.5
2032,3.1,2.6,10.3,109.9,2.2,7.5,7.0,19.1,14.4,24.7,4.6,76.4
2033,3.3,2.8,10.3,118.9,2.3,7.9,7.5,20.6,15.5,26.1,4.2,82.9
2034,3.4,3.0,10.4,128.7,2.5,8.4,7.9,22.2,16.6,27.6,3.8,89.9
2035,3.5,3.1,10.4,139.2,2.6,8.9,8.4,23.9,17.9,29.2,3.5,97.4
