year,AUS,AUT,BRA,CHN,CZE,DEU,ITA,JPN,KOR,ROE,ROW,USA
2022,2.280964016973029,1.3815164837184026,0.0,54.9154333163655,0.6744022072340656,5.289778121689983,5.862844778144154,10.96140849700224,5.269013485472981,7.820714269489839,11.645759547413775,48.423645382627875
2023,2.389581351114602,1.473617582632963,0.0,59.41849884830748,0.6744022072340656,5.535814313396493,6.155987017051363,11.804593766002414,5.650826056884067,8.267612227746401,10.569260765720065,52.55389748879319
2024,2.498198685256175,1.565718681547523,9.332173574499741,64.25105698014764,0.7262793000982244,5.904868600956259,6.595700375412173,12.768234073431183,6.109001142577369,8.770372430785034,9.590625509634874,56.9689945677975
2025,2.6068160193977477,1.6578197804620831,9.332173574499741,69.52293857851872,0.7781563929623834,6.15090479266277,6.8888426143193815,13.731874380859951,6.567176228270671,9.273132633823668,8.80771730476672,61.81135910606029
2026,2.7154333535393205,1.7499208793766432,9.332173574499741,75.23414364342074,0.8300334858265423,6.519959080222536,7.328555972680193,14.815969726717316,7.025351313963974,9.83175508164437,7.926945574290048,66.93856861716206
2027,2.8240506876808933,1.8420219782912035,9.424571332663104,81.38467217485366,0.8819105786907011,6.889013367782303,7.7682693310410045,15.90006507257468,7.559888913939494,10.390377529465074,7.241900895030415,72.63546807394181
2028,2.932668021822466,1.9341230772057638,9.424571332663104,88.08435503945027,0.9337876715548601,7.381085751195324,8.207982689401815,17.10461545686064,8.17078902819723,11.004862222067844,6.5568562157707815,78.75963498998004
2029,3.041285355964039,2.026224176120324,9.424571332663104,95.33319223721051,0.9856647644190188,7.750140038755091,8.647696047762627,18.429620879575197,8.781689142454967,11.619346914670619,5.969675062119666,85.31106936527675
2030,3.1499026901056117,2.2104263739494443,9.51696909082647,103.13118376813442,1.0375418572831778,8.242212422168112,9.233980525577042,19.87508134071835,9.468951770994922,12.289693852055462,5.48035743407707,92.57461617267094
2031,3.2585200242471846,2.3025274728640044,9.51696909082647,111.58816049885469,1.0894189501473368,8.734284805581133,9.820265003391459,21.4409968402901,10.156214399534877,13.015903034222376,4.9910398060344745,100.4078529257431
2032,3.3671373583887574,2.3946285717785645,9.51696909082647,120.70412242937138,1.1412960430114958,9.226357188994156,10.259978361752271,23.00691233986185,10.996202056639264,13.797974461171359,4.501722177991879,108.81077962449324
2033,3.584372026671903,2.5788307696076846,9.51696909082647,130.58890042631717,1.1931731358756543,9.718429572407178,10.99283395902029,24.81373791629079,11.836189713743652,14.580045888120344,4.110268075557803,118.06824124176033
2034,3.692989360813476,2.7630329674368053,9.609366848989833,141.3523253563248,1.2969273216039723,10.333520051673455,11.579118436834705,26.741018531148324,12.676177370848041,15.417979559851398,3.7188139731237264,128.0378152911249
2035,3.8016066949550487,2.8551340663513654,9.609366848989833,152.88456635276154,1.3488044144681313,10.948610530939732,12.311974034102725,28.788754184434456,13.668890056516862,16.31177547636452,3.4252233962981693,138.71950177258694
